,Cum_ret,Market_cap,Gap,EAR,Intraday,Revision,Rating,Vol,Distance_high,RSI,AUTOR,MA50,MA150,PE,PE_premium,Sector
"('GBF GR', '11/Aug/2011', '15/Nov/2011', '15/Nov/2011')",-0.01341116511599405,2671.2388,-1.5287435831145775,-0.7915628829565599,0.7371807001580176,0.007956512752152103,-0.799519395708712,0.02788464698610974,0.24589086127547666,68.60326917988324,1.3661224502031488,-5.029222013052133,-5.018276980129517,10.501506449434006,-0.13046716476454134,Industrial Goods & Services
"('GBF GR', '12/May/2011', '11/Aug/2011', '11/Aug/2011')",0.0860953226622927,2984.2027,0.05516086917413108,-0.19306304210952843,-0.2482239112836595,0.0022243351650139747,-0.1952873772745424,0.01115961426990527,0.9843587069864451,60.21334575443354,0.8535020049160601,4.432708395884668,5.392074637047729,12.370154845466,0.007566319367978469,Industrial Goods & Services
"('GBF GR', '14/Feb/2011', '12/May/2011', '12/May/2011')",-0.020631198403271322,2924.8316,0.8849818314660286,-0.4584845632896257,-1.3434663947556542,-0.08489974937343354,-0.3735848139161922,0.014658836531999956,0.9253856942496494,53.62208647440517,-2.2880279232188467,1.1962407643388806,11.39330683467958,10.358727877930725,-0.18567006670303265,Industrial Goods & Services
"('G1A GR', '28/Oct/2015', '10/Mar/2016', '10/Mar/2016')",0.06701236614454587,7006.6431,-0.6285912368092246,1.2546781260614563,1.883269362870681,-0.029391339869281108,1.2840694659307375,0.02256155032678998,0.3638457537707112,54.850207827043036,0.9877334284616851,2.850832639990959,-4.105254626383172,17.57264681003147,0.19739087744578754,Industrial Goods & Services
"('G1A GR', '29/Jul/2015', '28/Oct/2015', '28/Oct/2015')",-0.02633717483112452,7245.53,-0.34535965929548834,-1.7955504508741953,-1.450190791578707,-0.02713553280321177,-1.7684149180709836,0.016134843701453492,0.0,47.25958387701825,-3.274424064032116,-5.7143698357946935,-6.927046066571722,17.34003899322621,0.1914682088908739,Industrial Goods & Services
"('G1A GR', '11/May/2015', '29/Jul/2015', '29/Jul/2015')",-0.0520240658566693,8591.8434,1.0119306337101803,1.4333120830059032,0.42138144929572285,0.04746907784626688,1.3858430051596362,0.014879003215109593,0.839759851175376,48.48483025521233,0.5613138382219571,0.296421941874241,8.062342119280665,21.896932051010445,0.52972286270908,Industrial Goods & Services
"('G1A GR', '09/Mar/2015', '11/May/2015', '11/May/2015')",0.01949982850948606,8152.7612,0.06763717793692799,-1.5163311518883564,-1.5839683298252845,0.004314994606256746,-1.5206461464946133,0.0146765711889001,0.8534242075874531,43.2024837492336,-1.5594097121988715,4.455879919922475,11.124925493121205,22.041377395210645,0.5661071792009211,Industrial Goods & Services
"('G1A GR', '28/Oct/2014', '09/Mar/2015', '09/Mar/2015')",-0.018013795919269993,6805.4853,0.0495776651065108,1.552843296371648,1.5032656312651373,-0.01493259404218314,1.5677758904138313,0.01638107855432405,0.9704026115342758,57.64250701777657,2.0174431430484474,3.0860086642719518,4.021752135942429,19.06791625765345,0.3931066057497741,Industrial Goods & Services
"('G1A GR', '28/Jul/2014', '28/Oct/2014', '28/Oct/2014')",-0.05507034234506325,6638.2067,0.21765830273097794,0.2688720210205991,0.05121371828962115,0.002647284848135177,0.2662247361724639,0.01135894024989052,0.8087535680304468,51.91221088737904,1.77488717040116,2.164769118373557,1.6147670896512343,18.14227084411646,0.3456129761668114,Industrial Goods & Services
"('G1A GR', '06/May/2014', '28/Jul/2014', '28/Jul/2014')",0.05350289988545076,6116.544,0.15150233599087853,-0.10365949304639235,-0.2551618290372709,-0.004352899013388588,-0.09930659403300376,0.01969387681182842,0.2689956331877727,46.82079629549877,-1.5367690927193227,-2.3736349233109113,-3.280279186954446,16.827586730975234,0.2815050945630646,Industrial Goods & Services
