,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner,listing_price,announce_price,discount,firstday_return,Broker_core
AMS SM,2014-09-30,2014-10-01,2014-09-30,2014-10-01,AMS SM,Amadeus IT Group SA,490.004,13.4722,28.8,"ADDL,Secondary Share Offering,Accelerated Bookbuild",16254.1,0.4861137867,-0.3993029296,16254.1,74.32464718336087,"['Barclays', 'Goldman Sachs']",28.9621,29.62,-0.027683997299122187,0.005628472222222181,True
ORA FP,2014-09-30,2014-10-01,2014-09-30,2014-10-01,ORA FP,Orange SA,737.287,50.328,11.6,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",38743.9,-1.724141121,-4.008624077,38743.9,97.78498286179226,"['BNP Paribas', 'Goldman Sachs']",11.5337,11.905,-0.025619487610247793,-0.005715517241379309,True
MDC LN,2014-09-29,2014-09-29,2014-09-29,2014-09-29,MDC LN,Mediclinic International PLC,81.32,5.0,1000.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Rule 144A",0.0,1.799999952,1.799999952,2069.8753,1.395563637948402,['Goldman Sachs'],1000.781,1089.0,-0.08172635445362719,0.0007809999999999206,True
TSB LN,2014-09-25,2014-09-26,2014-09-25,2014-09-26,TSB LN,TSB Banking Group PLC,262.478,57.5,280.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2274.02,0.1785714328,0.0,2274.02,5.359074233428018,['UBS'],279.6731,280.0,0.0,-0.001167500000000099,True
RXL FP,2014-09-22,2014-09-22,2014-09-22,2014-09-22,RXL FP,Rexel SA,412.02,20.9178,15.35,"ADDL,Secondary Share Offering,Accelerated Bookbuild",5781.11,-2.485144705e-06,-0.1302956343,5781.11,13.08453339692753,"['JP Morgan', 'Societe Generale']",15.9111,15.87,-0.032766225582860686,0.03655374592833871,True
GTT FP,2014-09-22,2014-09-23,2014-09-22,2014-09-23,GTT FP,Gaztransport Et Technigaz SA,121.006,2.0,47.15,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",2241.22,-3.966068745,-3.096503735,2241.22,1.624736870807689,['Societe Generale'],47.4071,50.11,-0.059070045899022205,0.005452810180275769,False
GMD LN,2014-09-18,2014-09-18,2014-09-18,2014-09-18,GMD LN,GAME Digital PLC,95.8464,22.5,260.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,3.461538553,2.307692289,746.455,1.0800935627055197,['Liberum Capital Ltd'],263.8581,268.0,-0.02985074626865669,0.014838846153846008,False
UTDI GR,2014-09-15,2014-09-16,2014-09-15,2014-09-16,UTDI GR,United Internet AG,455.206,11.0,32.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",0.0,1.265625,3.0,8479.771,17.46616951823138,['JP Morgan'],32.1692,33.8,-0.053254437869822424,0.0052874999999998895,True
SGRE SM,2014-09-08,2014-09-09,2014-09-08,2014-09-09,SGRE SM,Siemens Gamesa Renewable Energ,305.527,25.4,9.3,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,-0.9677439928,0.5376323462,3203.2428,37.80100491874012,"['Bank of America Merrill Lynch', 'Citi']",9.3386,9.755,-0.04664274730907225,0.004150537634408424,True
AMS SM,2014-09-08,2014-09-10,2014-09-08,2014-09-10,AMS SM,Amadeus IT Group SA,162.092,4.4758,28.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",16187.4,1.089285731,1.142857194,16187.4,103.15966229918905,['Societe Generale'],28.2309,28.735,-0.025578562728379994,0.008246428571428543,False
ISS DC,2014-09-08,2014-09-09,2014-09-08,2014-09-09,ISS DC,ISS A/S,888.622,31.0,165.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",5316.02,0.1212121248,0.3030303121,5316.02,5.281490793586017,"['Goldman Sachs', 'Nordea Bank Abp', 'UBS']",165.8061,173.5,-0.04899135446685876,0.004885454545454415,True
LSE LN,2014-09-05,2014-09-05,2014-09-05,2014-09-05,LSE LN,London Stock Exchange Group PL,280.008,8.5,2020.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit",8980.03,0.6435643435,1.534653425,8980.03,14.004216775467707,['Nomura'],2034.834,2040.0,-0.009803921568627416,0.007343564356435683,False
ABG/P SM,2014-09-04,2014-09-05,2014-09-04,2014-09-05,ABG/P SM,Abengoa SA,210.305,35.7,4.55,"ADDL,Secondary Share Offering,Accelerated Bookbuild",4450.75,-0.2197844088,-1.538465619,4450.75,63.731587455805204,['Citi'],4.5139,4.693,-0.030470914127423754,-0.007934065934065981,False
CTT PL,2014-09-04,2014-09-05,2014-09-04,2014-09-05,CTT PL,CTT-Correios de Portugal SA,443.551,47.2538,7.25,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit",1408.42,2.31724143,3.172413826,1408.42,4.3763581388356645,"['Caixa Banco de Investimento SA', 'JP Morgan']",7.4398,7.8100000000000005,-0.07170294494238161,0.026179310344827567,True
FOXT LN,2014-09-04,2014-09-05,2014-09-04,2014-09-05,FOXT LN,Foxtons Group PLC,77.7701,20.5,232.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1067.69,-0.1724137962,-0.5172413588,1067.69,5.293554690937597,"['Credit Suisse', 'Numis']",231.9917,240.6,-0.035743973399833706,-3.577586206893191e-05,False
ADEN SW,2014-09-03,2014-09-04,2014-09-03,2014-09-04,ADEN SW,Adecco Group AG,252.462,3.3603,69.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",13266.7,1.521739125,2.101449251,13266.7,62.182092293451106,['Credit Suisse'],69.5318,70.1,-0.015691868758915706,0.007707246376811749,False
BOK LN,2014-09-02,2014-09-02,2014-09-02,2014-09-02,BOK LN,Booker Group Ltd,322.759,156.622,125.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,2.0,0.8000000119,3889.9842,4.625691570732453,['JP Morgan'],134.5189,135.3,-0.07612712490761275,0.07615119999999997,True
BOSS GR,2014-09-02,2014-09-03,2014-09-02,2014-09-03,BOSS GR,HUGO BOSS AG,1052.43,7.9,101.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",9390.03,-0.6995074153,-0.2068965584,9390.03,14.594451235690565,"['Bank of America Merrill Lynch', 'Citi']",101.3776,102.51,-0.009852697297824675,-0.0012059113300492141,True
PFG LN,2014-08-14,2014-08-19,2014-08-14,2014-08-19,PFG LN,Provident Financial PLC,200.231,5.9113,2030.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,4.92610836,3.69458127,4845.3061,8.190891767957167,['JP Morgan'],2116.966,2070.0,-0.019323671497584516,0.04284039408866991,True
SVI LN,2014-08-14,2014-08-14,2014-08-14,2014-08-14,SVI LN,Sole Realisation Co Plc,78.0905,12.0,390.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",0.0,4.794871807,5.128205299,1502.185,3.1038748716482747,['JP Morgan'],429.7249,429.5,-0.09196740395809078,0.10185871794871804,True
RHK GR,2014-08-11,2014-08-11,2014-08-11,2014-08-11,RHK GR,RHOEN-KLINIKUM AG,87.7352,2.913,22.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",4162.38,1.288888931,0.8222222328,4162.38,10.204867982689619,"['Goldman Sachs', 'Joh Berenberg Gossler & Co KG']",23.1379,22.77,-0.011857707509881354,0.028351111111110994,True
PDL LN,2014-07-29,2014-07-29,2014-07-29,2014-07-29,PDL LN,Petra Diamonds Ltd,138.392,43.0,190.0,"ADDL,Secondary Share Offering",0.0,4.736842155,3.947368383,1734.059,3.5122723147277237,['RBC Capital Markets'],196.513,199.9,-0.049524762381190635,0.034278947368421075,False
SKY LN,2014-07-25,2014-07-30,2014-07-25,2014-07-30,SKY LN,Sky Ltd,2304.85,156.132,870.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,1.034482718,1.034482718,23190.8942,47.00596259616909,"['Barclays', 'Morgan Stanley']",879.5228,874.5,-0.005145797598627766,0.0109457471264367,True
RIB GR,2014-07-14,2014-07-15,2014-07-14,2014-07-15,RIB GR,RIB Software SE,99.9036,5.8715,12.5,"ADDL,Primary Share Offering,Secondary Share Offering",0.0,-2.0,-4.679999828,695.1055,1.140217159620155,['Joh Berenberg Gossler & Co KG'],12.5663,13.19,-0.05231235784685362,0.005303999999999975,False
BES PL,2014-07-14,2014-07-14,2014-07-14,2014-07-14,BES PL,Banco Espirito Santo SA,130.164,281.248,0.34,"ADDL,Secondary Share Offering",2603.25,28.52941132,11.7647047,2603.25,65.06052770827542,['Nomura'],0.4509,0.445,-0.2359550561797752,0.3261764705882353,False
IDR SM,2014-07-14,2014-07-15,2014-07-14,2014-07-15,IDR SM,Indra Sistemas SA,104.776,6.5677,11.72,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2609.47,-0.1279886216,1.322523236,2609.47,16.355296816536665,['UBS'],11.7071,12.08,-0.02980132450331119,-0.00110068259385665,True
LSE LN,2014-07-09,2014-07-10,2014-07-09,2014-07-10,LSE LN,London Stock Exchange Group PL,446.056,13.6,1915.0,"ADDL,Secondary Share Offering,Block,Government Exit",8929.54,-0.9921671152,0.0,8929.54,15.704804307038543,"['Citi', 'Bank of America Merrill Lynch']",1897.713,1956.0,-0.020961145194274056,-0.009027154046997388,True
GRG LN,2014-07-07,2014-07-08,2014-07-07,2014-07-08,GRG LN,Greggs PLC,50.5529,5.5007,536.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,1.304753065,-0.745573163,978.1659,1.4525716232301085,['UBS'],537.0761,564.5,-0.049601417183348095,0.0010738117427773197,True
