,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner,listing_price,announce_price,discount,firstday_return,Broker_core
DNORD DC,2017-11-30,2017-12-01,2017-11-30,2017-12-01,DNORD DC,D/S Norden A/S,89.4747,4.8696,115.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",776.468,2.173913002,2.695652246,776.468,3.7786439659337527,['Pareto Securities'],116.9696,127.0,-0.09448818897637801,0.017126956521739123,False
HLE GR,2017-11-30,2017-12-01,2017-11-30,2017-12-01,HLE GR,Hella GmbH & Co KGaA,68.1176,1.1457,50.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",6614.44,0.1000000015,1.120000005,6614.44,7.326153040851101,['Bankhaus Lampe KG'],50.1146,51.069,-0.02093246392136139,0.0022919999999999607,False
CSP LN,2017-11-30,2017-12-01,2017-11-30,2017-12-01,CSP LN,Countryside Properties PLC,310.032,67.5,340.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",2067.03,-0.5294117928,0.7352941036,2067.03,2.9352601518714194,"['Barclays', 'Numis']",343.2845,364.5,-0.0672153635116598,0.009660294117646906,False
HNSA SS,2017-11-29,2017-12-28,2017-11-29,2017-12-28,HNSA SS,Hansa Biopharma AB,65.2064,2.7525,198.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S",905.152,27.02020264,26.01010132,905.152,4.65714519707447,"['Evercore Partners Inc', 'RBC Capital Markets', 'SEB']",248.5949,208.5,-0.05035971223021585,0.2555297979797979,False
JPJ LN,2017-11-29,2017-11-30,2017-11-29,2017-11-30,JPJ LN,JPJ Group PLC,59.8998,5.5617,802.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",802.298,8.104738235,7.231920242,802.298,2.3097470250164167,['Macquarie'],833.9457,863.0,-0.07068366164542295,0.03983254364089772,False
BCART BB,2017-11-28,2017-11-29,2017-11-28,2017-11-29,BCART BB,Biocartis NV,94.96,6.4,12.5,"ADDL,Primary Share Offering,Accelerated Bookbuild",757.748,-0.4399999976,0.200000003,757.748,1.4711099817426159,"['Banque Degroof Petercam SA', 'JP Morgan', 'KBC Group', 'Kempen & Co NV']",12.6435,13.53,-0.07612712490761264,0.011479999999999935,True
LIGHT NA,2017-11-28,2017-11-29,2017-11-28,2017-11-29,LIGHT NA,Signify NV,649.526,17.1,32.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",5423.02,-2.203125,-0.546875,5423.02,12.85899193314897,"['Goldman Sachs', 'Bank of America Merrill Lynch', 'Rabobank', 'UBS']",31.8334,32.975,-0.029567854435178176,-0.005206249999999968,True
G24 GR,2017-11-27,2017-11-28,2017-11-27,2017-11-28,G24 GR,Scout24 AG,410.024,10.0,34.45,"ADDL,Secondary Share Offering,Accelerated Bookbuild",4400.0,1.872276425,-0.2031952441,4400.0,5.713341225339638,"['Credit Suisse', 'Morgan Stanley']",34.6986,34.905,-0.01303538175046548,0.007216255442670461,True
SOPH LN,2017-11-27,2017-11-28,2017-11-27,2017-11-28,SOPH LN,Sophos Group PLC,420.271,51.186,616.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",3816.82,-0.8116883039,-2.029220819,3816.82,9.762601530568178,['UBS'],601.7649,646.0,-0.04643962848297212,-0.023108928571428544,True
SMS LN,2017-11-24,2017-12-22,2017-11-24,2017-12-22,SMS LN,Smart Metering Systems PLC,199.98,21.7391,690.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,Sub Sector Flag,REG S",0.0,16.231884,18.69565201,869.5356,2.858051041916898,"['Barclays', 'Cenkos Securities', 'Macquarie']",787.7183,719.0,-0.04033379694019468,0.14162072463768105,False
EVO SS,2017-11-20,2017-11-21,2017-11-20,2017-11-21,EVO SS,Evolution Gaming Group AB,118.194,1.7985,557.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2374.8,-0.8976660967,-1.526032329,2374.8,8.17660116141549,"['Carnegie', 'SEB']",552.4641,605.5,-0.08009909165978535,-0.008143447037701868,False
VCP LN,2017-11-16,2017-11-16,2017-11-16,2017-11-16,VCP LN,Victoria PLC,237.456,22.9885,783.0,"ADDL,Primary Share Offering,Best Efforts,Sub Sector Flag",0.0,6.960408688,5.683269501,1262.7994,2.8548098291965496,"['Cantor Fitzgerald', 'Joh Berenberg Gossler & Co KG']",846.4419,840.0,-0.06785714285714284,0.08102413793103458,False
DIREN FP,2017-11-15,2017-11-16,2017-11-15,2017-11-16,DIREN FP,Direct Energie,90.4317,2.1,36.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1940.07,2.041095972,-2.082191706,1940.07,3.826923975852754,['BNP Paribas'],37.3269,40.15,-0.09090909090909083,0.02265479452054797,False
NYR BB,2017-11-14,2017-11-15,2017-11-14,2017-11-15,NYR BB,Nyrstar NV,117.82,15.3846,6.5,"ADDL,Primary Share Offering,Accelerated Bookbuild",835.012,-2.307692289,-3.707692385,835.012,2.925900635493682,"['JP Morgan', 'KBC Group']",6.3812999999999995,7.104,-0.08502252252252251,-0.01826153846153855,True
SANT GR,2017-11-14,2017-11-15,2017-11-14,2017-11-15,SANT GR,S&T AG,103.863,5.7617,15.3,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,9.934638977,13.07189369,1065.7923,5.462166106662165,['Hauck & Aufhaeuser Privatbankiers KGaA'],16.573,15.7,-0.02547770700636931,0.08320261437908494,False
DLG IM,2017-11-14,2017-11-15,2017-11-14,2017-11-15,DLG IM,De' Longhi SpA,220.913,7.5,25.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",4403.52,-3.319999933,-0.6399999857,4403.52,3.644983426092127,['UBS'],24.5239,27.6,-0.09420289855072472,-0.01904399999999995,True
TLG GR,2017-11-09,2017-11-13,2017-11-09,2017-11-13,TLG GR,TLG Immobilien AG,169.688,7.4176,19.7,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,2.46192503,2.192889452,2208.2769,3.3165638029747626,"['Deutsche Bank', 'JP Morgan']",20.2355,20.052,-0.017554358667464576,0.02718274111675112,True
NODL NO,2017-11-09,2017-11-10,2017-11-09,2017-11-10,NODL NO,Northern Drilling Ltd,249.469,31.75,64.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",610.906,3.125,0.0,610.906,1.4404103695044344,"['Carnegie', 'Fearnley Securities AS', 'Nordea Bank Abp', 'Pareto Securities']",65.3537,64.0,0.0,0.021151562500000054,False
IQE LN,2017-11-09,2017-11-16,2017-11-09,2017-11-16,IQE LN,IQE PLC,125.033,67.9416,140.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,Sub Sector Flag,REG S,Rule 144A",1388.98,25.892856600000002,24.4642849,1388.98,20.12907032612574,"['Canaccord Genuity', 'Peel Hunt LLP', 'Stifel']",173.3335,140.0,0.0,0.23809642857142843,False
VALN SW,2017-11-08,2017-11-22,2017-11-08,2017-11-22,VALN SW,Valora Holding AG,75.3768,0.2432,310.0,"ADDL,Primary Share Offering,Rump Placement",1247.13,5.887096882,5.564516068,1247.13,2.7185178424157566,"['Credit Suisse', 'JP Morgan']",326.9519,329.5,-0.05918057663125953,0.05468354838709688,True
STG DC,2017-11-08,2017-11-09,2017-11-08,2017-11-09,STG DC,Scandinavian Tobacco Group A/S,154.157,9.0699,109.13,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",1707.24,-1.768530488,-1.493628979,1707.24,1.1044859091465336,['Deutsche Bank'],109.9372,116.0,-0.05922413793103454,0.007396682855310255,False
SAP GR,2017-11-06,2017-11-07,2017-11-06,2017-11-07,SAP GR,SAP SE,426.536,3.7482,98.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",139800.0,0.4183673561,0.6775510311,139800.0,198.14435596227673,['UBS'],98.8353,98.95,-0.009600808489135915,0.008523469387755167,True
SUN SW,2017-11-02,2017-11-03,2017-11-02,2017-11-03,SUN SW,Sulzer AG,121.696,0.9889,123.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",4216.39,-0.4065040648,-0.7317073345,4216.39,7.652766609462861,['UBS'],123.6547,126.8,-0.029968454258675004,0.005322764227642329,True
RNO FP,2017-11-02,2017-11-03,2017-11-02,2017-11-03,RNO FP,Renault SA,1413.17,14.0,86.6,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block,Government Exit,REG S,Rule 144A",29714.7,3.637415171,3.983835459,29714.7,95.75598451113262,"['Bank of America Merrill Lynch', 'Deutsche Bank', 'Goldman Sachs']",90.2166,86.6,0.0,0.04176212471131646,True
JE/ LN,2017-11-01,2017-11-02,2017-11-01,2017-11-02,JE/ LN,Just Eat PLC,136.068,13.5,760.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",6850.21,1.842105269,5.263157845,6850.21,27.12932265424489,['Jefferies'],769.2855,771.0,-0.014267185473411104,0.012217763157894579,False
LCL LN,2017-11-01,2017-11-01,2017-11-01,2017-11-01,LCL LN,Ladbrokes Coral Group Ltd,81.4002,49.3,124.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",3163.13,2.811244965,7.710843563,3163.13,16.622194313512626,['Morgan Stanley'],127.3671,127.1,-0.020456333595593956,0.02302891566265064,True
AKERBP NO,2017-10-30,2017-10-31,2017-10-30,2017-10-31,AKERBP NO,Aker BP ASA,504.516,22.3764,184.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",8105.61,2.173913002,4.184782505,8105.61,11.119253770293202,"['Danske Bank', 'DNB ASA', 'Nordea Bank Abp', 'SEB', 'Swedbank']",186.1399,184.0,0.0,0.011629891304347995,False
ERF FP,2017-10-30,2017-11-02,2017-10-30,2017-11-02,ERF FP,Eurofins Scientific SE,347.33,0.55,543.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",0.0,-2.394106865,-1.777163863,11100.8246,11.755921298986038,"['Jefferies', 'Joh Berenberg Gossler & Co KG']",534.5577,559.8,-0.03001071811361189,-0.0155475138121548,False
LEON SW,2017-10-27,2017-10-27,2017-10-27,2017-10-27,LEON SW,Leonteq AG,63.807,1.0535,60.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",965.704,4.297520638,2.479338884,965.704,7.1305097483932,['Credit Suisse'],62.0035,62.45,-0.03122497998398721,0.0248512396694216,False
ACAD SS,2017-10-26,2017-10-27,2017-10-26,2017-10-27,ACAD SS,AcadeMedia AB,87.13,11.5114,63.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",711.96,0.0,-0.396825403,711.96,4.146460594177578,"['Carnegie', 'SEB']",63.2553,64.5,-0.023255813953488413,0.0040523809523809184,False
VACN SW,2017-10-25,2017-10-26,2017-10-25,2017-10-26,VACN SW,VAT Group AG,359.846,2.8,127.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",3823.38,1.102362156,0.944881916,3823.38,13.836756318612686,"['Credit Suisse', 'JP Morgan']",128.0516,132.7,-0.042954031650339064,0.008280314960630086,True
MONC IM,2017-10-25,2017-10-26,2017-10-25,2017-10-26,MONC IM,Moncler SpA,245.805,8.5,24.48,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",7365.7,0.7761456966,-0.7761419415,7365.7,21.709061313230748,['Goldman Sachs'],24.2703,24.69,-0.008505467800729027,-0.008566176470588327,True
KWS LN,2017-10-24,2017-10-27,2017-10-24,2017-10-27,KWS LN,Keywords Studios PLC,98.4967,5.3571,1400.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,Sub Sector Flag,REG S,Rule 144A",1132.01,19.5,14.64285755,1132.01,6.072761003675037,"['Joh Berenberg Gossler & Co KG', 'Numis']",1630.2209,1495.0,-0.0635451505016722,0.16444349999999996,False
LBK SM,2017-10-24,2017-10-25,2017-10-24,2017-10-25,LBK SM,Liberbank SA,142.991,181.417,0.67,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block,REG S,Rule 144A",736.687,2.985072136,5.522385597,736.687,1.2986079001726973,"['Citi', 'Deutsche Bank']",0.7022,0.737,-0.09090909090909083,0.04805970149253724,False
HSV LN,2017-10-19,2017-10-23,2017-10-19,2017-10-23,HSV LN,HomeServe PLC,164.525,15.2439,820.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",3539.81,3.414634228,3.658536673,3539.81,4.07159665337452,"['JP Morgan', 'UBS']",847.8324,822.0,-0.0024330900243308973,0.03394195121951227,True
AT1 GR,2017-10-19,2017-10-25,2017-10-19,2017-10-25,AT1 GR,Aroundtown SA,532.575,75.0,6.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",6699.96,0.8333333135,1.25,6699.96,4.531967413786152,"['Deutsche Bank', 'Goldman Sachs', 'Joh Berenberg Gossler & Co KG']",6.0367,6.245,-0.039231385108086436,0.006116666666666548,True
ALS30 FP,2017-10-12,2017-10-13,2017-10-12,2017-10-13,ALS30 FP,Solutions 30 SE,144.624,4.7,26.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",732.525,0.8076922894,0.03846153989,732.525,2.001532181403004,['Joh Berenberg Gossler & Co KG'],26.1129,27.65,-0.05967450271247732,0.004342307692307701,False
TALK LN,2017-10-12,2017-10-13,2017-10-12,2017-10-13,TALK LN,TalkTalk Telecom Group PLC,55.7699,20.0,210.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2664.73,-2.660332441,1.90023756,2664.73,4.547574332421666,['Jefferies'],204.1975,218.0,-0.0344036697247706,-0.029940617577197237,False
ORSTED DC,2017-10-11,2017-10-12,2017-10-11,2017-10-12,ORSTED DC,Orsted A/S,682.4,11.4352,375.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",25063.7,-0.400000006,-0.400000006,25063.7,44.47807815774048,"['Goldman Sachs', 'JP Morgan', 'Morgan Stanley', 'UBS']",373.6029,388.0,-0.03350515463917525,-0.0037256000000001066,True
FGR FP,2017-10-10,2017-10-11,2017-10-10,2017-10-11,FGR FP,Eiffage SA,285.22,2.7955,86.45,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",10036.4,1.09890461,1.2724154,10036.4,28.274823463891394,['Societe Generale'],87.1382,87.98,-0.01739031598090479,0.007960670908039313,False
SAF FP,2017-10-10,2017-10-11,2017-10-10,2017-10-11,SAF FP,Safran SA,324.846,3.2287,85.25,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",42114.7,0.4340175986,0.8328445554,42114.7,83.21697786153048,['Societe Generale'],85.5834,86.51,-0.0145647901976651,0.003910850439882596,False
ISP IM,2017-10-09,2017-10-09,2017-10-09,2017-10-09,ISP IM,Intesa Sanpaolo SpA,510.773,150.0,2.898,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Bought Deal,REG S,Rule 144A",54005.0,-0.2070394009,-0.3450656235,54005.0,267.48466871625817,['Goldman Sachs'],2.9198,2.912,-0.004807692307692291,0.00752242926155966,True
PETS LN,2017-10-09,2017-10-10,2017-10-09,2017-10-10,PETS LN,Pets at Home Group Plc,156.36,61.0,195.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1287.97,0.6153846383,1.589743614,1287.97,4.241715157521742,['Bank of America Merrill Lynch'],198.7199,215.9,-0.09680407596109308,0.01907641025641027,True
SAS SS,2017-10-06,2017-11-13,2017-10-06,2017-11-13,SAS SS,SAS AB,156.298,52.5,24.2,"ADDL,Primary Share Offering,Accelerated Bookbuild",1126.1,-0.4132262766,1.239666224,1126.1,6.034488975710955,"['HSBC', 'SpareBank 1 Markets AS', 'Nordea Bank Abp']",23.8048,24.3,-0.004115226337448652,-0.01633057851239661,False
BDRILL NO,2017-10-06,2017-10-11,2017-10-06,2017-10-11,BDRILL NO,Borr Drilling Ltd,650.0,162.5,32.0736,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1913.17,3.771197081,4.720324039,1913.17,1.1242974634199154,"['ABG Sundal Collier Asa', 'Clarksons Platou Securities', 'DNB ASA', 'Fearnley Securities AS', 'Pareto Securities', 'SEB', 'SpareBank 1 Markets AS']",32.5844,32.0,0.0022999999999999687,0.0159258704978551,False
OSR GR,2017-10-04,2017-10-05,2017-10-04,2017-10-05,OSR GR,OSRAM Licht AG,1389.19,18.155,65.05,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",7973.85,-1.767875433,-1.415838599,7973.85,20.438277590073366,"['Citi', 'Deutsche Bank']",64.327,65.201,-0.0023159154000704785,-0.01111452728670248,False
ELIS FP,2017-10-04,2017-10-05,2017-10-04,2017-10-05,ELIS FP,Elis SA,258.904,10.0,22.01,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",5653.01,2.498862982,1.476600528,5653.01,9.219836657323569,['BNP Paribas'],22.3443,22.375,-0.016312849162011145,0.015188550658791433,False
G24 GR,2017-10-04,2017-10-05,2017-10-04,2017-10-05,G24 GR,Scout24 AG,401.118,10.0,34.1,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S",4296.22,0.8211188912,1.466280222,4296.22,4.0375838975956055,"['Barclays', 'Credit Suisse', 'Jefferies', 'JP Morgan']",34.313,34.28,-0.0052508751458576475,0.006246334310850532,True
888 LN,2017-10-03,2017-10-04,2017-10-03,2017-10-04,888 LN,888 Holdings PLC,148.999,46.2835,243.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1160.01,0.2057613134,-1.152263403,1160.01,7.168908786092563,"['JP Morgan', 'Morgan Stanley']",245.616,259.0,-0.061776061776061764,0.01076543209876557,True
OSB LN,2017-10-03,2017-10-04,2017-10-03,2017-10-04,OSB LN,OneSavings Bank PLC,99.36,20.0,375.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1211.76,-0.2666666806,0.9866666794,1211.76,2.671721922400918,"['Citi', 'Credit Suisse']",375.3866,397.6,-0.05684104627766606,0.0010309333333333726,False
WPP LN,2017-10-02,2017-10-03,2017-10-02,2017-10-03,WPP LN,WPP PLC,403.167,22.5,1350.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",22673.2,1.481481433,3.92592597,22673.2,133.65850948154088,['Morgan Stanley'],1364.6941,1393.0,-0.03086862885857866,0.01088451851851846,True
EUCAR FP,2017-10-02,2017-10-03,2017-10-02,2017-10-03,EUCAR FP,Europcar Mobility Group,240.768,16.1061,12.73,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2409.27,-0.981928885,-1.531811118,2409.27,3.007479516436489,"['Citi', 'Societe Generale']",12.6653,13.11,-0.02898550724637672,-0.00508248232521602,False
REY IM,2017-10-02,2017-10-03,2017-10-02,2017-10-03,REY IM,Reply SpA,160.198,0.718,190.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",2088.57,0.7368420959,1.052631617,2088.57,2.7740308505051665,['Morgan Stanley'],190.0793,208.6,-0.08916586768935764,0.00041736842105266625,True
HL/ LN,2017-09-28,2017-09-29,2017-09-28,2017-09-29,HL/ LN,Hargreaves Lansdown PLC,253.325,13.0,1450.0,"ADDL,Secondary Share Offering,REG S",9212.57,2.068965435,1.724137902,9212.57,16.66406431134999,['Barclays'],1471.0115,1497.0,-0.03139612558450233,0.014490689655172417,False
APPS SM,2017-09-27,2017-09-29,2017-09-27,2017-09-29,APPS SM,Applus Services SA,161.2,13.0017,10.55,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S",0.0,-1.80791335e-06,-0.4739354551,1696.0322,1.2472566181463995,"['Barclays', 'Morgan Stanley']",10.6726,11.1,-0.04954954954954949,0.011620853080568594,True
OVS IM,2017-09-26,2017-09-27,2017-09-26,2017-09-27,OVS IM,OVS SpA,215.422,28.0,6.53,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1746.46,0.6125541925,-1.531396747,1746.46,3.651072025936174,['Credit Suisse'],6.5352,6.755,-0.033308660251665345,0.0007963246554363312,False
TKA GR,2017-09-25,2017-09-27,2017-09-25,2017-09-27,TKA GR,thyssenkrupp AG,1628.96,56.5938,24.3,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,2.42798686,3.872431278,16343.2177,73.5094650574806,"['BNP Paribas', 'Commerzbank', 'JP Morgan']",24.8398,24.38,-0.003281378178835004,0.022213991769547414,True
JUST LN,2017-09-25,2017-09-26,2017-09-25,2017-09-26,JUST LN,Just Group PLC,175.171,93.0,140.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S",1756.93,4.285714149,3.785714388,1756.93,3.2890902263945665,"['Barclays', 'Numis']",144.5861,149.8,-0.06542056074766367,0.03275785714285706,False
CAML LN,2017-09-22,2017-10-12,2017-09-22,2017-10-12,CAML LN,Central Asia Metals PLC,185.954,59.7559,230.0,"ADDL,Primary Share Offering,Secondary Share Offering,PE Backed,Accelerated Bookbuild,Sub Sector Flag,REG S",549.244,5.543478489,11.41304302,549.244,1.0093917580107188,"['JP Morgan', 'Peel Hunt LLP']",238.1279,254.5,-0.09626719056974464,0.03533869565217396,True
CCAP GR,2017-09-20,2017-09-21,2017-09-20,2017-09-21,CCAP GR,Corestate Capital Holding SA,188.703,3.0,52.4,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1311.38,0.1908367723,-2.427483797,1311.38,1.0189149999393836,['Joh Berenberg Gossler & Co KG'],52.8185,53.0,-0.01132075471698113,0.007986641221374047,False
HEIO NA,2017-09-18,2017-09-19,2017-09-18,2017-09-19,HEIO NA,Heineken Holding NV,716.756,7.7,78.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",26901.3,1.346153855,2.051282167,26901.3,6.554520329591562,"['JP Morgan', 'Morgan Stanley', 'UBS']",79.0619,82.8,-0.05797101449275355,0.01361410256410256,True
HEIA NA,2017-09-18,2017-09-19,2017-09-18,2017-09-19,HEIA NA,Heineken NV,2267.44,22.485,84.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",58280.2,-0.4497041404,0.0,58280.2,41.558784957087084,"['JP Morgan', 'Morgan Stanley', 'UBS']",84.3004,87.59,-0.03527799977166346,-0.002362130177514854,True
MT IM,2017-09-14,2017-09-15,2017-09-14,2017-09-15,MT IM,Maire Tecnimont SpA,87.3474,15.0,4.9,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",1788.26,-1.632655025,-1.020410061,1788.26,7.173258835983104,['BNP Paribas'],4.8796,5.235,-0.06399235912129897,-0.004163265306122543,False
HELN SW,2017-09-14,2017-09-15,2017-09-14,2017-09-15,HELN SW,Helvetia Holding AG,211.25,0.3974,513.4,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",5319.11,0.9933726788,0.5064229369,5319.11,10.069176107895055,['Deutsche Bank'],514.8148,526.5,-0.024881291547958262,0.0027557460070120054,False
ASRNL NA,2017-09-13,2017-09-14,2017-09-13,2017-09-14,ASRNL NA,ASR Nederland NV,1208.97,30.15,33.75,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit",5895.95,-0.01481481455,-1.377777815,5895.95,12.133814752079887,"['ABN Amro Bank NV', 'Citi', 'Deutsche Bank', 'HSBC']",33.871,34.08,-0.009683098591549255,0.0035851851851853578,False
HOME SM,2017-09-13,2017-09-14,2017-09-13,2017-09-14,HOME SM,Neinor Homes SA,468.861,21.3314,18.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,Block",1736.95,1.081081033,1.621621609,1736.95,4.477496308922044,"['Citi', 'Credit Suisse', 'JP Morgan']",18.738,19.25,-0.038961038961038974,0.012864864864864822,True
1COV GR,2017-09-12,2017-09-13,2017-09-12,2017-09-13,1COV GR,Covestro AG,1437.65,19.0,63.25,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",15217.3,7.415019989,9.011857986,15217.3,29.711329029745738,"['Barclays', 'Citi']",67.2936,63.897,-0.010125671001768421,0.06393043478260862,False
ERA FP,2017-09-12,2017-09-13,2017-09-12,2017-09-13,ERA FP,Eramet,202.603,2.9712,57.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1800.41,-2.45614028,-2.701754332,1800.41,4.824544215625353,"['UniCredit', 'Intesa Sanpaolo', 'BNP Paribas']",56.4646,63.55,-0.10306845003933907,-0.009392982456140397,False
TOKMAN FH,2017-09-12,2017-09-13,2017-09-12,2017-09-13,TOKMAN FH,Tokmanni Group Corp,81.3723,8.95,7.6,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",531.56,0.6578959823,-0.921051383,531.56,1.254317489525,"['Carnegie', 'SEB']",7.6173,8.08,-0.05940594059405946,0.0022763157894738484,False
RDW LN,2017-09-11,2017-09-12,2017-09-11,2017-09-12,RDW LN,Redrow PLC,201.388,25.9,590.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",2896.15,-1.694915295,-1.016949177,2896.15,6.3738620433008295,['Barclays'],581.3603,632.5,-0.06719367588932801,-0.014643559322033761,False
AHSL SS,2017-09-11,2017-09-12,2017-09-11,2017-09-12,AHSL SS,Ahlsell AB,421.488,65.5,51.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",2821.18,-0.6796116233,-1.844660163,2821.18,3.278604683163883,"['Danske Bank', 'Goldman Sachs', 'Nordea Bank Abp']",51.2666,54.25,-0.05069124423963134,-0.004532038834951568,True
LOG SM,2017-09-06,2017-09-07,2017-09-06,2017-09-07,LOG SM,Cia de Distribucion Integral L,300.829,13.275,19.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",3023.93,2.710526228,2.34210515,3023.93,2.644652561772056,"['Credit Suisse', 'Goldman Sachs']",19.3989,20.05,-0.052369077306733236,0.020994736842105288,True
JYSK DC,2017-09-05,2017-09-06,2017-09-05,2017-09-06,JYSK DC,Jyske Bank A/S,267.675,4.752,352.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",5363.21,0.8238636255,0.7386363745,5363.21,12.082867490015605,['Carnegie'],354.5869,370.7,-0.05044510385756673,0.007349147727272687,False
STMN SW,2017-09-05,2017-09-06,2017-09-05,2017-09-06,STMN SW,Straumann Holding AG,271.711,0.4327,600.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",10233.2,1.5,2.5,10233.2,26.236998793374035,['JP Morgan'],603.1638,617.0,-0.027552674230145846,0.005273000000000083,True
ENGI FP,2017-09-05,2017-09-06,2017-09-05,2017-09-06,ENGI FP,Engie SA,1640.97,99.9,13.8,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit",40082.9,4.92753458,7.210143566,40082.9,75.332234941695,"['BNP Paribas', 'JP Morgan', 'Morgan Stanley']",14.229,13.975,-0.012522361359570633,0.031086956521739095,True
ORSTED DC,2017-08-30,2017-08-31,2017-08-30,2017-08-31,ORSTED DC,Orsted A/S,385.262,7.5,321.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",21554.5,1.588785052,1.059190035,21554.5,16.129983075638034,"['Goldman Sachs', 'Danske Bank', 'Nordea Bank Abp']",325.5358,329.0,-0.024316109422492405,0.014130218068535871,True
VACN SW,2017-08-30,2017-08-31,2017-08-30,2017-08-31,VACN SW,VAT Group AG,179.232,1.4352,120.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",3746.49,3.083333254,3.166666746,3746.49,11.373610685186005,"['Credit Suisse', 'UBS']",122.2932,122.9,-0.023596419853539552,0.01910999999999996,True
