,,,Announced Date,Pricing date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Market cap,ADV
AUB US,2018-01-23,2018-01-24,2018-01-23,2018-01-24,2018-01-24,AUB US,Atlantic Union Bankshares Corp,301.412,7.9319,38.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2497.54,2.526315689,0.2631579041,"Stifel, Sandler O'Neill & Partners, Raymond James & Associates, Barclays",2497.54,8.85433706977778
ATNX US,2018-01-22,2018-01-25,2018-01-22,2018-01-25,2018-01-25,ATNX US,Athenex Inc,72.6663,4.3,15.25,"ADDL,Primary Share Offering,Emerging Growth Company",960.755,-0.3934426308,-1.245901585,"RBC Capital Markets, Deutsche Bank",960.755,5.555314984499997
ADMS US,2018-01-22,2018-01-24,2018-01-22,2018-01-23,2018-01-24,ADMS US,Adamas Pharmaceuticals Inc,143.175,3.0,41.5,"ADDL,Primary Share Offering,Accelerated Bookbuild,Emerging Growth Company",1085.9,3.662650585,-2.144578218,"Bank of America Merrill Lynch, SVB Leerink LLC, Evercore Partners Inc",1085.9,26.469147452666668
RARE US,2018-01-22,2018-01-24,2018-01-22,2018-01-23,2018-01-24,RARE US,Ultragenyx Pharmaceutical Inc,287.502,4.386,57.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",2709.34,0.9122806787,2.666666746,"JP Morgan, Bank of America Merrill Lynch, Goldman Sachs, Cowen & Co",2709.34,20.580734829200004
AGIO US,2018-01-17,2018-01-19,2018-01-17,2018-01-18,2018-01-19,AGIO US,Agios Pharmaceuticals Inc,546.251,7.0896,67.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",3803.65,1.791044831,4.313432693,"JP Morgan, Goldman Sachs, Cowen & Co",3803.65,27.83751409466667
XON US,2018-01-16,2018-01-17,2018-01-16,2018-01-17,2018-01-17,XON US,Intrexon Corp,86.25,6.0,12.5,"ADDL,Primary Share Offering,Accelerated Bookbuild",1594.05,18.0,9.039999962,JMP Group LLC,1594.05,20.353696794566673
GDEN US,2018-01-16,2018-01-19,2018-01-16,2018-01-18,2018-01-19,GDEN US,Golden Entertainment Inc,209.3,6.5,28.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",739.553,1.964285731,2.1071429249999998,"JP Morgan, Morgan Stanley, Macquarie",739.553,2.6825811701000006
URGN US,2018-01-16,2018-01-19,2018-01-16,2018-01-18,2018-01-19,URGN US,UroGen Pharma Ltd,68.9989,1.4634,41.0,"ADDL,Primary Share Offering,VC Backed,Accelerated Bookbuild,Emerging Growth Company",632.806,5.170731544,4.878048897,"Jefferies, Cowen & Co, Oppenheimer & Co",632.806,4.067044338666665
BGNE US,2018-01-16,2018-01-18,2018-01-16,2018-01-17,2018-01-18,BGNE US,BeiGene Ltd,800.011,7.4258,101.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,8.376237869,14.41584206,"Morgan Stanley, Goldman Sachs, Cowen & Co, SVB Leerink LLC",4676.7461,29.896756854722216
AVXS US,2018-01-16,2018-01-17,2018-01-16,2018-01-16,2018-01-17,AVXS US,AveXis Inc,460.0,3.9216,102.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",3661.19,1.186274529,2.813725471,"Goldman Sachs, Jefferies, Bank of America Merrill Lynch",3661.19,43.4464264714889
FRAC US,2018-01-11,2018-01-18,2018-01-11,2018-01-17,2018-01-18,FRAC US,Keane Group Inc,279.592,13.3218,18.25,"ADDL,Secondary Share Offering",2040.92,1.643835664,-1.589041114,"Bank of America Merrill Lynch, Barclays, Goldman Sachs, JP Morgan, Morgan Stanley, Citi",2040.92,13.282073440277777
