,Market cap,post_return_net_20_last,post_revision,post_revision_last,pre_revision,pre_EPS_avg,stock_mom,stock_mom_short,beta,30d_vol,EAR_net,EAR_net_last,yield_slope,vix,gold,oil,momentum_long_MA_150,market_MA_50,stock_MA_n_150,inflation,result_net_20
EAR_net,-0.24995451352663356,-0.026190093085477588,0.19208244099559035,-0.031051024729653737,0.036183377345414554,0.0033626472699088247,-0.10188530670898203,-0.040626978710645044,0.1342468429336571,0.24223631637093546,1.0,-0.03434160471792883,-0.034992647896746894,0.06386826453163134,-0.07786916531649223,-0.04224354387810266,-0.030205354621883816,-0.01706575891208032,0.18100188499947567,0.0015888350775485657,0.009132314920788706
EAR_net_last,0.02586180125140344,0.018767464280175325,0.013921292165769598,0.2202382872231354,0.03650973682018168,-0.010735818735942987,0.18361251671446577,-0.021814754136253067,-0.0005842295365704112,-0.024140953183107078,-0.03434160471792883,1.0,0.013002374314343604,0.016072470898879667,-0.020865724110522614,0.007127200205837445,-0.013512502642571061,-0.015845379791065546,0.24212704123867296,-0.013750172623048016,0.011773491494766003
yield_slope,-0.10618011485656038,0.018720945100447108,0.03654624838485653,0.02697500197712149,0.04687672278544902,0.011280269003693258,0.10041039326088871,0.04889207375377989,0.07125496389038276,0.14941368804723254,-0.034992647896746894,0.013002374314343604,1.0,0.3706216937652242,-0.2917109755928173,0.44299834791455406,-0.26727219479597586,0.023507509531163994,0.053210511063643294,-0.8450234473500733,-0.002102580355850467
vix,-0.11685151234858174,0.0010334674608905269,0.018461653082280847,0.00019945110913192448,-0.020233447204602222,0.013794130604032858,-0.1757578697650455,-0.14738024071153732,-0.07908956084412808,0.4735896572031225,0.06386826453163134,0.016072470898879667,0.3706216937652242,1.0,-0.31282046741379577,0.06044553062894193,-0.35328169321519554,-0.46942338012921747,-0.2609896244037121,-0.545540678928511,0.01183729355058103
gold,0.0545157021563637,-0.02586467133192841,-0.04364006139554861,0.0018047804197675508,-0.0027874899057105974,-0.0031757731883876664,0.1517256962713153,0.018143044165812323,0.104661955323473,-0.24594770206634806,-0.07786916531649223,-0.020865724110522614,-0.2917109755928173,-0.31282046741379577,1.0,0.2005610425260308,0.2405044717443242,0.158369716122256,0.09561311664487432,0.28227887283690967,-0.019398812866792972
oil,-0.040314861036431324,-0.0038459293180087488,-0.037211222015840616,0.009256127977657826,0.033529507583882644,0.0009186177823856166,0.13550782918869525,0.012351896146077923,0.05281049207823329,-0.004427934490616941,-0.04224354387810266,0.007127200205837445,0.44299834791455406,0.06044553062894193,0.2005610425260308,1.0,0.19397912897765482,0.021254203796288586,0.037481941433394804,-0.49293444008887427,-0.0009555054462919215
momentum_long_MA_150,0.06692183709710525,0.003280226767808041,-0.07390374543330368,0.020315568898811726,-0.00974873039490921,-0.016352637217976772,0.26940571780935485,-0.177994777982474,0.03392018638545352,-0.23127978174397656,-0.030205354621883816,-0.013512502642571061,-0.26727219479597586,-0.35328169321519554,0.2405044717443242,0.19397912897765482,1.0,-0.2627246200316228,-0.03243396692678238,0.27408137581869096,0.03576910182584358
market_MA_50,0.01765879554832935,-0.05021866124637096,0.03326527633058185,-0.016727645052537363,0.00851330464996566,0.013256768990170125,-0.05753612261634034,0.4619698226910706,0.07874300508834314,-0.13786573819192044,-0.01706575891208032,-0.015845379791065546,0.023507509531163994,-0.46942338012921747,0.158369716122256,0.021254203796288586,-0.2627246200316228,1.0,0.2811829627868321,-0.015054750050021107,-0.037255816342550804
stock_MA_n_150,0.08627285987605425,0.2280879031976572,0.06573015135866538,0.10488180232510716,0.13785729781218503,-0.011549898050478086,0.3364902751446199,0.3598884704335548,-0.004665393735298321,-0.2803457749662889,0.18100188499947567,0.24212704123867296,0.053210511063643294,-0.2609896244037121,0.09561311664487432,0.037481941433394804,-0.03243396692678238,0.2811829627868321,1.0,0.027600302435437533,0.012229425827373533
inflation,0.13768231291826438,0.002554869266325377,-0.02561839121513983,-0.017975867848850833,-0.019935483719019535,-0.0160599212104305,0.037920978427850624,-0.0731766428641582,-0.051587794122650216,-0.2660889290352516,0.0015888350775485657,-0.013750172623048016,-0.8450234473500733,-0.545540678928511,0.28227887283690967,-0.49293444008887427,0.27408137581869096,-0.015054750050021107,0.027600302435437533,1.0,-0.003299409990167662
result_net_20,0.018675231445674453,0.029397952492741672,0.006963720251318545,0.0006997490892956983,-0.022945713426681082,-0.006143081420941417,-0.008980706172204327,-0.015168551141762573,-0.05235852128645776,-0.016327230834068885,0.009132314920788706,0.011773491494766003,-0.002102580355850467,0.01183729355058103,-0.019398812866792972,-0.0009555054462919215,0.03576910182584358,-0.037255816342550804,0.012229425827373533,-0.003299409990167662,1.0
