,,,,Date,Market cap,Volume,Supersector,Sector,Revision_real,Revision_20,mom,mom_short,30d_vol
1284849D US,01/Nov/2010,02/Feb/2011,31/Dec/2010,01/Nov/2010,22709.754,91.63868959999999,Health Care,Pharmaceuticals & Biotechnology,0.0028169014084507005,0.014084507042253502,1.187533680617927,1.106942973831493,0.01350770204035
1290105D US,25/Feb/2010,06/May/2010,31/Mar/2010,25/Feb/2010,826.7456,4.312094203,Oil & Gas,"Oil Equipment, Services & Distribution",-0.21212121212121215,-0.25757575757575757,2.2531645569620253,1.0196629213483146,0.02679290943653329
1290105D US,06/May/2010,05/Aug/2010,30/Jun/2010,06/May/2010,698.9960000000001,4.958985179,Oil & Gas,"Oil Equipment, Services & Distribution",-0.16981132075471705,-0.30188679245283023,0.9349030470914128,0.8562962962962963,0.027989967426047542
1290105D US,05/Aug/2010,24/Feb/2011,30/Sep/2010,05/Aug/2010,591.7453,3.757478312,Oil & Gas,"Oil Equipment, Services & Distribution",-0.1351351351351351,-0.29729729729729726,0.49347568208778175,1.221153846153846,0.038391972891017576
1321686D US,19/Feb/2010,05/May/2010,31/Mar/2010,19/Feb/2010,710.7791,5.405211044,Health Care,Health Care Equipment & Services,0.011494252873563315,0.0,1.0815709969788518,0.9731843575418996,0.012721304545956272
1321686D US,05/May/2010,03/Aug/2010,30/Jun/2010,05/May/2010,715.6056,7.02685109,Health Care,Health Care Equipment & Services,0.03488372093023262,0.023255813953488413,1.1686666666666667,1.0855675984027382,0.017173819233404337
1330361D US,23/Feb/2010,10/May/2010,31/Mar/2010,23/Feb/2010,2863.4203,6.523651851,Financial Services,Financial Services,-0.019867549668874163,-0.026490066225165587,1.3193933823529411,1.0508533611981887,0.026584075267171724
1330361D US,10/May/2010,19/Jul/2010,30/Jun/2010,10/May/2010,3139.2239,28.84504601,Financial Services,Financial Services,-0.01342281879194629,0.033557046979865834,1.4823313446535107,1.021671826625387,0.008641268470552084
1431816D US,28/Jan/2010,29/Apr/2010,31/Mar/2010,28/Jan/2010,3918.9452,7.451254147,Technology,Technology Hardware & Equipment,0.0512820512820511,0.0512820512820511,1.8840822784810127,0.908678636814082,0.023154952990951872
1431816D US,29/Apr/2010,29/Jul/2010,30/Jun/2010,29/Apr/2010,4195.2858,10.45367136,Technology,Technology Hardware & Equipment,-0.001941747572815511,0.05436893203883475,1.5935410907263132,0.9843392685350197,0.018768933212026998
