,,,,2019-06-28 00:00:00,size
THC US,26/Feb/2019,30/Apr/2019,29/Mar/2019,0.04181723006627025,341.80737444136423
TKR US,01/May/2019,,28/Jun/2019,-0.03283824243870681,430.50339879414514
TLND US,15/Feb/2019,09/May/2019,29/Mar/2019,-0.019390835460736056,328.1220221498824
TMHC US,01/May/2019,,28/Jun/2019,-0.005274066713457537,414.11835673599904
TWTR US,23/Apr/2019,,28/Jun/2019,-0.057712201397445484,609.7012078415881
UNF US,27/Mar/2019,26/Jun/2019,29/Mar/2019,0.0496453916669668,661.6246940338773
UTHR US,27/Feb/2019,01/May/2019,29/Mar/2019,-0.08381898853364611,914.5884482090213
VG US,08/May/2019,,28/Jun/2019,7.556237599182225e-06,502.54116250992564
VICR US,24/Apr/2019,,28/Jun/2019,-0.12924220983551882,374.2919616400953
VSAT US,24/May/2019,,28/Jun/2019,-0.1424815471101547,626.6693047516565
W US,22/Feb/2019,02/May/2019,29/Mar/2019,-0.013499152440957451,330.6690592643601
WMGI US,08/May/2019,,28/Jun/2019,-0.053103793676662736,580.0330725134226
WMS US,23/May/2019,,28/Jun/2019,0.08900579052537294,571.5975301312409
WRLD US,09/May/2019,,28/Jun/2019,0.0922673640273528,524.0247710260765
WSC US,15/Mar/2019,03/May/2019,29/Mar/2019,0.15972448406419493,492.6175364694673
XOG US,22/Feb/2019,03/May/2019,29/Mar/2019,0.23937589670119985,226.80156776264894
XRAY US,01/Mar/2019,03/May/2019,29/Mar/2019,0.007276658322590279,656.2060605427235
YEXT US,07/Mar/2019,31/May/2019,29/Mar/2019,-0.0911681290183336,269.9151898776774
ZNGA US,02/May/2019,,28/Jun/2019,0.018053090597336396,501.57713137121107
ZS US,01/Mar/2019,31/May/2019,29/Mar/2019,-0.07885871558516,469.35316657934465
