,Cum_ret,Market_cap,Gap,EAR,Intraday,Revision,Rating,Vol,Distance_high,RSI,AUTOR,MA50,MA150,PE,PE_premium,Sector
"('1448841D LN', '29/Nov/2007', '14/Jun/2008', None)",0.021081771830318896,1559.8031,-0.062104482295444165,0.6210448229544502,0.6831493052498944,0.024226057688544498,0.5968187652659057,0.05210970021933379,0.9459459459459459,59.69561202465735,3.3688483518415846,5.612778072717344,5.981815483196674,19.573532002533526,0.067148360523694,Industrial Goods & Services
"('1448841D LN', '12/Jun/2007', '29/Nov/2007', '29/Nov/2007')",-0.159084300248856,1519.6782,-3.9004500444663304,-9.426087607460309,-5.525637562993978,-0.050000000000000044,-9.376087607460308,0.009554559171502107,0.0,24.169517771563804,-2.440710760039091,-5.844231446736634,-5.817335315898903,18.262929952720057,-0.08213897004547843,Industrial Goods & Services
"('1572241D SM', '03/Sep/2007', '13/Nov/2007', '13/Nov/2007')",-0.004358044659483196,8352.3987,-0.28353099331545206,-0.07079806165223115,0.2127329316632209,-0.08519415468988994,0.014396093037658791,0.009026431211417607,0.03609964953472705,55.372534129997916,1.036775938024737,-1.8191179173843817,-6.638414362191076,16.307391988229178,-0.1946778141837502,Real Estate
"('1572241D SM', '10/May/2007', '03/Sep/2007', '03/Sep/2007')",-0.05533905242562698,9084.5028,-0.18871323059025444,-0.471670344557742,-0.2829571139674876,-0.04537739367065984,-0.42629295088708213,0.012403799763197077,0.018625343831085592,44.792074135987896,1.193972575155799,-2.8949950769544452,-9.672505218015663,16.350319223569333,-0.223566662166937,Real Estate
"('1572241D SM', '28/Feb/2007', '10/May/2007', '10/May/2007')",-0.09884538555327804,9357.0378,-0.624378826438983,-1.0637442315828165,-0.4393654051438335,0.1213675213675213,-1.1851117529503379,0.02406428228527321,0.0,29.91303725333526,-2.7473084238556904,-11.983266690682873,-11.983266690682873,18.558229978016158,-0.13841976691295876,Real Estate
"('3123739Q LN', '18/Sep/2007', '12/Jun/2008', None)",0.06475944128864985,6472.8187,0.07301637130581141,1.4238192404634153,1.350802869157604,0.11486226777706603,1.3089569726863493,0.021550839826693247,0.7681159420289855,57.997584221860805,1.6361805060953787,1.635642302032802,1.6064507726023904,31.179183616800927,1.6754237754269319,Insurance
"('3123739Q LN', '06/Jun/2007', '18/Sep/2007', '18/Sep/2007')",0.10404961368634535,6330.2763,0.15457579524503035,-1.3138942595827687,-1.4684700548277991,-0.011278195488721814,-1.302616064094047,0.010203971868595367,0.21367521367521367,45.840616739874065,-0.9899955021942152,-2.6642618216644265,-3.2495567091148616,23.9561948816917,1.5029212764488733,Insurance
"('3426724Q LN', '17/Sep/2007', None, None)",0.37127313545757534,1689.0765,-0.5258020323283343,-0.7648029561139384,-0.2390009237856041,-0.05403031828606586,-0.7107726378278726,0.024525698980295954,0.7320261437908496,76.12382127853454,2.291657366088679,1.903616031310899,2.7619405851221512,8.315728036122133,-0.01033536129096213,Oil & Gas
"('3426724Q LN', '19/Mar/2007', '17/Sep/2007', '17/Sep/2007')",-0.020046672417353473,1528.5205,0.9116614972330734,-0.5801482255119564,-1.49180972274503,-0.09952380952380956,-0.48062441598814687,0.01608784259418708,0.09876543209876543,46.18551711848919,0.01961042259847912,-1.926357715121199,-2.462321523489817,7.677346867016919,-0.09264266350495942,Oil & Gas
"('3564296Q LN', '06/Sep/2007', '06/Jun/2008', None)",0.2032103341171385,937.3784,-1.6070767524990899,-2.219296467736837,-0.6122197152377473,-0.05312376750147897,-2.166172700235358,0.022725572424367114,0.4634146341463415,43.84195116296664,0.39749547331409657,-1.0711460161613646,-0.8761780419750405,13.021827685812429,-0.24894806050737295,Oil & Gas
