Ticker,Date,Revision,Market cap,Volume
120110 KS,2017-11-10,-0.06705512,1712.6163,11.7849114
1208 HK,2017-08-23,0.074746009,3829.7272,14.74792591
1216 TT,2017-11-08,-0.022601832,12015.664,13.78898912
123 HK,2017-08-21,-0.000401445,2171.691,6.714287115
1288 HK,2017-10-30,0.001211632,180075.0151,54.26525546
128940 KS,2017-11-01,0.037753939,4627.1462,47.41818278
1293 HK,2017-08-25,0.196349843,1440.1675,6.394768194
1299 HK,2017-07-28,0.039641944,91988.0681,128.0393509
1301 TT,2017-10-09,0.022533202,19261.5738,13.29124792
1303 TT,2017-10-09,0.02918914,19145.6111,17.94869163
130960 KS,2017-11-09,-0.012100779,3108.8046,20.65466817
1312 TT,2017-11-10,0.158696775,708.4848,4.415449415
1313 HK,2017-10-23,0.072369411,4429.3658,10.32326934
1314 TT,2017-11-14,0.085219707,1123.7816,10.9278783
1316 HK,2017-08-16,0.035386762,3806.5943,8.559079961
1319 TT,2017-11-13,-0.013217192,1122.9833,7.350111479
1326 TT,2017-11-10,0.010875734,18088.1643,9.035496337
1332 JP,2017-11-02,-0.005471458,1834.7645,16.73101267
1333 JP,2017-11-07,-0.003030303,1607.3679,7.119911488
1336 HK,2017-10-27,0.032157413,25761.5515,41.61328787
1339 HK,2017-08-25,0.011564252,19635.3245,21.31020994
1347 HK,2017-11-07,0.048278382,1965.5635,7.912867662
1357 HK,2017-08-24,-0.127444589,7068.3902,77.88800966
1359 HK,2017-08-29,-0.031386201,15705.57,36.95486924
1377 JP,2017-10-09,-0.010544311,1425.9932,6.435685772
1378 HK,2017-11-06,-0.065971872,11705.098,56.29933097
138930 KS,2017-11-02,-0.006145672,2902.1792,7.136886144
139130 KS,2017-11-09,-0.007743915,1489.7565,4.198552262
139480 KS,2017-11-09,0.074898981,5783.5714,17.54456636
1398 HK,2017-10-31,0.005989254,324149.3086,236.6427006
14 HK,2017-08-04,0.003314579,4980.4752,3.961444544
1414 JP,2017-11-13,0.016829655,1767.3499,3.402922409
1429071D HK,2010-03-16,-0.05952381,4194.6537,13.61905428
1435 JP,2017-11-07,-0.054106267,980.5983,4.762123122
144 HK,2017-08-31,0.035134099,10376.4658,16.13197034
145020 KS,2017-10-26,-0.09222929,1787.1378,16.690469
1476 TT,2017-11-08,-0.102404417,2955.5622,18.41503807
1477 TT,2017-10-18,-0.004006298,935.3689,3.484451333
1478 HK,2017-08-09,0.339690244,1432.3911,8.370104201
148 HK,2017-08-18,0.024061747,4774.0037,6.630922267
151 HK,2017-11-20,0.03426087,10199.1179,17.25685766
1515 HK,2017-08-25,0.007929639,1598.1744,3.789360193
1530 HK,2017-08-29,-0.009732777,3238.7251,9.31370488
1536 TT,2017-11-14,-0.02304922,1085.5504,12.66130807
1565 TT,2017-11-09,0.024032455,1323.4962,7.133099211
1567411D HK,2016-08-25,0,30794.5128,15.90753762
1590 TT,2017-10-23,0.010066106,2947.6609,12.05281535
16 HK,2017-09-15,-9.93E-05,50162.1641,61.32529325
1605 JP,2017-11-09,0.012643482,17048.4466,52.75388164
1612890D HK,2017-03-23,0.007594937,3416.8314,7.033822765
161390 KS,2017-11-07,-0.037174353,6181.4462,15.40150137
1618 HK,2017-10-30,0,14808.4332,3.697017138
161890 KS,2017-11-15,-0.016085051,1599.3247,15.17617009
1628 HK,2017-08-22,0.084463839,2234.1553,4.151544801
1631080D AU,2008-03-14,0,814.902,12.25197222
1638 HK,2017-08-29,0,2168.933,8.43092921
165 HK,2017-08-30,0.124972874,3871.8198,9.237093352
1658 HK,2017-10-27,0.013657424,48075.4962,5.79664138
1662 JP,2017-11-10,0.26295477,1289.1297,6.206957569
1668 HK,2017-11-30,0,1958.2897,10.07813487
168 HK,2017-10-30,0.014609686,6201.7602,4.056966971
1688 HK,2012-04-24,-0.035688108,8576.512,11.50095993
17 HK,2017-09-21,-0.057739558,13889.3939,25.3712426
1710 TT,2017-11-16,0.216390306,877.546,4.507952822
1719 JP,2017-11-10,0.007413317,1484.9371,13.41815606
