,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Security type,Market cap
WALWIL NO,2010-03-15,2010-06-24,2010-03-15,2010-06-24,WALWIL NO,Wallenius Wilhelmsen ASA,247.397,0.0,24.2,"IPO,Primary Share Offering",756.498,-3.152642194e-06,-5.371903896,"Carnegie, Pareto Securities",Class B,756.498
JUST LN,2013-10-17,2013-11-12,2013-10-17,2013-11-12,JUST LN,Just Group PLC,554.651,0.0,225.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1790.44,0.0,-5.333333492,"Deutsche Bank, Nomura",Common,1790.44
RPO LN,2011-11-30,2012-01-19,2011-11-30,2012-01-19,RPO LN,RusPetro PLC,265.553,121.542,134.0,"IPO,Primary Share Offering",679.654,-0.1865671575,-5.223880768,"Bank of America Merrill Lynch, Mirabaud Securities, Renaissance Capital Pty Ltd",Common,679.654
AEDAS SM,2017-09-22,2017-10-20,2017-09-22,2017-10-20,AEDAS SM,Aedas Homes SAU,797.04,20.9394,31.65,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,PE Backed,PE Exit,REG S,Rule 144A",1789.41,-0.7898882031,-5.213269234,"Goldman Sachs, Citi, Banco Santander, UBS",Common,1789.41
INWI SS,2014-09-01,2014-09-26,2014-09-01,2014-09-26,INWI SS,Inwido AB,366.215,31.8821,68.0,"IPO,Secondary Share Offering",542.562,2.205882311,-5.147058964,"Carnegie, Svenska Handelsbanken",Common,542.562
ETLN LI,2011-03-23,2011-04-15,2011-03-23,2011-04-15,ETLN LI,Etalon Group PLC,575.0,0.0,7.0,"IPO,Primary Share Offering,Secondary Share Offering",2064.71,0.0,-5.0,"Credit Suisse, Renaissance Capital Pty Ltd, VTB Capital",Common,2064.71
SHOT SS,2015-11-04,2015-12-02,2015-11-04,2015-12-02,SHOT SS,Scandic Hotels Group AB,351.717,45.7576,67.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,PE Backed,PE Exit,REG S,Rule 144A",796.607,0.0,-4.850746155,"ABG Sundal Collier Asa, Deutsche Bank, Morgan Stanley, SEB",Common,796.607
PQR SM,2016-04-04,2016-04-29,2016-04-04,2016-04-29,PQR SM,Parques Reunidos Servicios Cen,683.9,38.721,15.5,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,PE Backed,PE Exit,REG S,Rule 144A",1417.2,0.0,-4.838709831,"Banco Santander, Barclays, BNP Paribas, Deutsche Bank, Morgan Stanley",Common,1417.2
AML LN,2018-09-10,2018-10-03,2018-09-10,2018-10-03,AML LN,Aston Martin Lagonda Global Ho,1411.06,57.3803,1900.0,"IPO,Secondary Share Offering,REG S,Rule 144A",5626.91,0.0,-4.736842155,"Bank of America Merrill Lynch, Credit Suisse, Deutsche Bank, Goldman Sachs, HSBC, JP Morgan, UniCredit",Common,5626.91
HSTG LN,2015-09-15,2015-10-12,2015-09-15,2015-10-12,HSTG LN,Hastings Group Holdings PLC,324.999,0.0,170.0,"IPO,Primary Share Offering,Secondary Share Offering,REG S,Rule 144A",1712.55,0.0,-4.705882549,"Goldman Sachs, Barclays, Credit Suisse, HSBC",Common,1712.55
