,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner,listing_price,announce_price,discount,firstday_return,Broker_broad,Broker_core,abs_return,rel_return,holding,size,abs_pnl,rel_pnl
AHSL SS,2017-05-16,2017-05-17,2017-05-16,2017-05-17,AHSL SS,Ahlsell AB,598.663,90.0,58.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",2917.36,-0.8547008634,-1.965811968,2917.36,4.210876044510108,"['Carnegie', 'Goldman Sachs', 'Nordea Bank Abp']",58.4564,60.85,-0.03861955628594904,-0.0007452991452990831,True,True,-0.0007452991452990831,0.01492238988429806,1,842.1752089020216,-0.6276724633867535,12.567266818126132
STMN SW,2017-05-16,2017-05-17,2017-05-16,2017-05-17,STMN SW,Straumann Holding AG,295.868,0.54,541.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",8700.16,-5.175600529,-3.696857691,8700.16,20.67454355155217,['JP Morgan'],530.4425,551.5,-0.01903898458748865,-0.01951478743068391,True,True,-0.0440116602840972,-0.022452550721259845,2,4134.908710310434,-181.98419746393728,-92.83924754602415
MDM FP,2017-05-16,2017-05-17,2017-05-16,2017-05-17,MDM FP,Maisons du Monde SA,249.646,7.1327,31.6,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",1592.33,4.256327629,2.167720318,1592.33,3.1043523830565696,"['Goldman Sachs', 'Citi']",32.5052,31.895,-0.009249098604796946,0.02864556962025322,True,True,0.02864556962025322,0.04431325864985047,1,620.870476611314,17.78518846292919,27.512794018133093
BRAV SS,2017-05-11,2017-05-12,2017-05-11,2017-05-12,BRAV SS,Bravida Holding AB,215.61,31.39,61.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1384.51,0.4918032885,0.9836065769,1384.51,2.2851652844873795,['Morgan Stanley'],61.4033,62.8,-0.0286624203821656,0.006611475409836087,True,True,0.006611475409836087,0.0027561401722928647,1,457.03305689747594,3.0216628171598794,1.259647168180944
LCL LN,2017-05-11,2017-05-12,2017-05-11,2017-05-12,LCL LN,Ladbrokes Coral Group Ltd,97.3941,62.0,122.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",3006.9,0.1639344245,0.08196721226,3006.9,17.21026129058129,['Morgan Stanley'],122.841,123.9,-0.015334947538337418,0.006893442622950774,True,True,0.0021676468304794305,-0.002871853987384543,2,1947.8819999999998,4.222320243447934,-5.594032688654577
INTER NA,2017-05-10,2017-05-10,2017-05-10,2017-05-10,INTER NA,Intertrust NV,202.145,10.0,18.6,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1859.72,0.8064495325,0.02687966824,1859.72,2.1138581824648135,"['ABN Amro Bank NV', 'Morgan Stanley']",19.4218,19.46,-0.04419321685508737,0.04418279569892469,True,True,0.002684718188396884,0.00992468930945778,2,422.7716364929628,1.135022702030973,4.195877141043678
ALCRE FP,2017-05-09,2017-05-12,2017-05-09,2017-05-12,ALCRE FP,Aroundtown SA,464.104,93.0,4.58,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",0.0,1.528385997,1.528385997,3908.3046,3.5257285710490405,"['Citi', 'Goldman Sachs', 'Joh Berenberg Gossler & Co KG', 'UBS']",4.6273,4.72,-0.029661016949152463,0.010327510917030436,True,True,0.0111353711790394,0.006073736616636793,3,705.145714209808,7.852059263035049,4.2828693444606145
OVS IM,2017-05-09,2017-05-09,2017-05-09,2017-05-09,OVS IM,OVS SpA,180.56,27.1214,6.11,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",1511.24,2.291323423,1.554825902,1511.24,4.052078659030891,"['Goldman Sachs', 'UniCredit']",6.3465,6.375,-0.04156862745098033,0.03870703764320771,True,True,0.01318816501753628,0.012270431535765125,2,810.4157318061782,10.687896403867303,9.944150752634702
ORSTED DC,2017-05-08,2017-05-09,2017-05-08,2017-05-09,ORSTED DC,Orsted A/S,416.86,10.5095,270.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",16617.3,2.444444418,4.333333492,16617.3,15.795267979113845,"['Goldman Sachs', 'Danske Bank']",276.2528,275.0,-0.018181818181818188,0.023158518518518356,True,True,0.023158518518518356,0.021244792683768665,1,3159.053595822769,73.15900119985359,67.11343872016865
HSTG LN,2017-05-08,2017-05-09,2017-05-08,2017-05-09,HSTG LN,Hastings Group Holdings PLC,136.065,35.0,300.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",2556.76,1.2978369,-0.2662229538,2556.76,4.607214246161295,"['Goldman Sachs', 'Barclays', 'Credit Suisse']",303.3709,309.5,-0.029079159935379684,0.009553743760399414,True,True,0.009553743760399414,0.0076400179256497225,1,921.442849232259,8.803228871417353,7.039839885596214
BNP FP,2017-05-03,2017-05-04,2017-05-03,2017-05-04,BNP FP,BNP Paribas SA,2217.26,31.1984,65.1,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Fwd Sales Agreement,Government Exit,REG S",89153.8,1.305685997,4.270355701,89153.8,313.8525093641368,"['BNP Paribas', 'Citi', 'Goldman Sachs', 'Bank of America Merrill Lynch']",65.9354,66.15,-0.01587301587301604,0.01283256528417831,True,True,0.01283256528417831,0.001224339421508347,1,5000.0,64.16282642089155,6.121697107541735
LIGHT NA,2017-04-25,2017-04-26,2017-04-25,2017-04-26,LIGHT NA,Signify NV,701.612,22.25,28.8,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",4729.97,1.371530414,3.298613787,4729.97,6.848665077456945,"['ABN Amro Bank NV', 'JP Morgan', 'Societe Generale', 'UBS']",29.0954,29.515,-0.02422497035405724,0.010256944444444471,True,True,0.010256944444444471,0.01149886498385655,1,1369.733015491389,14.049275443616576,15.750375009066175
IBST LN,2017-04-25,2017-04-26,2017-04-25,2017-04-26,IBST LN,Ibstock PLC,280.477,101.6,215.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S",1120.9,2.511627913,5.534883499,1120.9,3.906011878968873,"['Barclays', 'JP Morgan', 'UBS']",220.6038,225.9,-0.04825143868968573,0.026064186046511617,True,True,0.026064186046511617,0.027306106585923695,1,781.2023757937748,20.36140406266583,21.33159533860163
TLW LN,2017-04-25,2017-04-25,2017-04-25,2017-04-25,TLW LN,Tullow Oil PLC,59.7604,21.9643,211.9,"ADDL,Primary Share Offering,Rump Placement,Dual Listing",0.0,3.350640059,1.085420609,3852.7273,31.159787165003035,"['Barclays', 'JP Morgan', 'Morgan Stanley']",215.7548,217.0,-0.023502304147465458,0.01819159981123164,True,True,0.010917822050480197,0.010576163270576533,2,1195.208,13.049068257310337,12.640714950299238
NN NA,2017-04-24,2017-04-25,2017-04-24,2017-04-25,NN NA,NN Group NV,284.603,8.75,30.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Rule 144A",10998.8,2.166666746,1.649999976,10998.8,31.95394376288254,['JP Morgan'],30.493,30.7,-0.0228013029315961,0.0164333333333333,True,True,0.0164333333333333,0.014817625748452912,1,5000.0,82.1666666666665,74.08812874226456
CTEC LN,2017-03-28,2017-03-29,2017-03-28,2017-03-29,CTEC LN,ConvaTec Group PLC,1216.9,375.0,260.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",6296.65,4.884615421,5.076922894,6296.65,9.809999324757625,"['Bank of America Merrill Lynch', 'Goldman Sachs', 'UBS']",270.9917,268.9,-0.03309780587579014,0.042275769230769145,True,True,0.042275769230769145,0.03933210575499535,1,1961.9998649515253,82.9450535214909,77.16958617955999
HOC LN,2017-03-16,2017-03-17,2017-03-16,2017-03-17,HOC LN,Hochschild Mining PLC,51.6931,15.5,270.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1697.4,-1.333333373,-0.407407403,1697.4,6.992275287355802,['JP Morgan'],268.4618,291.4,-0.0734385724090596,-0.005697037037037056,True,True,-0.005697037037037056,-0.00815346094894287,1,1033.862,-5.889950105185205,-8.429553443595974
MDM FP,2017-03-13,2017-03-14,2017-03-13,2017-03-14,MDM FP,Maisons du Monde SA,197.724,7.0,26.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",1273.36,1.471698165,0.1886792481,1273.36,1.7243279571673336,"['Citi', 'Goldman Sachs', 'Societe Generale']",26.9041,28.57,-0.07245362268113409,0.015249056603773514,True,True,0.015249056603773514,0.019951163768484825,1,344.86559143346676,5.258874924462765,6.880469892804473
IBST LN,2017-03-09,2017-03-10,2017-03-09,2017-03-10,IBST LN,Ibstock PLC,118.343,48.6206,200.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S",988.902,1.5,1.0,988.902,1.6426195948446694,"['Barclays', 'JP Morgan', 'UBS']",203.5122,211.9,-0.056158565361019375,0.017560999999999938,True,True,0.017560999999999938,0.015689971902319355,1,328.52391896893386,5.769208541013427,5.154531057862413
SWEDA SS,2017-03-06,2017-03-07,2017-03-06,2017-03-07,SWEDA SS,Swedbank AB,621.242,25.6,219.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",27545.1,0.3652968109,0.6849315166,27545.1,57.731362254496666,['JP Morgan'],219.4821,224.8,-0.025800711743772298,0.002201369863013669,True,True,0.002201369863013669,0.0028921529276106916,1,5000.0,11.006849315068346,14.460764638053458
ASCL LN,2017-03-06,2017-03-07,2017-03-06,2017-03-07,ASCL LN,Ascential PLC,327.457,92.9684,288.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1408.15,6.180555344,9.722222328,1408.15,2.0516361909838228,"['Bank of America Merrill Lynch', 'Deutsche Bank', 'Goldman Sachs', 'Numis']",300.9337,301.0,-0.04318936877076407,0.044908680555555414,True,True,0.044908680555555414,0.04559946362015266,1,410.3272381967646,18.427254863421798,18.71070197051108
FUR NA,2017-02-28,2017-02-28,2017-02-28,2017-02-28,FUR NA,Fugro NV,122.014,7.9325,14.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Rule 144A",1300.86,2.137931108,2.068965435,1300.86,11.28309189472811,"['Goldman Sachs', 'Kempen & Co NV']",15.0543,15.035,-0.0355836381775857,0.03822758620689659,True,True,0.022510344827586293,-0.002569143640170579,2,2256.618378945622,50.79725785433475,-5.797576756560187
DWNI GR,2017-02-21,2017-02-27,2017-02-21,2017-02-27,DWNI GR,Deutsche Wohnen SE,574.941,17.1741,31.75,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",11872.9,2.113385916,2.125984192,11872.9,25.395399686705204,"['BNP Paribas', 'Deutsche Bank', 'Goldman Sachs', 'UBS']",32.3305,31.54,0.00665821179454662,0.018283464566929197,True,True,0.019752150719760886,0.015005531500591474,2,5000.0,98.76075359880443,75.02765750295737
RESURS SS,2017-02-21,2017-02-22,2017-02-21,2017-02-22,RESURS SS,Resurs Holding AB,109.195,17.5,56.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1246.69,-2.2321429249999998,-1.339285731,1246.69,2.5475130977190354,"['Carnegie', 'Morgan Stanley']",55.2289,59.05,-0.051651143099068486,-0.013769642857142772,True,True,-0.013769642857142772,-0.013751675180992184,1,509.50261954380716,-7.015669105896915,-7.006514527831077
