,,,,2019-09-17 00:00:00,size
2301 TT,01/Aug/2019,,30/Sep/2019,0.0138122203353499,436.3858854066634
2318 HK,15/Aug/2019,,30/Sep/2019,-0.0029654517169591665,625.3183331724988
2331 HK,14/Aug/2019,,30/Sep/2019,0.014581114116026361,380.66500110622513
2344 TT,26/Jul/2019,,30/Sep/2019,-0.09823453483524458,426.0736740888716
2345 TT,09/Aug/2019,,30/Sep/2019,0.07184004345374673,263.2133971646644
2383 TT,31/Jul/2019,,30/Sep/2019,0.17413922539895266,233.0102694819551
2385 TT,08/Aug/2019,,30/Sep/2019,0.004058261965594001,503.6953346774994
241560 KS,24/Jul/2019,,30/Sep/2019,0.07075357575442265,366.98218861786813
2449 TT,14/Aug/2019,,30/Sep/2019,-0.05665356907085184,300.5420888867797
2458 TT,31/Jul/2019,,30/Sep/2019,0.16764236848318848,241.05774650885888
2628 HK,22/Aug/2019,,30/Sep/2019,0.020701840580441333,457.42633496567737
2799 HK,28/Aug/2019,,30/Sep/2019,-0.0015626640367409905,463.3745838894852
2883 HK,21/Aug/2019,,30/Sep/2019,0.04070476417272584,338.364613733662
2888 TT,29/Aug/2019,,30/Sep/2019,0.015963900593448654,611.2579185755567
291 HK,16/Aug/2019,,30/Sep/2019,-0.012483806143069764,438.62626629993287
316140 KS,22/Jul/2019,,30/Sep/2019,-0.056882712953060466,537.0275162700461
3319 HK,07/Aug/2019,,30/Sep/2019,0.14142197074881002,191.89677143613588
3380 HK,26/Aug/2019,,30/Sep/2019,-0.02095258991270965,187.4964328859002
3690 HK,23/Aug/2019,,30/Sep/2019,-0.08089823508395233,351.8419998408875
3883 HK,16/Aug/2019,,30/Sep/2019,-0.12826509991814639,127.4666448249507
4088 JP,12/Aug/2019,,30/Sep/2019,0.05768403692962876,305.71429772874916
4502 JP,01/Aug/2019,,30/Sep/2019,-0.012012957673165348,609.7414394352813
4568 JP,31/Jul/2019,,30/Sep/2019,0.05507944038810919,223.26745066965134
4578 JP,08/Aug/2019,,30/Sep/2019,0.029787090582096498,338.99440919525574
4958 TT,13/Aug/2019,,30/Sep/2019,-0.09363906447046133,248.22700381883786
5388 TT,13/Aug/2019,,30/Sep/2019,-0.08520303619243208,243.64051166942912
6098 HK,23/Aug/2019,,30/Sep/2019,-0.03664371234109398,365.4401804643463
6213 TT,30/Jul/2019,,30/Sep/2019,0.013655193006782973,207.13027236514313
6510 TT,06/Aug/2019,,30/Sep/2019,0.21125076359551032,195.8752250262063
6723 JP,07/Aug/2019,,30/Sep/2019,0.03536383808112187,179.13289219838327
6837 HK,30/Aug/2019,,30/Sep/2019,0.10156599463896088,290.38611383535397
6857 JP,25/Jul/2019,,30/Sep/2019,0.04299894333948662,227.73438569804327
6920 JP,08/Aug/2019,,30/Sep/2019,0.11828925954183078,203.2161377084118
7550 JP,07/Aug/2019,,30/Sep/2019,-0.05088373874391672,522.4387155292493
7936 JP,05/Aug/2019,,30/Sep/2019,-0.043825569490603344,400.126100461057
8604 JP,01/Aug/2019,,30/Sep/2019,0.1897659570836563,289.69426829946144
8848 JP,12/Aug/2019,,30/Sep/2019,0.09035931663030827,262.7498450593248
9435 JP,14/Aug/2019,,30/Sep/2019,-0.10723753914781387,494.3673735211872
981 HK,08/Aug/2019,,30/Sep/2019,0.06435549379538297,377.35126749069815
9861 JP,09/Jul/2019,,30/Sep/2019,0.08152755650818055,723.5729313354339
ASB AU,30/Aug/2019,,30/Sep/2019,-0.03535683124583311,306.88190155160066
ASL AU,29/Aug/2019,,30/Sep/2019,0.07210183668719772,369.05539112098916
AZJ AU,12/Aug/2019,,30/Sep/2019,-0.02421995644074537,416.21263253720673
BPT AU,19/Aug/2019,,30/Sep/2019,0.22043634242671462,292.1361397524936
IPH AU,20/Aug/2019,,30/Sep/2019,-0.06429303059987412,258.74133629136765
JBH AU,12/Aug/2019,,30/Sep/2019,0.0913846945450314,382.39210937776426
NWH AU,22/Aug/2019,,30/Sep/2019,-0.0377896591028235,228.97339507201917
PME AU,22/Aug/2019,,30/Sep/2019,-0.13320906858444814,106.35751573151528
RMS AU,26/Aug/2019,,30/Sep/2019,-0.119803720701389,119.62757405144481
SSM AU,20/Aug/2019,,30/Sep/2019,-0.0630236879798387,204.76054762390714
WOW AU,29/Aug/2019,,30/Sep/2019,-0.00707639743108579,394.09496920606625
WTC AU,21/Aug/2019,,30/Sep/2019,0.017421038721970206,168.54772730385665
