Ticker,Date,Orig date,Market cap,Volume,Quarter,Supersector,Sector
SGL GR,2017-03-21,2017-03-21,1146.6435,3.422265522899999,2016:A,Industrial Goods & Services,Industrial Engineering
SPD LN,2016-07-07,2016-07-07,2155.2079,10.791342781588112,2016:A,Retail,General Retailers
SRP LN,2016-02-25,2016-02-25,1446.0089,3.492350491353465,2015:A,Industrial Goods & Services,Support Services
SXX LN,2015-07-30,2015-07-30,585.073,7.088887068979777,2015:A,Chemicals,Chemicals
SYNN SW,2016-02-03,2016-02-03,37255.9143,118.5758819688365,2015:A,Chemicals,Chemicals
TEC FP,2016-04-28,2016-04-28,6997.8876,50.992350423299996,2016:Q1,Oil & Gas,"Oil Equipment, Services & Distribution"
TOD IM,2016-03-15,2016-03-14,2692.6195,7.853991021999999,2015:A,Personal & Household Goods,Personal Goods
WPG LN,2016-03-08,2016-03-08,7904.5212,31.526385634760974,2015:A,Industrial Goods & Services,Support Services
1561649D LN,2014-03-04,2014-03-04,2343.1614,3.5939305970790705,2013:A,Technology,Technology Hardware & Equipment
ABIT BB,2016-05-04,2016-05-04,196825.6288,157.94714224349994,2016:Q1,Food & Beverage,Beverages
ALU FP,2015-07-30,2015-07-30,10620.7551,46.85658126482666,2015:S1,Technology,Technology Hardware & Equipment
AML LN,2014-03-03,2014-03-03,3855.0728,3.7542482705499047,2013:A,Automobiles & Parts,Automobiles & Parts
ARCAD NA,2016-02-18,2016-02-18,1172.0675,7.488375503138884,2015:A,Industrial Goods & Services,Support Services
ARM LN,2015-10-21,2015-10-21,22245.7076,58.607946719058724,2015:Q3,Technology,Technology Hardware & Equipment
AST IM,2017-03-15,2017-03-14,626.6998,3.8083773984555567,2016:A,Construction & Materials,Construction & Materials
BG/ LN,2015-05-08,2015-05-08,62812.2212,218.10022077445979,2015:Q1,Oil & Gas,Oil & Gas Producers
BPTY LN,2014-03-13,2014-03-13,1713.9823,3.6107188346369785,2013:A,Travel & Leisure,Travel & Leisure
BSLN SW,2016-02-29,2016-02-29,841.1586,5.968038135190394,2015:A,Health Care,Pharmaceuticals & Biotechnology
DELB BB,2016-03-03,2016-03-03,10915.3455,33.55655722173334,2015:A,Retail,Food & Drug Retailers
DTG LN,2016-08-16,2016-08-16,936.9605,5.283597902160644,2016:A,Travel & Leisure,Travel & Leisure
EGPW IM,2015-07-30,2015-07-29,10670.845,22.42815292207778,2015:S1,Utilities,Electricity
EKT SM,2017-02-24,2017-02-24,1419.6536,5.950393766264447,2016:A,Telecommunications,Fixed Line Telecommunications
EURN BB,2017-01-26,2017-01-26,1240.3691,3.845922377584445,2016:A,Industrial Goods & Services,Industrial Transportation
FORN SW,2016-03-15,2016-03-15,2276.1306,3.003930031186397,2015:A,Personal & Household Goods,Household Goods & Home Construction
IAP LN,2014-11-19,2014-11-19,3925.3843,5.956405262875773,2015:S1,Financial Services,Financial Services
JLG LN,2016-03-08,2016-03-08,1139.5728,3.1006383994484565,2015:A,Financial Services,Financial Services
KRN GR,2017-03-02,2017-03-02,3402.1474,6.063436751329999,2016:A,Industrial Goods & Services,Industrial Engineering
KUNN SW,2015-03-17,2015-03-17,1332.0048,3.9985052763903983,2014:A,Travel & Leisure,Travel & Leisure
LRE LN,2017-02-16,2017-02-16,1845.181,3.8492293491119387,2016:A,Insurance,Nonlife Insurance
MEDAA SS,2015-11-05,2015-11-05,4833.3184,9.363803025558516,2015:Q3,Health Care,Pharmaceuticals & Biotechnology
NEO FP,2016-03-30,2016-03-29,751.4478,4.0906427668,2016:A,Technology,Technology Hardware & Equipment
PMI IM,2016-05-11,2016-05-10,2781.7929,42.84165714342557,2016:Q1,Banks,Banks
REX LN,2014-08-01,2014-08-01,5938.0101,10.980832872092087,2014:S1,Industrial Goods & Services,General Industrials
RGU LN,2015-08-25,2015-08-25,3961.2657,4.065283646710527,2015:S1,Industrial Goods & Services,Support Services
ROCKB DC,2017-02-24,2017-02-24,3606.5887,3.44324084019488,2016:A,Construction & Materials,Construction & Materials
RTN LN,2016-03-09,2016-03-09,1201.0209,7.357706401220097,2015:A,Travel & Leisure,Travel & Leisure
SAB LN,2014-11-13,2014-11-13,90081.4678,116.41355525071441,2015:S1,Food & Beverage,Beverages
TCH FP,2016-02-19,2016-02-18,2518.5196,8.053878055446667,2015:A,Media,Media
TCY LN,2014-08-04,2014-08-04,2583.2978,4.728191171398324,2014:S1,Technology,Software & Computer Services
TNTE NA,2015-07-27,2015-07-27,4666.434,14.624533435349997,2015:Q2,Industrial Goods & Services,Industrial Transportation
USG NA,2015-07-31,2015-07-31,1244.2143,8.443158465972221,2015:S1,Industrial Goods & Services,Support Services
1343467D LN,2014-03-05,2014-03-05,5423.1759,9.99869901861892,2013:A,Industrial Goods & Services,Industrial Engineering
AFR LN,2014-08-29,2014-08-29,1790.1229,12.428467251371355,2014:S1,Oil & Gas,Oil & Gas Producers
APPS SM,2017-02-28,2017-02-28,1511.6226,5.065542727583333,2016:A,Industrial Goods & Services,Support Services
ATCT NA,2014-11-14,2014-11-14,15013.2962,5.766837283777779,2014:Q3,Telecommunications,Fixed Line Telecommunications
CGL LN,2014-02-10,2014-02-10,3326.5749,3.9254661649001554,2013:A,Insurance,Nonlife Insurance
CNE LN,2016-03-15,2016-03-15,1562.3948,3.366178231678317,2015:A,Oil & Gas,Oil & Gas Producers
ESNT LN,2016-02-19,2016-02-19,3063.4388,4.08461192536758,2015:A,Industrial Goods & Services,Support Services
FLG LN,2013-08-13,2013-08-13,7225.3484,8.566237968369023,2013:S1,Insurance,Life Insurance
GIL GR,2016-10-27,2016-10-27,3648.5637,3.0640141981956988,2016:Q3,Industrial Goods & Services,Industrial Engineering
GTK IM,2014-08-01,2014-07-31,4214.2567,17.327515314222232,2014:S1,Travel & Leisure,Travel & Leisure
HEMF SS,2017-02-17,2017-02-17,1518.2172,3.1286154885278146,2016:A,Real Estate,Real Estate Investment & Services
HOME LN,2014-10-22,2014-10-22,2349.6341,3.874536426618995,2015:S1,Retail,General Retailers
JAZ SM,2014-10-30,2014-10-29,4170.7022,73.8684303273,2014:Q3,Telecommunications,Fixed Line Telecommunications
LG FP,2014-11-05,2014-11-05,19471.1951,37.98064923799999,2014:Q3,Construction & Materials,Construction & Materials
NUO NA,2013-07-25,2013-07-25,3311.0977,7.916993202611111,2013:S1,Food & Beverage,Food Producers
OPHR LN,2016-03-10,2016-03-10,867.1336,4.587051304307307,2015:A,Oil & Gas,Oil & Gas Producers
RATOB SS,2017-02-17,2017-02-17,1771.2659,4.402338601538549,2016:A,Financial Services,Financial Services
RHK GR,2017-02-24,2017-02-24,1677.2407,3.8264741012811117,2016:A,Health Care,Health Care Equipment & Services
SGC LN,2016-06-29,2016-06-29,1752.1613,3.8107162495299183,2016:A,Travel & Leisure,Travel & Leisure
WDF IM,2014-11-17,2014-11-14,2110.1045,26.43659802443333,2014:Q3,Retail,General Retailers
ALGETA NO,2014-02-05,2014-02-05,2536.5191,15.94014961055901,2013:A,Health Care,Pharmaceuticals & Biotechnology
BCVN SW,2016-02-18,2016-02-18,5330.6543,4.2594214850578584,2015:A,Banks,Banks
CLS1 GR,2016-01-28,2016-01-28,5640.7059,3.513621891530001,2016:Q3,Retail,Food & Drug Retailers
DXNS LN,2012-11-29,2012-11-29,1493.8719,4.881027710848479,2013:S1,Retail,General Retailers
F IM,2014-05-08,2014-05-07,13024.0602,143.22589174201661,2014:Q1,Automobiles & Parts,Automobiles & Parts
HDD GR,2017-02-09,2017-02-09,648.8411,3.840541935686667,2017:Q3,Industrial Goods & Services,Industrial Engineering
ISYS LN,2012-05-17,2012-05-17,2721.8942,17.567455348429814,2012:A,Technology,Software & Computer Services
KENZ LN,2013-03-25,2013-03-25,757.2144,3.032411359586272,2012:A,Oil & Gas,"Oil Equipment, Services & Distribution"
NOBN SW,2014-02-18,2014-02-18,1818.3117,5.193403828555383,2013:A,Health Care,Health Care Equipment & Services
SHI LN,2016-03-09,2016-03-09,1153.2733,3.354080804906733,2015:A,Industrial Goods & Services,Support Services
ZIGGO NA,2014-10-16,2014-10-16,9257.085,18.289124163149992,2014:Q3,Telecommunications,Fixed Line Telecommunications
AGS LN,2011-03-17,2011-03-17,2874.2169,6.396178900664923,2010:A,Media,Media
ENRC LN,2013-08-14,2013-08-14,4580.9906,5.410900033432371,2013:S1,Basic Resources,Mining
FI IM,2012-10-31,2012-10-31,13248.2879,26.956336866691547,2012:Q3,Industrial Goods & Services,Industrial Engineering
GEM IM,2013-03-11,2013-03-08,2642.0691,3.4433748356077785,2012:A,Industrial Goods & Services,Industrial Transportation
INVEA SS,2017-01-31,2017-01-31,30295.5481,3.7536128576380747,2016:Q3,Financial Services,Financial Services
XTA LN,2011-08-02,2011-08-02,59642.6284,143.40940795976854,2011:S1,Basic Resources,Mining
CHTR LN,2010-07-30,2010-07-30,1881.3163,4.803025584665871,2010:S1,Industrial Goods & Services,Industrial Engineering
IPR LN,2011-03-02,2011-03-02,27227.9808,40.40650133065341,2010:A,Utilities,"Gas, Water & Multiutilities"
LOG LN,2011-05-04,2011-05-04,3706.9609,8.376427233480069,2011:Q1,Technology,Software & Computer Services
RTRKS FH,2014-02-14,2014-02-14,1641.6731,7.815801014044443,2013:A,Basic Resources,Industrial Metals & Mining
SYST VX,2010-07-29,2010-07-29,14033.308,23.266904421091894,2010:S1,Health Care,Health Care Equipment & Services
ACA LN,2017-02-14,2017-02-14,2567.1107,5.402403628830763,2016:A,Basic Resources,Mining
AU/ LN,2010-10-19,2010-10-19,5502.877,34.063338218167985,2010:Q3,Technology,Software & Computer Services
BRE LN,2010-07-28,2010-07-28,1241.6697,4.515093067752399,2010:S1,Insurance,Nonlife Insurance
BUL IM,2010-11-12,2010-11-11,3069.158,21.19956680706666,2010:Q3,Personal & Household Goods,Personal Goods
BWIN AV,2010-05-12,2010-05-12,1717.7642,7.915174995,2010:Q1,Travel & Leisure,Travel & Leisure
CRXL NA,2010-05-11,2010-05-11,1540.5135,3.330604864677778,2010:Q1,Health Care,Pharmaceuticals & Biotechnology
CW/ LN,2010-11-16,2010-11-16,2889.7276,7.240062407114739,2011:S1,Telecommunications,Fixed Line Telecommunications
DCO DC,2010-06-22,2010-06-22,3399.2842,16.158184169607722,2010:A,Food & Beverage,Food Producers
EDPR PL,2017-02-28,2017-02-28,5750.0907,3.535722868913333,2016:A,Utilities,Electricity
IBLA SM,2010-05-14,2010-05-14,2686.4833,17.518386688636667,2010:Q1,Travel & Leisure,Travel & Leisure
IBR SM,2010-10-19,2010-10-18,14701.7026,18.19767002631111,2010:Q3,Utilities,Electricity
MSY LN,2011-01-25,2011-01-25,1957.1128,8.380892469277015,2011:S1,Technology,Software & Computer Services
PPHN SW,2011-02-03,2011-02-03,1729.2388,9.609778761488787,2010:A,Oil & Gas,Oil & Gas Producers
QCE GR,2011-05-12,2011-05-12,501.1522,5.92050632699,2011:Q1,Oil & Gas,Alternative Energy
RHA FP,2010-11-04,2010-11-04,3147.6829,17.020668525005554,2010:Q3,Chemicals,Chemicals
RUKN VX,2011-05-05,2011-05-05,21754.7408,66.34503205645959,2011:Q1,Insurance,Nonlife Insurance
SFR NO,2011-07-27,2011-07-27,2888.8354,4.908688011330487,2011:Q2,Oil & Gas,Oil & Gas Producers
SUB NO,2010-10-26,2010-10-26,3108.9877,8.782388076424205,2010:Q3,Oil & Gas,"Oil Equipment, Services & Distribution"
WIE AV,2017-02-22,2017-02-22,2268.3852,4.121515796833333,2016:A,Construction & Materials,Construction & Materials
WSM LN,2009-03-17,2009-03-17,550.2234,4.434829241329418,2008:A,Oil & Gas,"Oil Equipment, Services & Distribution"
3572335Q LN,2008-06-12,2008-06-12,3598.6484,27.898447455350016,2008:A,Retail,General Retailers
