,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner
WEED CN,2018-01-17,2018-01-17,2018-01-17,2018-01-17,WEED CN,Canopy Growth Corp,161.787,5.8,34.6,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",4869.53,-18.87282944,-21.53178787,4869.53,230.15414940965462,"BMO Capital Markets, GMP Securities"
LB CN,2018-01-08,2018-01-08,2018-01-08,2018-01-08,LB CN,Laurentian Bank of Canada,115.763,2.282,54.8,"ADDL,Primary Share Offering,Bought Deal",0.0,-2.408757687,-3.302918434,1782.5585,20.734552955408606,"BMO Capital Markets, CIBC, TD Securities"
APHA CN,2017-12-13,2017-12-13,2017-12-13,2017-12-13,APHA CN,Aphria Inc,89.3821,7.2727,13.75,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",1714.92,56.43636322,34.54545593,1714.92,51.81435017869283,Clarus Securities
EMA CN,2017-12-06,2017-12-06,2017-12-06,2017-12-06,EMA CN,Emera Inc,547.311,14.614,47.9,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",0.0,-1.29436636,-1.920671225,8218.2144,31.221520375567906,"CIBC, Scotiabank, TD Securities, RBC Capital Markets"
FSZ CN,2017-12-05,2017-12-05,2017-12-05,2017-12-05,FSZ CN,Fiera Capital Corp,64.9642,5.77,13.0,"ADDL,Primary Share Offering,Private Placement,Bought Deal,QIP",0.0,-0.3846153915,-1.846153855,854.2854,1.6163714076936655,"Desjardins Capital Markets, GMP Securities, National Bank Financial Inc"
KEY CN,2017-11-30,2017-11-30,2017-11-30,2017-11-30,KEY CN,Keyera Corp,382.804,12.2,35.2,"ADDL,Primary Share Offering,Bought Deal,Rule 144A",0.0,-1.420456648,-0.9375021458,5255.7186,18.173987318197955,RBC Capital Markets
ENF CN,2017-11-29,2017-11-29,2017-11-29,2017-11-29,ENF CN,Enbridge Income Fund Holdings,447.167,17.986,27.8,"ADDL,Primary Share Offering",0.0,6.942449093,5.035974026,3282.0166,18.634603828382545,"RBC Capital Markets, TD Securities, Scotiabank"
LEAF CN,2017-11-14,2017-11-14,2017-11-14,2017-11-14,LEAF CN,MedReleaf Corp,78.8804,6.0726,16.55,"ADDL,Primary Share Offering,Secondary Share Offering,Bought Deal,REG S,Rule 144A",0.0,-4.652563572,-6.344406605,1180.0127,4.762232234989013,GMP Securities
STEP CN,2017-11-13,2017-11-13,2017-11-13,2017-11-13,STEP CN,STEP Energy Services Ltd,57.3419,5.307,12.25,"ADDL,Secondary Share Offering,Bought Deal,REG S,Rule 144A",0.0,-1.142857194,-1.877551079,601.8633,1.0089480062117164,CIBC
AQN CN,2017-11-01,2017-11-01,2017-11-01,2017-11-01,AQN CN,Algonquin Power & Utilities Co,447.152,37.8,13.25,"ADDL,Primary Share Offering,Bought Deal",3967.83,0.6792452931,2.264150858,3967.83,19.401872224359803,"CIBC, TD Securities, Scotiabank"
APHA CN,2017-10-17,2017-10-17,2017-10-17,2017-10-17,APHA CN,Aphria Inc,73.272,11.0345,7.25,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",875.311,16.82758713,15.3103447,875.311,13.322978521216049,Clarus Securities
SIA CN,2017-10-16,2017-10-16,2017-10-16,2017-10-16,SIA CN,Sienna Senior Living Inc,91.8154,5.731,17.45,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",736.886,1.318047166,1.489966869,736.886,1.343271005477565,"BMO Capital Markets, TD Securities"
DOO CN,2017-09-26,2017-09-26,2017-09-26,2017-09-26,DOO CN,BRP Inc,350.048,10.0,43.35,"ADDL,Secondary Share Offering,Bought Deal,Rule 144A",0.0,1.499426842,1.545562983,3990.8733,6.527570831100592,"RBC Capital Markets, BMO Capital Markets"
HBM CN,2017-09-07,2017-09-07,2017-09-07,2017-09-07,HBM CN,Hudbay Minerals Inc,199.605,24.0,10.1,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",0.0,-12.277231220000001,-7.425745964,2100.3502,31.37786788977196,"BMO Capital Markets, Scotiabank, RBC Capital Markets"
OSB CN,2017-08-02,2017-08-02,2017-08-02,2017-08-02,OSB CN,Norbord Inc,119.833,3.55,42.35,"ADDL,Primary Share Offering,Secondary Share Offering,Bought Deal",0.0,-1.605663538,-1.29869771,2999.0817,5.802821005309042,"BMO Capital Markets, RBC Capital Markets"
SVI CN,2017-06-28,2017-06-28,2017-06-28,2017-06-28,SVI CN,StorageVault Canada Inc,103.457,50.944,2.65,"ADDL,Primary Share Offering,Secondary Share Offering,Bought Deal",609.654,-1.886795998,-5.283022404,609.654,1.1840136221536564,"GMP Securities, National Bank Financial Inc"
CCL/B CN,2017-06-15,2017-06-15,2017-06-15,2017-06-15,CCL/B CN,CCL Industries Inc,250.809,5.0,66.65,"ADDL,Secondary Share Offering,Bought Deal,Rule 144A",0.0,-7.411855221,-6.256566525,9115.7973,50.04432867668704,"BMO Capital Markets, Scotiabank"
GOOS CN,2017-06-14,2017-06-27,2017-06-14,2017-06-27,GOOS CN,Canada Goose Holdings Inc,259.139,12.5,27.39,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Dual Listing",745.097,-0.9127396941,-6.389191151,745.097,4.860598102055231,"Credit Suisse, Goldman Sachs, RBC Capital Markets, CIBC"
TOY CN,2017-05-15,2017-05-15,2017-05-15,2017-05-15,TOY CN,Spin Master Corp,109.923,3.681,40.75,"ADDL,Secondary Share Offering,Bought Deal",0.0,-3.26380372,-5.276073456,3147.4697,2.7379851410423703,"TD Securities, RBC Capital Markets"
H CN,2017-05-08,2017-05-08,2017-05-08,2017-05-08,H CN,Hydro One Ltd,2034.71,120.0,23.25,"ADDL,Secondary Share Offering,Bought Deal,Government Exit,REG S,Rule 144A",0.0,-1.075268865,-2.580645084,10433.7686,17.95553327741975,"BMO Capital Markets, CIBC, National Bank Financial Inc, Scotiabank, TD Securities, RBC Capital Markets"
APHA CN,2017-04-25,2017-04-25,2017-04-25,2017-04-25,APHA CN,Aphria Inc,63.405,11.5385,6.5,"ADDL,Primary Share Offering,REG S,Rule 144A",653.37,-9.538461685,-14.61538506,653.37,16.550875706155704,Clarus Securities
PKI CN,2017-04-18,2017-04-18,2017-04-18,2017-04-18,PKI CN,Parkland Fuel Corp,494.31,23.9,27.7,"ADDL,Primary Share Offering,Private Placement,Bought Deal,QIP,REG S,Rule 144A",0.0,11.87725353,16.06497955,2281.6816,8.05942110472541,"National Bank Financial Inc, TD Securities"
CVE CN,2017-03-29,2017-03-29,2017-03-29,2017-03-29,CVE CN,Cenovus Energy Inc,2243.66,187.5,16.0,"ADDL,Primary Share Offering,Bought Deal",0.0,-5.3125,-7.875,10873.7214,65.9443466010611,"JP Morgan, RBC Capital Markets"
ENF CN,2017-03-27,2017-03-27,2017-03-27,2017-03-27,ENF CN,Enbridge Income Fund Holdings,430.192,15.085,33.15,"ADDL,Secondary Share Offering,Bought Deal",0.0,1.990945578,1.26696372,3205.9916,13.683812715113392,"CIBC, Scotiabank, BMO Capital Markets"
NGD CN,2017-02-22,2017-02-22,2017-02-22,2017-02-22,NGD CN,New Gold Inc,172.592,53.6,2.8,"ADDL,Primary Share Offering,Bought Deal",1611.02,2.530322552,-0.1259034127,1611.02,19.68690457876446,"Scotiabank, RBC Capital Markets"
AGI CN,2017-01-25,2017-01-25,2017-01-25,2017-01-25,AGI CN,Alamos Gold Inc,250.027,31.45,7.95,"ADDL,Primary Share Offering,Bought Deal",2373.17,5.759216785,7.393677235,2373.17,13.592131386049525,"BMO Capital Markets, Macquarie, TD Securities"
FVI CN,2017-01-23,2017-01-23,2017-01-23,2017-01-23,FVI CN,Fortuna Silver Mines Inc,74.8049,10.325,6.3,"ADDL,Primary Share Offering,Bought Deal",993.54,-0.3917630613,5.917162895,993.54,8.42451537775415,Raymond James & Associates
TDG CN,2017-01-19,2017-01-19,2017-01-19,2017-01-19,TDG CN,Trinidad Drilling Ltd,112.119,41.2698,3.15,"ADDL,Primary Share Offering,Bought Deal",0.0,-11.11111355,-10.47619343,559.6319,3.1043014771843795,Raymond James & Associates
ATZ CN,2017-01-10,2017-01-10,2017-01-10,2017-01-10,ATZ CN,Aritzia Inc,265.555,20.1,17.45,"ADDL,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Bought Deal,REG S,Rule 144A",0.0,-5.444130421,-6.131809235,1457.3402,1.815357453265479,"Bank of America Merrill Lynch, TD Securities, CIBC"
PSK CN,2016-12-14,2016-12-14,2016-12-14,2016-12-14,PSK CN,PrairieSky Royalty Ltd,219.781,8.0,31.4,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",5646.81,2.898090363,3.280256033,5646.81,25.604199128977978,TD Securities
FIH/U CN,2016-12-14,2016-12-14,2016-12-14,2016-12-14,FIH/U CN,Fairfax India Holdings Corp,150.001,12.766,11.75,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",0.0,-2.297872305,-4.170212746,1260.9443,1.7305601983999996,"Scotiabank, TD Securities, RBC Capital Markets"
OTEX CN,2016-12-12,2016-12-13,2016-12-12,2016-12-13,OTEX CN,Open Text Corp,604.223,9.25,61.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",8020.91,0.9223419428,1.376063228,8020.91,24.835803166752005,"Citi, RBC Capital Markets, Barclays"
EIF CN,2016-12-12,2016-12-12,2016-12-12,2016-12-12,EIF CN,Exchange Income Corp,74.5188,2.003,42.45,"ADDL,Primary Share Offering,Bought Deal",0.0,-1.012958169,-2.732628345,925.7401,7.503863011446766,"CIBC, Laurentian Bank of Canada, National Bank Financial Inc"
SCL CN,2016-12-07,2016-12-07,2016-12-07,2016-12-07,SCL CN,ShawCor Ltd,130.29,4.575,32.8,"ADDL,Primary Share Offering,Bought Deal",0.0,4.512197495,6.707319736,1657.4555,4.273945384086039,TD Securities
GUD CN,2016-12-06,2016-12-06,2016-12-06,2016-12-06,GUD CN,Knight Therapeutics Inc,75.3218,8.7,10.0,"ADDL,Primary Share Offering,Bought Deal",0.0,0.6000000238,2.5,1000.0538,2.77337760363602,"Cormark Securities Inc, GMP Securities"
9944556D CN,2016-12-05,2016-12-05,2016-12-05,2016-12-05,9944556D CN,Industrial Alliance Insurance,115.614,2.5,55.65,"ADDL,Primary Share Offering,Bought Deal",0.0,-1.16801703,-1.437558889,4415.1946,17.089259385708647,TD Securities
EMA CN,2016-11-28,2016-11-28,2016-11-28,2016-11-28,EMA CN,Emera Inc,257.393,6.63,45.25,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",0.0,-0.1546961367,-0.3977900445,6836.7588,38.92127230487198,"CIBC, RBC Capital Markets, Scotiabank, TD Securities"
BTE CN,2016-11-22,2016-11-22,2016-11-22,2016-11-22,BTE CN,Baytex Energy Corp,85.4233,19.05,5.25,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",0.0,36.38095093,36.38095093,821.6374,34.42525650296784,"RBC Capital Markets, Scotiabank"
GTE CN,2016-11-21,2016-11-21,2016-11-21,2016-11-21,GTE CN,Gran Tierra Energy Inc,130.005,43.335,3.0,"ADDL,Primary Share Offering,Bought Deal",1191.41,-3.996427774,-4.740641594,1191.41,7.757985849958572,"Eight Capital, RBC Capital Markets, Scotiabank"
SAP CN,2016-11-09,2016-11-09,2016-11-09,2016-11-09,SAP CN,Saputo Inc,224.029,6.5,46.25,"ADDL,Secondary Share Offering,Bought Deal,REG S,Rule 144A",0.0,0.7783783674,-1.772972941,14070.0683,26.017020978269162,"CIBC, RBC Capital Markets, TD Securities"
TRP CN,2016-11-01,2016-11-01,2016-11-01,2016-11-01,TRP CN,TC Energy Corp,2632.76,54.75,58.5,"ADDL,Primary Share Offering,Bought Deal",0.0,2.752136707,3.213675261,36244.0256,100.48154847984449,"BMO Capital Markets, RBC Capital Markets, TD Securities"
NVA CN,2016-10-11,2016-10-11,2016-10-11,2016-10-11,NVA CN,NuVista Energy Ltd,78.2034,13.14,6.85,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",892.112,1.021899223,-0.4379548132,892.112,5.72918995192657,"Peters & Co Ltd, RBC Capital Markets"
CPG CN,2016-09-08,2016-09-08,2016-09-08,2016-09-08,CPG CN,Crescent Point Energy Corp,503.296,33.7,19.3,"ADDL,Primary Share Offering,Bought Deal,REG S",0.0,-12.95336437,-9.430047989,7653.8937,43.3296495303261,BMO Capital Markets
EFX CN,2016-08-16,2016-08-16,2016-08-16,2016-08-16,EFX CN,Enerflex Ltd,89.5145,7.785,12.85,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",881.357,2.568090439,4.04668951,881.357,2.067595198184509,"TD Securities, Scotiabank"
IMG CN,2016-08-08,2016-08-08,2016-08-08,2016-08-08,IMG CN,IAMGOLD Corp,230.089,38.85,5.15,"ADDL,Primary Share Offering,Bought Deal,Dual Listing",0.0,-6.26880455,-6.722342491,2308.1079,26.307985745098236,"Morgan Stanley, National Bank Financial Inc, TD Securities"
SPE CN,2016-08-03,2016-08-03,2016-08-03,2016-08-03,SPE CN,Spartan Energy Corp,61.8502,22.1,3.18,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",785.505,6.918236732,9.748425484,785.505,5.8500932235160095,Peters & Co Ltd
TOG CN,2016-07-25,2016-07-25,2016-07-25,2016-07-25,TOG CN,TORC Oil & Gas Ltd,65.297,10.64,7.05,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",965.877,18.01418114,18.72340012,965.877,7.968580183873424,Macquarie
GUY CN,2016-06-27,2016-06-27,2016-06-27,2016-06-27,GUY CN,Guyana Goldfields Inc,110.128,13.83,9.4,"ADDL,Primary Share Offering,Secondary Share Offering,Bought Deal",0.0,-15.21276283,-17.02127266,1081.9294,14.04912509814482,"RBC Capital Markets, Scotiabank, BMO Capital Markets"
SSL CN,2016-06-27,2016-06-27,2016-06-27,2016-06-27,SSL CN,Sandstorm Gold Ltd,57.5002,11.236,4.45,"ADDL,Primary Share Offering,Bought Deal",0.0,11.98799038,5.766435146,664.7451,4.392763369019199,"BMO Capital Markets, National Bank Financial Inc"
BCB CN,2016-06-21,2016-06-21,2016-06-21,2016-06-21,BCB CN,Cott Corp,230.092,13.12,15.25,"ADDL,Primary Share Offering,Bought Deal",2102.38,-8.468676567,-8.367200851,2102.38,8.237378840812452,CIBC
CWB CN,2016-06-16,2016-06-16,2016-06-16,2016-06-16,CWB CN,Canadian Western Bank,115.735,6.125,24.5,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",0.0,1.102040768,0.8979591727,1593.3006,10.39076665111898,"BMO Capital Markets, National Bank Financial Inc"
EDV CN,2016-06-13,2016-06-13,2016-06-13,2016-06-13,EDV CN,Endeavour Mining Corp,112.569,6.25,20.0,"ADDL,Primary Share Offering,Bought Deal",0.0,22.64999962,11.25,1432.0583,11.222171589277853,BMO Capital Markets
SU CN,2016-06-07,2016-06-07,2016-06-07,2016-06-07,SU CN,Suncor Energy Inc,2249.22,71.5,35.0,"ADDL,Primary Share Offering,Bought Deal",45526.5,0.200000003,3.1428570750000002,45526.5,180.62032221721,"CIBC, JP Morgan, TD Securities"
ALA CN,2016-05-26,2016-05-26,2016-05-26,2016-05-26,ALA CN,AltaGas Ltd,339.041,13.35,30.0,"ADDL,Primary Share Offering,Bought Deal",0.0,5.699999809,3.933333397,3530.4175,12.404155908829463,"BMO Capital Markets, RBC Capital Markets, TD Securities"
BNP CN,2016-05-26,2016-05-26,2016-05-26,2016-05-26,BNP CN,Bonavista Energy Corp,88.5032,29.851,3.35,"ADDL,Primary Share Offering,Bought Deal,Rule 144A",0.0,-2.985071898,-3.582086802,630.8321,4.893705421291581,"TD Securities, CIBC"
GEI CN,2016-05-24,2016-05-24,2016-05-24,2016-05-24,GEI CN,Gibson Energy Inc,175.239,12.95,15.45,"ADDL,Primary Share Offering,Bought Deal",0.0,0.5178005695,1.100324869,1546.2505,9.113971291385676,"RBC Capital Markets, BMO Capital Markets"
CEU CN,2016-05-18,2016-05-18,2016-05-18,2016-05-18,CEU CN,CES Energy Solutions Corp,71.2439,26.67,3.0,"ADDL,Primary Share Offering,Bought Deal",0.0,33.66666794,38.33333206,536.8753,3.6789954688948967,Scotiabank
KEY CN,2016-05-16,2016-05-16,2016-05-16,2016-05-16,KEY CN,Keyera Corp,267.612,8.25,36.35,"ADDL,Primary Share Offering,Bought Deal",0.0,4.704268456,5.144433498,4963.9458,18.955518454873033,RBC Capital Markets
GUD CN,2016-05-11,2016-05-11,2016-05-11,2016-05-11,GUD CN,Knight Therapeutics Inc,179.016,25.0,8.0,"ADDL,Primary Share Offering,Bought Deal,Rule 144A",823.334,8.75,7.625,823.334,1.0899075240011087,GMP Securities
ERF CN,2016-05-10,2016-05-10,2016-05-10,2016-05-10,ERF CN,Enerplus Corp,177.668,29.0,6.9,"ADDL,Primary Share Offering,Bought Deal",0.0,0.579708755,4.492752075,1180.2355,12.791342467991221,"RBC Capital Markets, BMO Capital Markets"
FRU CN,2016-05-02,2016-05-02,2016-05-02,2016-05-02,FRU CN,Freehold Royalties Ltd,151.488,14.286,11.55,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",1082.94,-1.651384082e-06,1.038959384,1082.94,4.962649358552126,"CIBC, TD Securities, RBC Capital Markets"
PEY CN,2016-04-28,2016-04-28,2016-04-28,2016-04-28,PEY CN,Peyto Exploration & Developmen,137.471,4.6875,32.0,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",0.0,-0.84375,0.53125,4158.6667,19.81301621789025,BMO Capital Markets
MTL CN,2016-04-26,2016-04-26,2016-04-26,2016-04-26,MTL CN,Mullen Group Ltd,118.385,9.775,13.3,"ADDL,Primary Share Offering,Bought Deal",0.0,7.744359493,7.669171333,1011.7628,3.1294128485566217,TD Securities
DHX CN,2016-04-26,2016-04-26,2016-04-26,2016-04-26,DHX CN,DHX Media Ltd,51.4708,8.667,7.5,"ADDL,Primary Share Offering,Bought Deal",0.0,0.6666666865,-0.2666666806,778.8687,1.8492042688297885,Canaccord Genuity
ENF CN,2016-04-11,2016-04-11,2016-04-11,2016-04-11,ENF CN,Enbridge Income Fund Holdings,445.768,17.699,28.25,"ADDL,Primary Share Offering",0.0,3.362831831,3.469026566,2260.7341,9.491237490115727,"BMO Capital Markets, CIBC, Scotiabank"
H CN,2016-04-05,2016-04-05,2016-04-05,2016-04-05,H CN,Hydro One Ltd,1495.75,72.4348,23.65,"ADDL,Primary Share Offering,Secondary Share Offering,Bought Deal,Government Exit,REG S,Rule 144A",10683.9,-1.099364161,-1.310780644,10683.9,10.117190620821114,"BMO Capital Markets, CIBC, National Bank Financial Inc, Scotiabank, TD Securities, RBC Capital Markets"
