,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner
SMF CN,2016-04-04,2016-04-04,2016-04-04,2016-04-04,SMF CN,SEMAFO Inc,88.2347,23.0,4.35,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",0.0,7.586209297,4.367818356,1063.0768,10.882290208744136,BMO Capital Markets
WPM CN,2016-03-30,2016-03-30,2016-03-30,2016-03-30,WPM CN,Wheaton Precious Metals Corp,632.548,33.135,16.6,"ADDL,Primary Share Offering,Bought Deal",0.0,-0.2825042903,-0.375264734,7111.1934,46.104421540293266,"BMO Capital Markets, CIBC, RBC Capital Markets, Scotiabank"
PPL CN,2016-03-17,2016-03-17,2016-03-17,2016-03-17,PPL CN,Pembina Pipeline Corp,265.348,8.825,34.0,"ADDL,Primary Share Offering,Bought Deal",9993.23,0.0,2.323529482,9993.23,44.221500646043914,"RBC Capital Markets, Scotiabank"
TOU CN,2016-03-14,2016-03-14,2016-03-14,2016-03-14,TOU CN,Tourmaline Oil Corp,211.191,9.0,27.11,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",4727.54,-7.451127052,-3.467357397,4727.54,30.8036510949498,Peters & Co Ltd
SES CN,2016-03-02,2016-03-02,2016-03-02,2016-03-02,SES CN,Secure Energy Services Inc,111.228,17.0,7.65,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",880.202,14.90195942,11.24182892,880.202,5.401813885124568,"GMP Securities, Raymond James & Associates"
BCB CN,2016-03-01,2016-03-01,2016-03-01,2016-03-01,BCB CN,Cott Corp,150.627,11.1,11.8,"ADDL,Primary Share Offering,Bought Deal",1447.53,9.281773567,7.63079977,1447.53,4.585626210321263,"Barclays, CIBC"
ENB CN,2016-02-24,2016-02-24,2016-02-24,2016-02-24,ENB CN,Enbridge Inc,1673.09,49.14,40.7,"ADDL,Primary Share Offering,Bought Deal",27148.3,15.62653351,14.86486244,27148.3,176.68520024503965,"BMO Capital Markets, CIBC, Credit Suisse, Scotiabank, TD Securities, RBC Capital Markets"
K CN,2016-02-24,2016-02-24,2016-02-24,2016-02-24,K CN,Kinross Gold Corp,287.73,83.4,3.0,"ADDL,Primary Share Offering,Bought Deal",0.0,1.888449669,0.1317523122,3619.6874,22.019024149543355,"Scotiabank, TD Securities"
WCP CN,2016-02-23,2016-02-23,2016-02-23,2016-02-23,WCP CN,Whitecap Resources Inc,68.9449,13.77,6.9,"ADDL,Primary Share Offering,Bought Deal",0.0,15.50724506,18.98550606,1535.686,38.03009494716841,National Bank Financial Inc
PVG CN,2016-02-23,2016-02-23,2016-02-23,2016-02-23,PVG CN,Pretium Resources Inc,129.999,26.21,4.58,"ADDL,Primary Share Offering",0.0,-0.406606257,2.522611141,654.7605,3.1118617042704426,"RBC Capital Markets, Scotiabank, CIBC"
FFH CN,2016-02-22,2016-02-22,2016-02-22,2016-02-22,FFH CN,Fairfax Financial Holdings Ltd,537.006,1.0,735.0,"ADDL,Primary Share Offering,Bought Deal",0.0,-3.293877602,-3.278911591,13185.0458,29.617987861014615,"CIBC, RBC Capital Markets, BMO Capital Markets"
MAG CN,2016-02-22,2016-02-22,2016-02-22,2016-02-22,MAG CN,MAG Silver Corp,74.7578,8.905,7.3,"ADDL,Primary Share Offering,Bought Deal",0.0,-4.435287476,-1.576514125,555.2794,1.8142543718997044,"BMO Capital Markets, Raymond James & Associates, Scotiabank"
AAV CN,2016-02-18,2016-02-18,2016-02-18,2016-02-18,AAV CN,Advantage Oil & Gas Ltd,72.899,11.75,7.45,"ADDL,Primary Share Offering,Bought Deal,Rule 144A",0.0,-6.040266037,-3.355702162,890.1138,5.787474268590722,GMP Securities
RRX CN,2016-02-17,2016-02-17,2016-02-17,2016-02-17,RRX CN,Raging River Exploration Inc,78.9695,11.0,8.65,"ADDL,Primary Share Offering,Bought Deal,Rule 144A",0.0,9.595380783,9.595380783,1413.7654,12.161249118180885,GMP Securities
FNV CN,2016-02-10,2016-02-10,2016-02-10,2016-02-10,FNV CN,Franco-Nevada Corp,920.06,16.72,47.85,"ADDL,Primary Share Offering,Bought Deal",0.0,18.98519325,21.68385696,7924.2478,48.43258968373333,"BMO Capital Markets, CIBC, RBC Capital Markets, Scotiabank"
