,,,Announced Date,Pricing date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Security type,Market cap
ALLO US,2018-09-14,2018-10-11,2018-09-14,2018-10-10,2018-10-11,ALLO US,Allogene Therapeutics Inc,372.6,18.0,18.0,"IPO,Primary Share Offering,Emerging Growth Company",2122.69,22.22222137,38.88888931,"JP Morgan, Goldman Sachs, Cowen & Co, Jefferies",Common,2122.69
ATH US,2016-05-09,2016-12-09,2016-05-09,2016-12-08,2016-12-09,ATH US,Athene Holding Ltd,1242.0,27.0,40.0,"IPO,Secondary Share Offering,PE Backed,PE Exit",2116.05,8.899999619,10.125,"BTIG LLC, BNP Paribas, SunTrust Robinson Humphrey, UBS, Evercore Partners Inc, BMO Capital Markets, Bank of America Merrill Lynch, Credit Suisse, Deutsche Bank, JP Morgan, Morgan Stanley, RBC Capital Markets, Citi, Wells Fargo, Barclays, Goldman Sachs",Class A,2116.05
PLAN US,2018-09-14,2018-10-12,2018-09-14,2018-10-11,2018-10-12,PLAN US,Anaplan Inc,303.025,15.5,17.0,"IPO,Primary Share Offering,VC Backed,Emerging Growth Company",2108.71,42.64706039,42.94117737,"Goldman Sachs, Morgan Stanley",Common,2108.71
SMT US,2010-06-24,2010-07-15,2010-06-24,2010-07-14,2010-07-15,SMT US,SMART Technologies Inc,660.11,38.83,17.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,PE Backed,PE Exit",2104.12,2.941176414,0.2941176593,"Credit Suisse, Bank of America Merrill Lynch, RBC Capital Markets, Deutsche Bank, Morgan Stanley",Class A,2104.12
LQ US,2014-02-10,2014-04-09,2014-02-10,2014-04-09,2014-04-09,LQ US,La Quinta Holdings Inc,747.787,38.25,17.0,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",2102.22,-1.470588207,0.7058823705,"Wells Fargo, Goldman Sachs, Deutsche Bank, Credit Suisse, Citi, Bank of America Merrill Lynch, JP Morgan, Morgan Stanley",Common,2102.22
BAH US,2010-06-21,2010-11-17,2010-06-21,2010-11-16,2010-11-17,BAH US,Booz Allen Hamilton Holding Co,273.7,14.0,17.0,"IPO,Primary Share Offering,PE Backed",2086.27,1.529411793,13.23529434,"Barclays, Morgan Stanley, Bank of America Merrill Lynch, Credit Suisse",Class A,2086.27
BBIO US,2019-05-24,2019-06-27,2019-05-24,2019-06-26,2019-06-27,BBIO US,Bridgebio Pharma Inc,348.5,20.5,17.0,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",2048.5,80.05882263,62.05882263,"JP Morgan, Goldman Sachs, Jefferies, Kohlberg Kravis Roberts & Co, SVB Leerink LLC, BMO Capital Markets, Mizuho Financial, Piper Jaffray & Co, Raymond James & Associates",Common,2048.5
JD US,2014-01-30,2014-05-22,2014-01-30,2014-05-21,2014-05-22,JD US,JD.com Inc,2047.02,93.6856,19.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit",2047.02,14.47368431,10.0,"Jefferies, China Renaissance Partners, Barclays, Allen & Co, UBS, Bank of America Merrill Lynch",ADR,2047.02
AQUA US,2017-10-03,2017-11-02,2017-10-03,2017-11-01,2017-11-02,AQUA US,Evoqua Water Technologies Corp,575.001,27.7778,18.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",2039.08,6.111111164,16.0,"JP Morgan, Credit Suisse, RBC Capital Markets, Citi, Goldman Sachs",Common,2039.08
GRUB US,2014-02-28,2014-04-04,2014-02-28,2014-04-03,2014-04-04,GRUB US,GrubHub Inc,221.426,7.4056,26.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,PE Backed,PE Exit,Emerging Growth Company",2038.03,53.84615326,30.76922989,"Morgan Stanley, Citi",Common,2038.03
PRTY US,2014-01-21,2015-04-16,2014-01-21,2015-04-15,2015-04-16,PRTY US,Party City Holdco Inc,427.657,21.875,17.0,"IPO,Primary Share Offering,PE Backed",1971.51,20.58823586,21.76470566,"Bank of America Merrill Lynch, Goldman Sachs, Credit Suisse, Morgan Stanley, Barclays, Deutsche Bank, JP Morgan",Common,1971.51
TVPT US,2014-06-04,2014-09-25,2014-06-04,2014-09-24,2014-09-25,TVPT US,Travelport Worldwide Ltd,480.0,30.0,16.0,"IPO,Primary Share Offering,VC Backed,PE Backed",0.0,10.5625,2.5,"Morgan Stanley, UBS, Credit Suisse, Deutsche Bank",Common,1969.7674743652346
FTSI US,2017-02-10,2018-02-02,2017-02-10,2018-02-01,2018-02-02,FTSI US,FTS International Inc,403.65,19.5,18.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,Emerging Growth Company",1966.95,5.555555344,14.5,"Credit Suisse, Morgan Stanley, Wells Fargo, Barclays, Citi, Evercore Partners Inc",Common,1966.95
FRAC US,2016-12-14,2017-01-20,2016-12-14,2017-01-19,2017-01-20,FRAC US,Keane Group Inc,584.706,26.76,19.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",1959.43,15.78947353,13.94736862,"Bank of America Merrill Lynch, JP Morgan, Morgan Stanley, Citi",Common,1959.43
CLDR US,2017-03-31,2017-04-28,2017-03-31,2017-04-27,2017-04-28,CLDR US,Cloudera Inc,258.75,15.0,15.0,"IPO,Primary Share Offering,VC Backed,Emerging Growth Company",1954.71,18.66666603,20.66666603,"Morgan Stanley, JP Morgan, Bank of America Merrill Lynch, Citi, Allen & Co, Deutsche Bank",Common,1954.71
OMF US,2013-08-16,2013-10-16,2013-08-16,2013-10-15,2013-10-16,OMF US,OneMain Holdings Inc,411.432,21.0451,17.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1951.4,12.35294151,13.29411793,"Allen & Co, Barclays, Citi, Credit Suisse, Bank of America Merrill Lynch",Class A,1951.4
JMIA US,2019-03-12,2019-04-12,2019-03-12,2019-04-11,2019-04-12,JMIA US,Jumia Technologies AG,225.113,13.5,14.5,"IPO,Primary Share Offering,Emerging Growth Company",0.0,30.6896553,75.58620453,"Joh Berenberg Gossler & Co KG, Citi, RBC Capital Markets, Morgan Stanley",ADR,1943.7975733600001
NMRK US,2017-10-23,2017-12-15,2017-10-23,2017-12-14,2017-12-15,NMRK US,Newmark Group Inc,322.0,20.0,14.0,"IPO,Primary Share Offering,Emerging Growth Company",1940.32,0.3571428657,-0.3571428657,"Cantor Fitzgerald, Citi, Goldman Sachs, Bank of America Merrill Lynch",Class A,1940.32
FND US,2017-02-10,2017-04-27,2017-02-10,2017-04-26,2017-04-27,FND US,Floor & Decor Holdings Inc,213.087,8.8235,21.0,"IPO,Primary Share Offering,PE Backed",1939.53,44.04761887,52.61904907,"Bank of America Merrill Lynch, Barclays, Credit Suisse, UBS",Class A,1939.53
CIS US,2010-06-25,2010-07-21,2010-06-25,2010-07-20,2010-07-21,CIS US,Camelot Information Systems In,147.64,13.333,11.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1928.45,-8.181818008,-3.181818247,"Barclays, Goldman Sachs",ADR,1928.45
STG US,2018-02-23,2018-03-23,2018-02-23,2018-03-23,2018-03-23,STG US,Sunlands Technology Group,149.5,13.0,11.5,"IPO,Primary Share Offering,Emerging Growth Company",0.0,13.91304302,-3.478260756,"Goldman Sachs, JP Morgan, Credit Suisse",ADR,1917.5411265816665
JUNO US,2014-11-17,2014-12-19,2014-11-17,2014-12-18,2014-12-19,JUNO US,Juno Therapeutics Inc,304.231,11.0229,24.0,"IPO,Primary Share Offering,VC Backed,PE Backed,Emerging Growth Company",1910.22,62.5,45.83333206,"JP Morgan, Morgan Stanley, Goldman Sachs",Common,1910.22
ZS US,2018-02-16,2018-03-16,2018-02-16,2018-03-15,2018-03-16,ZS US,Zscaler Inc,220.8,12.0,16.0,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",1906.1,71.875,106.25,"UBS, Credit Suisse, Deutsche Bank, Bank of America Merrill Lynch, Barclays, Goldman Sachs, Morgan Stanley",Common,1906.1
I US,2012-05-18,2013-04-18,2012-05-18,2013-04-17,2013-04-18,I US,Intelsat SA,400.001,19.3237,18.0,"IPO,Primary Share Offering,PE Backed",1897.42,-5.555555344,6.944444656,"UBS, Deutsche Bank, Nomura, Credit Suisse, Barclays, Bank of America Merrill Lynch, JP Morgan, Goldman Sachs, Morgan Stanley",Common,1897.42
PFGC US,2014-09-09,2015-10-01,2014-09-09,2015-09-30,2015-10-01,PFGC US,Performance Food Group Co,316.825,14.5,19.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1893.47,0.0,1.052631617,"Barclays, Credit Suisse, Wells Fargo, Morgan Stanley",Common,1893.47
APRN US,2017-06-01,2017-06-29,2017-06-01,2017-06-28,2017-06-29,APRN US,Blue Apron Holdings Inc,300.0,30.0,10.0,"IPO,Primary Share Offering,VC Backed,PE Backed,Emerging Growth Company",1890.58,0.0,0.0,"Stifel, SunTrust Robinson Humphrey, RBC Capital Markets, Barclays, Citi, Morgan Stanley, Goldman Sachs",Class A,1890.58
GO US,2019-05-13,2019-06-20,2019-05-13,2019-06-19,2019-06-20,GO US,Grocery Outlet Holding Corp,434.843,17.1875,22.0,"IPO,Primary Share Offering,PE Backed,PE Exit",1885.48,40.90909195,29.59090996,"Cowen & Co, UBS, Guggenheim Capital, Goldman Sachs, Barclays, Jefferies, Deutsche Bank, Bank of America Merrill Lynch, Morgan Stanley",Common,1885.48
EURN US,2014-09-08,2015-01-23,2014-09-08,2015-01-22,2015-01-23,EURN US,Euronav NV,229.063,16.26,12.25,"IPO,Primary Share Offering,Emerging Growth Company",1834.44,-2.040816307,-1.061224461,"Morgan Stanley, JP Morgan, Citi, Deutsche Bank",Common,1834.44
NVCR US,2015-08-31,2015-10-02,2015-08-31,2015-10-01,2015-10-02,NVCR US,Novocure Ltd,173.276,7.5,22.0,"IPO,Primary Share Offering,VC Backed,PE Backed,Emerging Growth Company",1827.17,-8.363636017,-16.90909004,"JP Morgan, Deutsche Bank, Evercore Partners Inc",Common,1827.17
BATS US,2015-12-16,2016-04-15,2015-12-16,2016-04-14,2016-04-15,BATS US,Cboe Bats LLC,290.605,13.3,19.0,"IPO,Secondary Share Offering,PE Backed",1817.91,20.42105293,21.05263138,"Citi, Bank of America Merrill Lynch, Credit Suisse, Goldman Sachs, JP Morgan, Morgan Stanley",Common,1817.91
RUBY US,2018-06-22,2018-07-18,2018-06-22,2018-07-17,2018-07-18,RUBY US,Rubius Therapeutics Inc,277.276,10.483,23.0,"IPO,Primary Share Offering,VC Backed,Emerging Growth Company",1814.87,32.65217209,5.434782505,"JP Morgan, Morgan Stanley, Jefferies, SVB Leerink LLC",Common,1814.87
FLT US,2010-04-15,2010-12-15,2010-04-15,2010-12-14,2010-12-15,FLT US,FleetCor Technologies Inc,335.255,12.675,23.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1810.54,8.695652008,18.47826004,"Goldman Sachs, JP Morgan, Barclays, Morgan Stanley",Common,1810.54
BERY US,2012-03-23,2012-10-04,2012-03-23,2012-10-03,2012-10-04,BERY US,Berry Global Group Inc,470.589,29.4118,16.0,"IPO,Primary Share Offering,PE Backed",1801.6,-4.6875,-5.0,"Robert W Baird & Co, Goldman Sachs, Deutsche Bank, Credit Suisse, Barclays, Bank of America Merrill Lynch, Citi",Common,1801.6
PD US,2019-03-15,2019-04-11,2019-03-15,2019-04-10,2019-04-11,PD US,Pagerduty Inc,250.332,9.07,24.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,Emerging Growth Company",1799.32,53.125,59.375,"Morgan Stanley, JP Morgan, RBC Capital Markets, Allen & Co",Common,1799.32
ONE US,2018-03-02,2018-03-28,2018-03-02,2018-03-28,2018-03-28,ONE US,OneSmart International Educati,179.3,16.3,11.0,"IPO,Primary Share Offering,Emerging Growth Company",1792.23,0.0,-1.818181872,"Morgan Stanley, Deutsche Bank, UBS",ADR,1792.23
LINX US,2019-05-29,2019-06-26,2019-05-29,2019-06-25,2019-06-26,LINX US,Linx SA,256.619,27.2999,9.4,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Dual Listing,Emerging Growth Company",1780.44,-1.063825727,-3.29786849,"Bank of America Merrill Lynch, Banco Itau BBA, Jefferies, Morgan Stanley, Goldman Sachs",ADR,1780.44
ETSY US,2015-03-04,2015-04-16,2015-03-04,2015-04-15,2015-04-16,ETSY US,Etsy Inc,306.667,16.6667,16.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,PE Backed,Emerging Growth Company",1775.41,93.75,87.5,"Goldman Sachs, Morgan Stanley",Common,1775.41
GLBL US,2015-05-07,2015-07-31,2015-05-07,2015-07-31,2015-07-31,GLBL US,TerraForm Global Inc,675.0,45.0,15.0,"IPO,Primary Share Offering,Emerging Growth Company",1762.59,-6.666666508,-6.666666508,"Goldman Sachs, Deutsche Bank, Bank of America Merrill Lynch, Morgan Stanley, Citi, Barclays, JP Morgan",Class A,1762.59
HUD US,2017-11-14,2018-02-01,2017-11-14,2018-02-01,2018-02-01,HUD US,Hudson Ltd,748.938,39.4178,19.0,"IPO,Secondary Share Offering",1757.7,-5.526315689,-7.368421078,"Goldman Sachs, Bank of America Merrill Lynch, Credit Suisse, UBS, Morgan Stanley",Class A,1757.7
MY US,2010-09-07,2010-10-01,2010-09-07,2010-09-30,2010-10-01,MY US,China Ming Yang Wind Power Gro,350.0,25.0,14.0,"IPO,Primary Share Offering,PE Backed",1750.0,1.071428537,-5.357142925,"Morgan Stanley, Bank of America Merrill Lynch, Credit Suisse",ADR,1750.0
DESP US,2017-08-15,2017-09-20,2017-08-15,2017-09-20,2017-09-20,DESP US,Despegar.com Corp,381.823,12.77,26.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",1746.73,11.53846169,22.23077011,"Citi, Morgan Stanley, Banco Itau BBA, UBS",Common,1746.73
COTV US,2016-04-05,2016-05-26,2016-04-05,2016-05-25,2016-05-26,COTV US,Cotiviti Holdings Inc,245.78,12.5,19.0,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",1704.89,0.0,-9.947368622,"JP Morgan, Goldman Sachs, Barclays, Citi, Credit Suisse, Morgan Stanley, RBC Capital Markets, Robert W Baird & Co, SunTrust Robinson Humphrey, William Blair & Co LLC",Common,1704.89
REAL US,2019-05-31,2019-06-28,2019-05-31,2019-06-27,2019-06-28,REAL US,RealReal Inc/The,345.0,15.0,20.0,"IPO,Primary Share Offering,VC Backed,PE Backed,Emerging Growth Company",1699.01,40.0,44.5,"Credit Suisse, Bank of America Merrill Lynch, UBS, KeyBanc Capital Markets, Stifel",Common,1699.01
NH US,2016-05-06,2016-06-02,2016-05-06,2016-06-01,2016-06-02,NH US,NantHealth Inc,96.6,6.5,14.0,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",1695.86,15.071428300000001,32.785713200000004,"Jefferies, Cowen & Co",Common,1695.86
RXN US,2011-05-26,2012-03-29,2011-05-26,2012-03-28,2012-03-29,RXN US,Rexnord Corp,490.262,23.6842,18.0,"IPO,Primary Share Offering,PE Backed",1693.39,5.833333492,11.11111069,"Goldman Sachs, Bank of America Merrill Lynch, Credit Suisse, Deutsche Bank, Barclays",Common,1693.39
FET US,2011-09-01,2012-04-12,2011-09-01,2012-04-11,2012-04-12,FET US,Forum Energy Technologies Inc,435.78,18.947,20.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1691.34,12.5,8.75,"Deutsche Bank, Citi, Credit Suisse, Bank of America Merrill Lynch, JP Morgan",Common,1691.34
CRTO US,2013-09-18,2013-10-30,2013-09-18,2013-10-30,2013-10-30,CRTO US,Criteo SA,288.145,8.0826,31.0,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",1686.9,35.48387146,14.16129017,"JP Morgan, Deutsche Bank, Jefferies",ADR,1686.9
VSLR US,2014-08-26,2014-10-01,2014-08-26,2014-09-30,2014-10-01,VSLR US,Vivint Solar Inc,329.6,20.6,16.0,"IPO,Primary Share Offering,Secondary Share Offering,Emerging Growth Company",0.0,6.3125,0.0625,"Bank of America Merrill Lynch, Goldman Sachs, Credit Suisse, Citi, Deutsche Bank, Morgan Stanley, Barclays",Common,1685.903006820679
9966677D US,2014-06-30,2014-10-09,2014-06-30,2014-10-08,2014-10-09,9966677D US,BrightSphere Investment Group,339.239,22.0,14.0,"IPO,Secondary Share Offering",1680.0,0.0,-0.3571428657,"Morgan Stanley, Bank of America Merrill Lynch, Citi, Credit Suisse",Common,1680.0
HMHC US,2013-08-02,2013-11-14,2013-08-02,2013-11-13,2013-11-14,HMHC US,Houghton Mifflin Harcourt Co,251.85,18.25,12.0,"IPO,Secondary Share Offering,PE Backed,PE Exit",1679.47,16.66666603,32.16666794,"Wells Fargo, Credit Suisse, Citi, Goldman Sachs, Morgan Stanley",Common,1679.47
CADE US,2017-03-17,2017-04-13,2017-03-17,2017-04-12,2017-04-13,CADE US,Cadence BanCorp,172.5,7.5,20.0,"IPO,Primary Share Offering,Emerging Growth Company",1672.5,10.25,7.75,"Goldman Sachs, JP Morgan",Class A,1672.5
BKFS US,2014-12-23,2015-05-20,2014-12-23,2015-05-19,2015-05-20,BKFS US,Black Knight Financial Service,507.15,18.0,24.5,"IPO,Primary Share Offering,PE Backed",1666.06,7.142857075,10.65306091,"SunTrust Robinson Humphrey, Deutsche Bank, Credit Suisse, Citi, Goldman Sachs, Wells Fargo, JP Morgan, Bank of America Merrill Lynch",Class A,1666.06
EVTC US,2013-02-06,2013-04-12,2013-02-06,2013-04-11,2013-04-12,EVTC US,EVERTEC Inc,575.8,25.2632,20.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",1652.46,9.25,2.200000048,"JP Morgan, Goldman Sachs, Deutsche Bank, Morgan Stanley, Bank of America Merrill Lynch, Credit Suisse, UBS",Common,1652.46
APFH US,2016-04-11,2016-07-15,2016-04-11,2016-07-14,2016-07-15,APFH US,AdvancePierre Foods Holdings I,449.19,18.6,21.0,"IPO,Primary Share Offering,Secondary Share Offering",1650.31,11.90476227,14.28571415,"Credit Suisse, Barclays, Morgan Stanley, Goldman Sachs, BMO Capital Markets, Deutsche Bank",Common,1650.31
ATHL US,2013-06-05,2013-08-02,2013-06-05,2013-08-01,2013-08-02,ATHL US,Athlon Energy Inc,362.756,15.7894,20.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1642.58,30.0,37.79999924,"Wells Fargo, UBS, Bank of America Merrill Lynch, Goldman Sachs, Citi",Common,1642.58
EYE US,2017-09-29,2017-10-26,2017-09-29,2017-10-25,2017-10-26,EYE US,National Vision Holdings Inc,399.74,15.8,22.0,"IPO,Primary Share Offering,PE Backed",1642.38,30.68181801,26.5,"Kohlberg Kravis Roberts & Co, Bank of America Merrill Lynch, Goldman Sachs, Citi, Morgan Stanley, Jefferies, UBS, Wells Fargo",Common,1642.38
PINS US,2019-03-22,2019-04-18,2019-03-22,2019-04-17,2019-04-18,PINS US,Pinterest Inc,1638.75,75.0,19.0,"IPO,Primary Share Offering,VC Backed,PE Backed,Emerging Growth Company",1638.75,25.0,28.42105293,"Allen & Co, Bank of America Merrill Lynch, Barclays, Citi, Credit Suisse, Deutsche Bank, JP Morgan, RBC Capital Markets, Goldman Sachs",Class A,1638.75
PDD US,2018-06-29,2018-07-26,2018-06-29,2018-07-25,2018-07-26,PDD US,Pinduoduo Inc,1626.4,85.6,19.0,"IPO,Primary Share Offering,VC Backed,Emerging Growth Company",1626.4,39.4736824,40.5263176,"Credit Suisse, Goldman Sachs, China International Capital Corp, China Renaissance Partners",ADR,1626.4
DQ US,2010-01-12,2010-10-07,2010-01-12,2010-10-06,2010-10-07,DQ US,Daqo New Energy Corp,87.4,8.0,9.5,"IPO,Primary Share Offering,PE Backed",1623.68,5.052631378,7.894736767,Morgan Stanley,ADR,1623.68
CHNG US,2019-03-15,2019-06-27,2019-03-15,2019-06-26,2019-06-27,CHNG US,Change Healthcare Inc,640.714,42.8571,13.0,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",1621.89,7.692307472,15.38461494,"RBC Capital Markets, Morgan Stanley, Deutsche Bank, Credit Suisse, Citi, Bank of America Merrill Lynch, Barclays, JP Morgan, Goldman Sachs",Common,1621.89
TSLA US,2010-01-29,2010-06-29,2010-01-29,2010-06-28,2010-06-29,TSLA US,Tesla Inc,260.015,13.3,17.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,PE Backed,PE Exit",1616.77,11.76470566,40.52941132,"Deutsche Bank, JP Morgan, Morgan Stanley, Goldman Sachs",Common,1616.77
PE US,2014-04-11,2014-05-23,2014-04-11,2014-05-22,2014-05-23,PE US,Parsley Energy Inc,1063.75,50.0,18.5,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,Emerging Growth Company",1611.86,20.5405407,20.0,"Wells Fargo, JP Morgan, Goldman Sachs, Credit Suisse",Class A,1611.86
NEW US,2018-05-18,2018-06-15,2018-05-18,2018-06-15,2018-06-15,NEW US,Puxin Ltd,140.76,7.2,17.0,"IPO,Primary Share Offering,Emerging Growth Company",1603.33,0.0,23.52941132,"Citi, Deutsche Bank, China International Capital Corp, Barclays, Haitong Securities",ADR,1603.33
AMK US,2019-04-24,2019-07-18,2019-04-24,2019-07-17,2019-07-18,AMK US,Assetmark Financial Holdings I,316.25,12.5,22.0,"IPO,Primary Share Offering,Secondary Share Offering,Emerging Growth Company",1592.8,15.68181801,22.90909004,"JP Morgan, Goldman Sachs, Credit Suisse, Huatai Securities",Common,1592.8
BE US,2018-06-12,2018-07-25,2018-06-12,2018-07-25,2018-07-25,BE US,Bloom Energy Corp,310.5,18.0,15.0,"IPO,Primary Share Offering,VC Backed,Emerging Growth Company",1591.0,24.66666603,66.66666412,"Morgan Stanley, JP Morgan, Credit Suisse, KeyBanc Capital Markets, Bank of America Merrill Lynch",Class A,1591.0
GH US,2018-09-06,2018-10-04,2018-09-06,2018-10-03,2018-10-04,GH US,Guardant Health Inc,273.125,12.5,19.0,"IPO,Primary Share Offering,VC Backed,PE Backed,Emerging Growth Company",1587.59,46.05263138,69.47368622,"JP Morgan, Bank of America Merrill Lynch",Common,1587.59
AVLR US,2018-05-11,2018-06-15,2018-05-11,2018-06-14,2018-06-15,AVLR US,Avalara Inc,207.0,7.5,24.0,"IPO,Primary Share Offering,Emerging Growth Company",1585.4,45.83333206,87.25,"Goldman Sachs, Bank of America Merrill Lynch, JP Morgan",Common,1585.4
DNLI US,2017-11-13,2017-12-08,2017-11-13,2017-12-07,2017-12-08,DNLI US,Denali Therapeutics Inc,287.5,13.8889,18.0,"IPO,Primary Share Offering,VC Backed,Emerging Growth Company",1583.63,19.72222137,19.16666603,"Goldman Sachs, JP Morgan, Morgan Stanley",Common,1583.63
SPLK US,2012-01-12,2012-04-19,2012-01-12,2012-04-18,2012-04-19,SPLK US,Splunk Inc,263.925,13.5,17.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit",1573.01,88.23529053,108.7058792,"Morgan Stanley, Credit Suisse, JP Morgan, Bank of America Merrill Lynch",Common,1573.01
UPWK US,2018-09-06,2018-10-03,2018-09-06,2018-10-02,2018-10-03,UPWK US,Upwork Inc,215.223,12.4767,15.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,PE Backed,PE Exit,Emerging Growth Company",1561.18,53.33333206,41.20000076,"Citi, Jefferies, RBC Capital Markets",Common,1561.18
TLRY US,2018-06-20,2018-07-19,2018-06-20,2018-07-18,2018-07-19,TLRY US,Tilray Inc,127.544,6.524,17.0,"IPO,Primary Share Offering,PE Backed,Dual Listing,Emerging Growth Company",1560.5,35.58823395,31.70588303,Cowen & Co,Common,1560.5
ADSW US,2015-08-21,2016-10-06,2015-08-21,2016-10-05,2016-10-06,ADSW US,Advanced Disposal Services Inc,398.475,19.25,18.0,"IPO,Primary Share Offering,PE Backed",1559.36,13.88888931,11.11111069,"Barclays, Credit Suisse, Deutsche Bank, UBS, Bank of America Merrill Lynch, Macquarie, Morgan Stanley, Stifel",Common,1559.36
CJESQ US,2011-03-30,2011-07-29,2011-03-30,2011-07-28,2011-07-29,CJESQ US,C&J Energy Services Ltd/Old,383.525,11.5,29.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1554.73,3.448275805,5.172413826,"JP Morgan, Goldman Sachs, Citi",Common,1554.73
XON US,2013-07-09,2013-08-08,2013-07-09,2013-08-07,2013-08-08,XON US,Intrexon Corp,183.998,9.9999,16.0,"IPO,Primary Share Offering,Emerging Growth Company",1547.36,31.875,54.5625,"JP Morgan, Barclays",Common,1547.36
KNX US,2010-07-22,2010-12-16,2010-07-22,2010-12-15,2010-12-16,KNX US,Knight-Swift Transportation Ho,872.85,73.3,11.0,"IPO,Primary Share Offering",1534.14,0.0,0.9090909362,"Citi, UBS, Deutsche Bank, Morgan Stanley, Wells Fargo, Bank of America Merrill Lynch",Class A,1534.14
NORD US,2014-02-18,2014-03-26,2014-02-18,2014-03-26,2014-03-26,NORD US,Nord Anglia Education Inc,349.6,19.0,16.0,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",1518.36,9.375,12.5,"Goldman Sachs, JP Morgan, Credit Suisse, Barclays, Deutsche Bank, RBC Capital Markets, BMO Capital Markets",Common,1518.36
EIGI US,2013-09-09,2013-10-25,2013-09-09,2013-10-24,2013-10-25,EIGI US,Endurance International Group,252.612,21.051,12.0,"IPO,Primary Share Offering,PE Backed",1514.86,-8.333333015,-6.25,"Goldman Sachs, Credit Suisse, Morgan Stanley",Common,1514.86
SMAR US,2018-03-26,2018-04-27,2018-03-26,2018-04-26,2018-04-27,SMAR US,Smartsheet Inc,200.67,11.633,15.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,Emerging Growth Company",1509.6,22.66666603,30.0,"Morgan Stanley, JP Morgan, Jefferies, RBC Capital Markets",Class A,1509.6
EXPR US,2010-02-16,2010-05-13,2010-02-16,2010-05-12,2010-05-13,EXPR US,Express Inc,272.0,16.0,17.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1508.51,0.0,-1.470588207,"Goldman Sachs, Bank of America Merrill Lynch",Common,1508.51
YETI US,2018-09-28,2018-10-25,2018-09-28,2018-10-24,2018-10-25,YETI US,YETI Holdings Inc,304.538,16.0,18.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",1505.65,-6.944444656,-5.555555344,"Goldman Sachs, Citi, Robert W Baird & Co, Piper Jaffray & Co, Jefferies, Morgan Stanley, Bank of America Merrill Lynch",Common,1505.65
NMBL US,2013-10-18,2013-12-13,2013-10-18,2013-12-12,2013-12-13,NMBL US,Nimble Storage Inc,193.2,8.0,21.0,"IPO,Primary Share Offering,VC Backed,Emerging Growth Company",1501.09,48.09523773,61.57143021,"Morgan Stanley, Goldman Sachs",Common,1501.09
RATE US,2011-04-15,2011-06-17,2011-04-15,2011-06-16,2011-06-17,RATE US,Bankrate Inc,344.917,20.0,15.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1500.0,-6.666666508,2.266666651,"Goldman Sachs, Bank of America Merrill Lynch, Citi, JP Morgan",Common,1500.0
AVOL US,2014-06-09,2014-12-12,2014-06-09,2014-12-11,2014-12-12,AVOL US,Avolon Holdings Ltd,272.728,13.6364,20.0,"IPO,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",0.0,-3.75,-7.5,"Wells Fargo, UBS, Citi, JP Morgan, Morgan Stanley",Common,1497.6189804077148
