,,,Announced Date,Pricing date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Security type,Market cap
AVTR US,2019-02-08,2019-05-17,2019-02-08,2019-05-16,2019-05-17,AVTR US,Avantor Inc,3332.7,207.0,14.0,"IPO,Primary Share Offering,PE Backed",8349.46,5.142857075,3.571428537,"Cowen & Co, Piper Jaffray & Co, RBC Capital Markets, Citi, UBS, Morgan Stanley, Guggenheim Capital, Evercore Partners Inc, Deutsche Bank, Credit Suisse, Bank of America Merrill Lynch, Barclays, Jefferies, Goldman Sachs, JP Morgan",Common,8349.46
SC US,2013-07-03,2014-01-23,2013-07-03,2014-01-22,2014-01-23,SC US,Santander Consumer USA Holding,2045.81,74.9915,24.0,"IPO,Secondary Share Offering",8337.14,7.291666508,5.0,"JP Morgan, Citi, Wells Fargo, UBS, Credit Suisse, BMO Capital Markets, RBC Capital Markets, Morgan Stanley, Goldman Sachs, Barclays, Banco Santander, Bank of America Merrill Lynch, Deutsche Bank",Common,8337.14
9876549D US,2010-06-03,2011-01-26,2010-06-03,2011-01-25,2011-01-26,9876549D US,Nielsen NV,1889.29,71.4286,23.0,"IPO,Primary Share Offering,PE Backed,PE Exit",8241.91,7.608695507,8.695652008,"Citi, Goldman Sachs, Deutsche Bank, Credit Suisse, JP Morgan, Morgan Stanley",Common,8241.91
QD US,2017-09-18,2017-10-18,2017-09-18,2017-10-17,2017-10-18,QD US,Qudian Inc,1035.0,37.5,24.0,"IPO,Primary Share Offering,Secondary Share Offering,Emerging Growth Company",7921.2,43.125,21.58333397,"Morgan Stanley, China International Capital Corp, Credit Suisse, Citi, UBS",ADR,7921.2
MRNA US,2018-11-09,2018-12-07,2018-11-09,2018-12-06,2018-12-07,MRNA US,Moderna Inc,604.348,26.276,23.0,"IPO,Primary Share Offering,PE Backed,Emerging Growth Company",7461.45,-4.347826004,-19.13043404,"Goldman Sachs, Morgan Stanley, JP Morgan, Bank of America Merrill Lynch, Barclays, Piper Jaffray & Co",Common,7461.45
APTV US,2011-05-25,2011-11-17,2011-05-25,2011-11-16,2011-11-17,APTV US,Aptiv PLC,529.734,24.0788,22.0,"IPO,Secondary Share Offering,PE Backed,PE Exit",7221.39,-3.409090996,-3.045454502,"Morgan Stanley, Citi, Barclays, Deutsche Bank, Bank of America Merrill Lynch, Goldman Sachs, JP Morgan",Common,7221.39
KING US,2014-02-18,2014-03-26,2014-02-18,2014-03-25,2014-03-26,KING US,King Digital Entertainment Ltd,499.5,22.2,22.5,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,PE Backed,PE Exit,Emerging Growth Company",7085.97,-8.888889313,-15.55555534,"RBC Capital Markets, Deutsche Bank, Barclays, Bank of America Merrill Lynch, JP Morgan, Credit Suisse",Common,7085.97
KOS US,2011-01-14,2011-05-11,2011-01-14,2011-05-10,2011-05-11,KOS US,Kosmos Energy Ltd,621.328,33.0,18.0,"IPO,Primary Share Offering,PE Backed",6762.42,8.333333015,1.333333373,"Citi, Barclays, Credit Suisse",Common,6762.42
IMS US,2014-01-02,2014-04-04,2014-01-02,2014-04-04,2014-04-04,IMS US,IMS Health Holdings Inc,1495.0,65.0,20.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,Government Exit",6637.84,10.89999962,15.0,"Wells Fargo, Deutsche Bank, Barclays, Bank of America Merrill Lynch, JP Morgan, Morgan Stanley, Goldman Sachs",Common,6637.84
ORCC US,2019-06-04,2019-07-18,2019-06-04,2019-07-17,2019-07-18,ORCC US,Owl Rock Capital Corp,175.95,10.0,15.3,"IPO,Primary Share Offering,Emerging Growth Company",5893.45,1.307188272,1.241828799,"Raymond James & Associates, Morgan Stanley, Stifel, JMP Group LLC, Credit Suisse, Societe Generale, Deutsche Bank, SunTrust Robinson Humphrey, RBC Capital Markets, Wells Fargo, Goldman Sachs, Bank of America Merrill Lynch",Common,5893.45
