,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Type,Market cap,ADV,Bookrunner.1
DGOC LN,2019-03-27,2019-04-18,2019-03-27,2019-04-18,DGOC LN,Diversified Gas & Oil PLC,253.669,164.015,117.0,"ADDL,Primary Share Offering,Secondary Share Offering,Best Efforts,Sub Sector Flag,REG S",0.0,5.128205299,3.846153736,"Mirabaud Securities, Stifel",Stocks,839.2811,2.2605488628654618,"Mirabaud Securities, Stifel"
HUBN SW,2019-03-25,2019-03-26,2019-03-25,2019-03-26,HUBN SW,Huber + Suhner AG,153.478,2.03,75.0,"ADDL,Secondary Share Offering,Best Efforts,REG S",1527.22,-0.8000000119,-2.666666746,"Credit Suisse, UBS",Stocks,1527.22,1.6711380571894576,"Credit Suisse, UBS"
FP FP,2019-03-19,2019-03-20,2019-03-19,2019-03-20,FP FP,TOTAL SA,1003.71,17.2726,51.18,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",153572.0,-1.094177961,-1.367722392,"Barclays, Citi",Stocks,153572.0,338.1111281232762,"Barclays, Citi"
MONC IM,2019-03-19,2019-03-20,2019-03-19,2019-03-20,MONC IM,Moncler SpA,505.577,12.1996,36.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",10605.5,-0.5205479264,-1.369863033,"Bank of America Merrill Lynch, Citi",Stocks,10605.5,50.00587540471851,"Bank of America Merrill Lynch, Citi"
EVR LN,2019-03-18,2019-03-19,2019-03-18,2019-03-19,EVR LN,Evraz PLC,200.005,25.4,595.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",11395.3,1.075630307,0.6050420403,"Citi, Credit Suisse, UBS",Stocks,11395.3,14.514699017155749,"Citi, Credit Suisse, UBS"
JUST LN,2019-03-14,2019-03-18,2019-03-14,2019-03-18,JUST LN,Just Group PLC,99.7137,94.0128,80.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1097.85,2.5,-2.5,"Barclays, Numis",Stocks,1097.85,2.7167739360710277,"Barclays, Numis"
RESURS SS,2019-03-14,2019-03-15,2019-03-14,2019-03-15,RESURS SS,Resurs Holding AB,93.3917,15.0,58.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1255.21,0.5172413588,0.8620689511,"Carnegie, Morgan Stanley",Stocks,1255.21,1.7002833564562119,"Carnegie, Morgan Stanley"
ADYEN NA,2019-03-11,2019-03-12,2019-03-11,2019-03-12,ADYEN NA,Adyen NV,1686.3,2.5,600.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",20019.8,3.799999952,10.66666698,"ABN Amro Bank NV, Bank of America Merrill Lynch, Citi, JP Morgan, Morgan Stanley",Stocks,20019.8,67.63627592565722,"ABN Amro Bank NV, Bank of America Merrill Lynch, Citi, JP Morgan, Morgan Stanley"
TRIG LN,2019-03-07,2019-04-01,2019-03-07,2019-04-01,TRIG LN,Renewables Infrastructure Grou,174.323,116.471,114.0,"ADDL,Primary Share Offering,REG S",2162.67,4.210526466,4.035087585,"Canaccord Genuity, Liberum Capital Ltd",Stocks,2162.67,2.6616668239980585,"Canaccord Genuity, Liberum Capital Ltd"
HEMF SS,2019-03-06,2019-03-06,2019-03-06,2019-03-06,HEMF SS,Hemfosa Fastigheter AB,70.2803,8.4863,77.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1389.06,0.3896103799,0.3896103799,"ABG Sundal Collier Asa, SEB",Stocks,1389.06,4.73126202587757,"ABG Sundal Collier Asa, SEB"
TLGO SM,2019-03-04,2019-03-05,2019-03-04,2019-03-05,TLGO SM,Talgo SA,78.1942,12.3,5.61,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,Private Placement",865.484,-2.139039755,-1.604280472,UBS,Stocks,865.484,2.7860097599894,UBS
NESTE FH,2019-02-28,2019-03-01,2019-02-28,2019-03-01,NESTE FH,Neste Oyj,119.676,1.237,85.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",24769.2,6.705882549,6.752941132,Morgan Stanley,Stocks,24769.2,39.066602167670865,Morgan Stanley
ETL FP,2019-02-21,2019-02-22,2019-02-21,2019-02-22,ETL FP,Eutelsat Communications SA,322.576,15.5,18.37,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Private Placement,REG S,Rule 144A",4851.64,-0.4899337888,-0.6532435417,"Citi, Credit Suisse, Societe Generale",Stocks,4851.64,11.583022799543079,"Citi, Credit Suisse, Societe Generale"
DHER GR,2019-02-20,2019-02-21,2019-02-20,2019-02-21,DHER GR,Delivery Hero SE,57.5154,1.4562,34.75,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",0.0,-2.446043253,-3.712230206,UniCredit,Stocks,7345.7821,12.221379536904529,UniCredit
DKSH SW,2019-02-19,2019-02-20,2019-02-19,2019-02-20,DKSH SW,DKSH Holding AG,212.837,3.82,55.75,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",3631.6,4.12556076,4.035874367,Credit Suisse,Stocks,3631.6,6.607601668743956,Credit Suisse
NETC DC,2019-02-19,2019-02-20,2019-02-19,2019-02-20,NETC DC,Netcompany Group A/S,102.539,3.1134,216.55,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1649.25,7.134609222,6.211035252,"Danske Bank, Deutsche Bank, Morgan Stanley",Stocks,1649.25,4.2273602016993745,"Danske Bank, Deutsche Bank, Morgan Stanley"
SLA LN,2019-02-14,2019-02-15,2019-02-14,2019-02-15,SLA LN,Standard Life Aberdeen PLC,447.248,148.628,235.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",7569.64,-0.5957446694,0.7021276355,Morgan Stanley,Stocks,7569.64,26.46574114596449,Morgan Stanley
INTER NA,2019-02-12,2019-02-13,2019-02-12,2019-02-13,INTER NA,Intertrust NV,104.185,6.075,15.15,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",1533.3,6.006603241,5.610563755,"ABN Amro Bank NV, Deutsche Bank",Stocks,1533.3,1.6018129084814998,"ABN Amro Bank NV, Deutsche Bank"
DWNI GR,2019-01-31,2019-02-01,2019-01-31,2019-02-01,DWNI GR,Deutsche Wohnen SE,799.292,16.821,41.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",16992.6,3.108433723,4.0,"Deutsche Bank, JP Morgan, Societe Generale",Stocks,16992.6,30.544421776077336,"Deutsche Bank, JP Morgan, Societe Generale"
NEL NO,2019-01-30,2019-01-30,2019-01-30,2019-01-30,NEL NO,NEL ASA,54.5872,84.9066,5.45,"ADDL,Primary Share Offering,Accelerated Bookbuild,Private Placement",770.499,1.955275178,2.414533138,"Carnegie, SpareBank 1 Markets AS",Stocks,770.499,8.745192715351532,"Carnegie, SpareBank 1 Markets AS"
PRSM LN,2019-01-24,2019-02-12,2019-01-24,2019-02-12,PRSM LN,Blue Prism Group plc,130.17,9.0909,1100.0,"ADDL,Primary Share Offering,Best Efforts,Sub Sector Flag,REG S,Rule 144A",1092.07,16.36363602,13.63636398,,Stocks,1092.07,2.4060351869400316,
ONCO SS,2019-01-23,2019-01-30,2019-01-23,2019-01-30,ONCO SS,Oncopeptides AB,60.6183,4.75,115.0,"ADDL,Primary Share Offering,VC Backed,Accelerated Bookbuild",617.484,16.52173996,17.04347801,"Carnegie, DNB ASA, Jefferies",Stocks,617.484,1.507200704528448,"Carnegie, DNB ASA, Jefferies"
BCART BB,2019-01-23,2019-01-23,2019-01-23,2019-01-23,BCART BB,Biocartis NV,63.2312,5.0,11.1,"ADDL,Primary Share Offering,Accelerated Bookbuild,Private Placement",712.755,3.063059568,7.9279241559999996,"Joh Berenberg Gossler & Co KG, KBC Group, Kempen & Co NV",Stocks,712.755,1.3550653218666244,"Joh Berenberg Gossler & Co KG, KBC Group, Kempen & Co NV"
TKWY NA,2019-01-17,2019-01-22,2019-01-17,2019-01-22,TKWY NA,Takeaway.com NV,489.669,8.35,51.5,"ADDL,Primary Share Offering,Accelerated Bookbuild,Private Placement",0.0,7.961164951,4.854369164,"ABN Amro Bank NV, Bank of America Merrill Lynch, ING Groep",Stocks,2780.6022,4.841948885898171,"ABN Amro Bank NV, Bank of America Merrill Lynch, ING Groep"
KIE LN,2018-12-20,2018-12-20,2018-12-20,2018-12-20,KIE LN,Kier Group PLC,128.246,28.1012,360.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",739.853,7.333333492,9.944444656,"Numis, Peel Hunt LLP",Stocks,739.853,9.525200337901794,"Numis, Peel Hunt LLP"
