,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Type,Market cap,ADV,Bookrunner.1
TKWY NA,2018-03-15,2018-03-15,2018-03-15,2018-03-15,TKWY NA,Takeaway.com NV,135.29,2.4,45.7,"ADDL,Secondary Share Offering,VC Backed,VC Exit,Accelerated Bookbuild",2434.28,0.7658626437,0.4376350939,Morgan Stanley,Stocks,2434.28,2.1762478399716003,Morgan Stanley
MRN FP,2018-03-14,2018-03-15,2018-03-14,2018-03-15,MRN FP,Mersen SA,99.6188,2.3,35.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",890.886,3.285714388,2.8571429249999998,"BNP Paribas, Societe Generale",Stocks,890.886,1.8350399347558335,"BNP Paribas, Societe Generale"
B2H NO,2018-03-13,2018-03-14,2018-03-13,2018-03-14,B2H NO,B2Holding ASA,96.5896,36.912,20.25,"ADDL,Primary Share Offering,Accelerated Bookbuild",1063.53,0.9876543283,0.7407407165,"Arctic Securities, Nordea Bank Abp",Stocks,1063.53,1.1773677643791014,"Arctic Securities, Nordea Bank Abp"
VIE FP,2018-03-12,2018-03-13,2018-03-12,2018-03-13,VIE FP,Veolia Environnement SA,624.588,26.1,19.41,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit",13549.4,-0.618237257,-0.2318384796,Societe Generale,Stocks,13549.4,53.36652880676124,Societe Generale
DHER GR,2018-03-12,2018-03-12,2018-03-12,2018-03-12,DHER GR,Delivery Hero SE,59.9551,1.2631,38.5,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",0.0,1.870129824,0.1038961038,UniCredit,Stocks,8761.6127,12.178318005389283,UniCredit
TRIG LN,2018-03-12,2018-03-20,2018-03-12,2018-03-20,TRIG LN,Renewables Infrastructure Grou,80.0652,54.858,105.0,"ADDL,Primary Share Offering,REG S,Rule 144A",1462.71,-0.190476194,0.380952388,"Canaccord Genuity, Liberum Capital Ltd",Stocks,1462.71,1.997623819946949,"Canaccord Genuity, Liberum Capital Ltd"
AT1 GR,2018-03-08,2018-03-13,2018-03-08,2018-03-13,AT1 GR,Aroundtown SA,746.655,95.0,6.38,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",8197.72,-1.959249377,-2.507838726,"Citi, Deutsche Bank, Goldman Sachs, Joh Berenberg Gossler & Co KG",Stocks,8197.72,18.825139228704927,"Citi, Deutsche Bank, Goldman Sachs, Joh Berenberg Gossler & Co KG"
DHER GR,2018-03-08,2018-03-08,2018-03-08,2018-03-08,DHER GR,Delivery Hero SE,65.158,1.381,38.3,"ADDL,Secondary Share Offering,VC Backed,VC Exit,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",8610.62,-0.4699718952,0.835511148,"Citi, Goldman Sachs, Morgan Stanley",Stocks,8610.62,11.68019112343512,"Citi, Goldman Sachs, Morgan Stanley"
AC FP,2018-03-06,2018-03-06,2018-03-06,2018-03-06,AC FP,Accor SA,684.609,12.2,45.28,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",16298.7,0.2650203705,0.1545963436,Goldman Sachs,Stocks,16298.7,63.36088544684414,Goldman Sachs
PLUS LN,2018-03-01,2018-03-02,2018-03-01,2018-03-02,PLUS LN,Plus500 Ltd,109.88,7.2727,1100.0,"ADDL,Secondary Share Offering,REG S",1720.98,-2.272727251,-2.818181753,,Stocks,1720.98,9.689098689461561,
OCY NO,2018-02-28,2018-03-01,2018-02-28,2018-03-01,OCY NO,Ocean Yield ASA,96.2892,11.0,69.0,"ADDL,Primary Share Offering,Best Efforts",0.0,-0.7246376872,-1.304347873,"ABG Sundal Collier Asa, Arctic Securities, Pareto Securities, SpareBank 1 Markets AS",Stocks,1373.8858,1.1741925471411017,"ABG Sundal Collier Asa, Arctic Securities, Pareto Securities, SpareBank 1 Markets AS"
LEHTO FH,2018-02-28,2018-03-01,2018-02-28,2018-03-01,LEHTO FH,Lehto Group Oyj,104.021,7.1,12.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",853.631,1.666666627,1.5,"OP Cooperative, Pareto Securities",Stocks,853.631,1.1368637156299,"OP Cooperative, Pareto Securities"
LIGHT NA,2018-02-26,2018-02-27,2018-02-26,2018-02-27,LIGHT NA,Signify NV,640.831,16.22,32.1,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",5512.11,0.6853630543,1.433026671,"ABN Amro Bank NV, Goldman Sachs, Morgan Stanley, Societe Generale",Stocks,5512.11,18.90301937139658,"ABN Amro Bank NV, Goldman Sachs, Morgan Stanley, Societe Generale"
CCAP GR,2018-02-26,2018-02-27,2018-02-26,2018-02-27,CCAP GR,Corestate Capital Holding SA,258.082,4.1522,50.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1297.19,1.782178164,2.970297098,Joh Berenberg Gossler & Co KG,Stocks,1297.19,1.9077582037678444,Joh Berenberg Gossler & Co KG
AAG GR,2018-02-26,2018-02-27,2018-02-26,2018-02-27,AAG GR,Aumann AG,127.912,1.7037,61.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1139.37,1.311475396,0.6557376981,"Citi, Hauck & Aufhaeuser Privatbankiers KGaA, Joh Berenberg Gossler & Co KG",Stocks,1139.37,1.7137058786482444,"Citi, Hauck & Aufhaeuser Privatbankiers KGaA, Joh Berenberg Gossler & Co KG"
STB NO,2018-02-20,2018-02-20,2018-02-20,2018-02-20,STB NO,Storebrand ASA,113.033,13.0,68.15,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",4067.56,-0.2201049477,-1.687456369,Goldman Sachs,Stocks,4067.56,15.744398133044758,Goldman Sachs
CINE LN,2018-02-20,2018-02-20,2018-02-20,2018-02-20,CINE LN,Cineworld Group PLC,134.586,40.3832,238.0,"ADDL,Primary Share Offering,Rump Placement",4564.59,2.941176414,1.176470637,"Barclays, HSBC, Investec",Stocks,4564.59,15.301842481183677,"Barclays, HSBC, Investec"
GTT FP,2018-02-20,2018-02-21,2018-02-20,2018-02-21,GTT FP,Gaztransport Et Technigaz SA,263.855,3.85,55.52,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2537.62,-1.206773162,-1.206773162,Societe Generale,Stocks,2537.62,4.51583221089,Societe Generale
BFF IM,2018-02-20,2018-02-21,2018-02-20,2018-02-21,BFF IM,Banca Farmafactoring SpA,122.437,17.25,5.75,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1205.73,2.608695745,1.565217376,"Deutsche Bank, Mediobanca, Morgan Stanley",Stocks,1205.73,2.779813782569178,"Deutsche Bank, Mediobanca, Morgan Stanley"
CVSG LN,2018-02-16,2018-02-20,2018-02-16,2018-02-20,CVSG LN,CVS Group PLC,84.264,5.5814,1075.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,Sub Sector Flag",1060.44,2.604651213,4.930232525,,Stocks,1060.44,4.268113919950657,
G24 GR,2018-02-15,2018-02-15,2018-02-15,2018-02-15,G24 GR,Scout24 AG,421.191,9.2523,36.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",4898.25,0.383561641,2.246575356,JP Morgan,Stocks,4898.25,7.152267348422734,JP Morgan
RESURS SS,2018-02-13,2018-02-14,2018-02-13,2018-02-14,RESURS SS,Resurs Holding AB,122.018,17.5,56.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1401.4,-0.2678571343,-1.071428537,Carnegie,Stocks,1401.4,2.8398933310232684,Carnegie
DHER GR,2018-02-09,2018-02-09,2018-02-09,2018-02-09,DHER GR,Delivery Hero SE,164.388,4.3,31.3,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,5.431312561,7.156552315,UBS,Stocks,7083.8941,10.156354629055441,UBS
KTMI SW,2018-02-09,2018-02-09,2018-02-09,2018-02-09,KTMI SW,KTM Industries AG,130.094,18.0309,6.78,"ADDL,Secondary Share Offering",1626.18,2.949849367,2.359878778,Vontobel Holding AG,Stocks,1626.18,1.101816531734833,Vontobel Holding AG
UMI BB,2018-02-08,2018-02-12,2018-02-08,2018-02-12,UMI BB,Umicore SA,1092.11,22.4,39.8,"ADDL,Primary Share Offering,Accelerated Bookbuild,Rule 144A",12013.2,18.34171104,18.59296799,"Deutsche Bank, JP Morgan",Stocks,12013.2,40.647085864263296,"Deutsche Bank, JP Morgan"
TALK LN,2018-02-08,2018-02-12,2018-02-08,2018-02-12,TALK LN,TalkTalk Telecom Group PLC,283.58,190.654,107.0,"ADDL,Primary Share Offering,PE Backed,Accelerated Bookbuild,REG S,Rule 144A",1704.97,1.588785052,-0.6542056203,"Barclays, Deutsche Bank",Stocks,1704.97,4.047682571559123,"Barclays, Deutsche Bank"
TELIA SS,2018-02-07,2018-02-08,2018-02-07,2018-02-08,TELIA SS,Telia Co AB,635.9,137.124,37.32,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit,REG S,Rule 144A",20080.4,-2.30439353,-3.376204967,Citi,Stocks,20080.4,56.013916529989096,Citi
OCDO LN,2018-02-06,2018-02-08,2018-02-06,2018-02-08,OCDO LN,Ocado Group PLC,199.807,31.4635,455.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",4209.86,3.538461447,1.648351669,"Goldman Sachs, Numis",Stocks,4209.86,19.215477416463752,"Goldman Sachs, Numis"
OCI NA,2018-02-05,2018-02-05,2018-02-05,2018-02-05,OCI NA,OCI NV,249.902,10.5823,19.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",4966.39,-2.631578922,-1.578947425,Goldman Sachs,Stocks,4966.39,10.323615265015468,Goldman Sachs
TOT ID,2018-02-01,2018-02-05,2018-02-01,2018-02-05,TOT ID,Total Produce PLC,180.821,63.0,2.3,"ADDL,Primary Share Offering,Accelerated Bookbuild,Dual Listing,REG S,Rule 144A",1113.14,2.173915148,2.173915148,"Davy, Goldman Sachs",Stocks,1113.14,1.102094144079918,"Davy, Goldman Sachs"
ETO LN,2018-01-29,2018-02-01,2018-01-29,2018-02-01,ETO LN,Entertainment One Ltd,74.9914,17.475,305.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1937.28,4.918032646,4.918032646,"Investec, JP Morgan, RBC Capital Markets",Stocks,1937.28,3.4722000533219513,"Investec, JP Morgan, RBC Capital Markets"
DPH LN,2018-01-25,2018-01-30,2018-01-25,2018-01-30,DPH LN,Dechra Pharmaceuticals PLC,149.689,5.122,2050.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",2989.23,13.95121956,17.07317162,Investec,Stocks,2989.23,3.775684201362028,Investec
PRSM LN,2018-01-25,2018-01-30,2018-01-25,2018-01-30,PRSM LN,Blue Prism Group plc,98.9359,5.5079,1260.0,"ADDL,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,Accelerated Bookbuild,Sub Sector Flag,REG S,Rule 144A",1182.75,7.936507702,17.46031761,Investec,Stocks,1182.75,3.5619467323634377,Investec
PETS LN,2018-01-24,2018-01-25,2018-01-24,2018-01-25,PETS LN,Pets at Home Group Plc,153.168,62.0131,174.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1240.27,5.574712753,2.586206913,"Bank of America Merrill Lynch, Numis",Stocks,1240.27,2.8539691392879996,"Bank of America Merrill Lynch, Numis"
JUST LN,2018-01-22,2018-01-23,2018-01-22,2018-01-23,JUST LN,Just Group PLC,107.064,51.4793,149.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S",1954.38,-1.275167823,0.4697986543,Barclays,Stocks,1954.38,7.784180276895549,Barclays
MAS SM,2018-01-22,2018-01-23,2018-01-22,2018-01-23,MAS SM,Masmovil Ibercom SA,300.835,2.8,87.75,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",2149.87,3.817663908,4.843304634,"Deutsche Bank, JP Morgan",Stocks,2149.87,6.611573821172029,"Deutsche Bank, JP Morgan"
RBREW DC,2018-01-15,2018-01-16,2018-01-15,2018-01-16,RBREW DC,Royal Unibrew A/S,160.281,2.78,350.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",3032.02,1.771428585,3.1428570750000002,"Danske Bank, SEB",Stocks,3032.02,5.336380177111525,"Danske Bank, SEB"
VACN SW,2018-01-12,2018-01-12,2018-01-12,2018-01-12,VACN SW,VAT Group AG,164.888,1.0843,147.75,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,Bought Deal",4562.06,1.793570161,1.184433222,UBS,Stocks,4562.06,19.127245082370262,UBS
BME LN,2018-01-12,2018-01-12,2018-01-12,2018-01-12,BME LN,B&M European Value Retail SA,273.6,49.1005,407.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",5575.3,1.965601921,1.965601921,Goldman Sachs,Stocks,5575.3,14.07714124232428,Goldman Sachs
1COV GR,2018-01-10,2018-01-11,2018-01-10,2018-01-11,1COV GR,Covestro AG,2166.25,21.0,86.25,"ADDL,Secondary Share Offering,Accelerated Bookbuild",21025.1,3.489855051,5.530434608,"Credit Suisse, Goldman Sachs",Stocks,21025.1,62.37529953865994,"Credit Suisse, Goldman Sachs"
MB IM,2018-01-10,2018-01-11,2018-01-10,2018-01-11,MB IM,Mediobanca Banca di Credito Fi,182.758,15.7534,9.7,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",10255.3,1.391754627,0.7216514945,BNP Paribas,Stocks,10255.3,33.37414066577683,BNP Paribas
HOME SM,2018-01-10,2018-01-11,2018-01-10,2018-01-11,HOME SM,Neinor Homes SA,208.094,9.8579,17.65,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1678.63,1.643061638,2.549577236,"BNP Paribas, Citi, Credit Suisse, JP Morgan",Stocks,1678.63,6.999286885930694,"BNP Paribas, Citi, Credit Suisse, JP Morgan"
DBG FP,2018-01-09,2018-01-10,2018-01-09,2018-01-10,DBG FP,Derichebourg SA,156.404,16.4,8.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1567.99,0.0,0.5,Societe Generale,Stocks,1567.99,2.340664096845762,Societe Generale
OSB LN,2018-01-09,2018-01-10,2018-01-09,2018-01-10,OSB LN,OneSavings Bank PLC,128.441,24.3465,390.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1283.46,2.56410265,5.230769157,"Citi, Credit Suisse",Stocks,1283.46,2.060137397438477,"Citi, Credit Suisse"
BC IM,2018-01-09,2018-01-10,2018-01-09,2018-01-10,BC IM,Brunello Cucinelli SpA,126.458,4.08,26.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2114.53,4.615384579,3.846153736,Mediobanca,Stocks,2114.53,1.5612743765690933,Mediobanca
JUST LN,2018-01-08,2018-01-09,2018-01-08,2018-01-09,JUST LN,Just Group PLC,106.438,50.0,157.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1992.72,-1.592356682,1.273885369,Numis,Stocks,1992.72,3.075140731910398,Numis
DHER GR,2018-01-05,2018-01-05,2018-01-05,2018-01-05,DHER GR,Delivery Hero SE,187.001,4.889,31.75,"ADDL,Secondary Share Offering,Accelerated Bookbuild",6980.44,2.8031497,2.614173174,Morgan Stanley,Stocks,6980.44,7.686394686701231,Morgan Stanley
BKIA SM,2017-12-11,2017-12-12,2017-12-11,2017-12-12,BKIA SM,Bankia SA,964.931,201.55,4.06,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit,REG S,Rule 144A",13785.0,1.409370952e-06,0.8867009282,"Deutsche Bank, Morgan Stanley, UBS",Stocks,13785.0,26.595099710500143,"Deutsche Bank, Morgan Stanley, UBS"
LCL LN,2017-12-11,2017-12-12,2017-12-11,2017-12-12,LCL LN,Ladbrokes Coral Group Ltd,253.976,111.9,170.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",4336.99,1.411764741,0.4117647111,"Barclays, Morgan Stanley",Stocks,4336.99,22.59711349631712,"Barclays, Morgan Stanley"
DHER GR,2017-12-05,2017-12-12,2017-12-05,2017-12-12,DHER GR,Delivery Hero SE,509.134,12.5,34.5,"ADDL,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,PE Backed,PE Exit,Accelerated Bookbuild",0.0,1.318840623,2.086956501,"Citi, Goldman Sachs, Morgan Stanley",Stocks,7269.6161,2.284576452643222,"Citi, Goldman Sachs, Morgan Stanley"
TRYG DC,2017-12-04,2017-12-11,2017-12-04,2017-12-11,TRYG DC,Tryg A/S,641.033,27.4,147.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",7038.51,5.442176819,4.013605595,Nordea Bank Abp,Stocks,7038.51,7.709834160281807,Nordea Bank Abp
SPIE FP,2017-12-04,2017-12-05,2017-12-04,2017-12-05,SPIE FP,SPIE SA,209.961,7.7751,22.8,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",4147.37,-1.09648788,-2.982452869,Societe Generale,Stocks,4147.37,6.876441910208577,Societe Generale
AAG GR,2017-12-04,2017-12-07,2017-12-04,2017-12-07,AAG GR,Aumann AG,94.752,1.25,64.0,"ADDL,Primary Share Offering,PE Backed,Accelerated Bookbuild",1152.27,1.453125,2.668750048,"Citi, Hauck & Aufhaeuser Privatbankiers KGaA, Joh Berenberg Gossler & Co KG",Stocks,1152.27,3.5642402026006827,"Citi, Hauck & Aufhaeuser Privatbankiers KGaA, Joh Berenberg Gossler & Co KG"
HLE GR,2017-11-30,2017-12-01,2017-11-30,2017-12-01,HLE GR,Hella GmbH & Co KGaA,68.1176,1.1457,50.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",6614.44,0.1000000015,1.120000005,Bankhaus Lampe KG,Stocks,6614.44,7.326153040851101,Bankhaus Lampe KG
DNORD DC,2017-11-30,2017-12-01,2017-11-30,2017-12-01,DNORD DC,D/S Norden A/S,89.4747,4.8696,115.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",776.468,2.173913002,2.695652246,Pareto Securities,Stocks,776.468,3.7786439659337527,Pareto Securities
CSP LN,2017-11-30,2017-12-01,2017-11-30,2017-12-01,CSP LN,Countryside Properties PLC,310.032,67.5,340.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",2067.03,-0.5294117928,0.7352941036,"Barclays, Numis",Stocks,2067.03,2.9352601518714194,"Barclays, Numis"
HNSA SS,2017-11-29,2017-12-28,2017-11-29,2017-12-28,HNSA SS,Hansa Biopharma AB,65.2064,2.7525,198.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S",905.152,27.02020264,26.01010132,"Evercore Partners Inc, RBC Capital Markets, SEB",Stocks,905.152,4.65714519707447,"Evercore Partners Inc, RBC Capital Markets, SEB"
JPJ LN,2017-11-29,2017-11-30,2017-11-29,2017-11-30,JPJ LN,JPJ Group PLC,59.8998,5.5617,802.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",802.298,8.104738235,7.231920242,Macquarie,Stocks,802.298,2.3097470250164167,Macquarie
LIGHT NA,2017-11-28,2017-11-29,2017-11-28,2017-11-29,LIGHT NA,Signify NV,649.526,17.1,32.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",5423.02,-2.203125,-0.546875,"Goldman Sachs, Bank of America Merrill Lynch, Rabobank, UBS",Stocks,5423.02,12.85899193314897,"Goldman Sachs, Bank of America Merrill Lynch, Rabobank, UBS"
BCART BB,2017-11-28,2017-11-29,2017-11-28,2017-11-29,BCART BB,Biocartis NV,94.96,6.4,12.5,"ADDL,Primary Share Offering,Accelerated Bookbuild",757.748,-0.4399999976,0.200000003,"Banque Degroof Petercam SA, JP Morgan, KBC Group, Kempen & Co NV",Stocks,757.748,1.4711099817426159,"Banque Degroof Petercam SA, JP Morgan, KBC Group, Kempen & Co NV"
SOPH LN,2017-11-27,2017-11-28,2017-11-27,2017-11-28,SOPH LN,Sophos Group PLC,420.271,51.186,616.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",3816.82,-0.8116883039,-2.029220819,UBS,Stocks,3816.82,9.762601530568178,UBS
G24 GR,2017-11-27,2017-11-28,2017-11-27,2017-11-28,G24 GR,Scout24 AG,410.024,10.0,34.45,"ADDL,Secondary Share Offering,Accelerated Bookbuild",4400.0,1.872276425,-0.2031952441,"Credit Suisse, Morgan Stanley",Stocks,4400.0,5.713341225339638,"Credit Suisse, Morgan Stanley"
SMS LN,2017-11-24,2017-12-22,2017-11-24,2017-12-22,SMS LN,Smart Metering Systems PLC,199.98,21.7391,690.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,Sub Sector Flag,REG S",0.0,16.231884,18.69565201,"Barclays, Cenkos Securities, Macquarie",Stocks,869.5356,2.858051041916898,"Barclays, Cenkos Securities, Macquarie"
EVO SS,2017-11-20,2017-11-21,2017-11-20,2017-11-21,EVO SS,Evolution Gaming Group AB,118.194,1.7985,557.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2374.8,-0.8976660967,-1.526032329,"Carnegie, SEB",Stocks,2374.8,8.17660116141549,"Carnegie, SEB"
VCP LN,2017-11-16,2017-11-16,2017-11-16,2017-11-16,VCP LN,Victoria PLC,237.456,22.9885,783.0,"ADDL,Primary Share Offering,Best Efforts,Sub Sector Flag",0.0,6.960408688,5.683269501,"Cantor Fitzgerald, Joh Berenberg Gossler & Co KG",Stocks,1262.7994,2.8548098291965496,"Cantor Fitzgerald, Joh Berenberg Gossler & Co KG"
DIREN FP,2017-11-15,2017-11-16,2017-11-15,2017-11-16,DIREN FP,Direct Energie,90.4317,2.1,36.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1940.07,2.041095972,-2.082191706,BNP Paribas,Stocks,1940.07,3.826923975852754,BNP Paribas
SANT GR,2017-11-14,2017-11-15,2017-11-14,2017-11-15,SANT GR,S&T AG,103.863,5.7617,15.3,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,9.934638977,13.07189369,Hauck & Aufhaeuser Privatbankiers KGaA,Stocks,1065.7923,5.462166106662165,Hauck & Aufhaeuser Privatbankiers KGaA
DLG IM,2017-11-14,2017-11-15,2017-11-14,2017-11-15,DLG IM,De' Longhi SpA,220.913,7.5,25.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",4403.52,-3.319999933,-0.6399999857,UBS,Stocks,4403.52,3.644983426092127,UBS
NYR BB,2017-11-14,2017-11-15,2017-11-14,2017-11-15,NYR BB,Nyrstar NV,117.82,15.3846,6.5,"ADDL,Primary Share Offering,Accelerated Bookbuild",835.012,-2.307692289,-3.707692385,"JP Morgan, KBC Group",Stocks,835.012,2.925900635493682,"JP Morgan, KBC Group"
IQE LN,2017-11-09,2017-11-16,2017-11-09,2017-11-16,IQE LN,IQE PLC,125.033,67.9416,140.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,Sub Sector Flag,REG S,Rule 144A",1388.98,25.892856600000002,24.4642849,"Canaccord Genuity, Peel Hunt LLP, Stifel",Stocks,1388.98,20.12907032612574,"Canaccord Genuity, Peel Hunt LLP, Stifel"
TLG GR,2017-11-09,2017-11-13,2017-11-09,2017-11-13,TLG GR,TLG Immobilien AG,169.688,7.4176,19.7,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,2.46192503,2.192889452,"Deutsche Bank, JP Morgan",Stocks,2208.2769,3.3165638029747626,"Deutsche Bank, JP Morgan"
NODL NO,2017-11-09,2017-11-10,2017-11-09,2017-11-10,NODL NO,Northern Drilling Ltd,249.469,31.75,64.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",610.906,3.125,0.0,"Carnegie, Fearnley Securities AS, Nordea Bank Abp, Pareto Securities",Stocks,610.906,1.4404103695044344,"Carnegie, Fearnley Securities AS, Nordea Bank Abp, Pareto Securities"
VALN SW,2017-11-08,2017-11-22,2017-11-08,2017-11-22,VALN SW,Valora Holding AG,75.3768,0.2432,310.0,"ADDL,Primary Share Offering,Rump Placement",1247.13,5.887096882,5.564516068,"Credit Suisse, JP Morgan",Stocks,1247.13,2.7185178424157566,"Credit Suisse, JP Morgan"
STG DC,2017-11-08,2017-11-09,2017-11-08,2017-11-09,STG DC,Scandinavian Tobacco Group A/S,154.157,9.0699,109.13,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",1707.24,-1.768530488,-1.493628979,Deutsche Bank,Stocks,1707.24,1.1044859091465336,Deutsche Bank
SAP GR,2017-11-06,2017-11-07,2017-11-06,2017-11-07,SAP GR,SAP SE,426.536,3.7482,98.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",139800.0,0.4183673561,0.6775510311,UBS,Stocks,139800.0,198.14435596227673,UBS
RNO FP,2017-11-02,2017-11-03,2017-11-02,2017-11-03,RNO FP,Renault SA,1413.17,14.0,86.6,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block,Government Exit,REG S,Rule 144A",29714.7,3.637415171,3.983835459,"Bank of America Merrill Lynch, Deutsche Bank, Goldman Sachs",Stocks,29714.7,95.75598451113262,"Bank of America Merrill Lynch, Deutsche Bank, Goldman Sachs"
SUN SW,2017-11-02,2017-11-03,2017-11-02,2017-11-03,SUN SW,Sulzer AG,121.696,0.9889,123.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",4216.39,-0.4065040648,-0.7317073345,UBS,Stocks,4216.39,7.652766609462861,UBS
JE/ LN,2017-11-01,2017-11-02,2017-11-01,2017-11-02,JE/ LN,Just Eat PLC,136.068,13.5,760.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",6850.21,1.842105269,5.263157845,Jefferies,Stocks,6850.21,27.12932265424489,Jefferies
LCL LN,2017-11-01,2017-11-01,2017-11-01,2017-11-01,LCL LN,Ladbrokes Coral Group Ltd,81.4002,49.3,124.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",3163.13,2.811244965,7.710843563,Morgan Stanley,Stocks,3163.13,16.622194313512626,Morgan Stanley
ERF FP,2017-10-30,2017-11-02,2017-10-30,2017-11-02,ERF FP,Eurofins Scientific SE,347.33,0.55,543.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",0.0,-2.394106865,-1.777163863,"Jefferies, Joh Berenberg Gossler & Co KG",Stocks,11100.8246,11.755921298986038,"Jefferies, Joh Berenberg Gossler & Co KG"
AKERBP NO,2017-10-30,2017-10-31,2017-10-30,2017-10-31,AKERBP NO,Aker BP ASA,504.516,22.3764,184.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",8105.61,2.173913002,4.184782505,"Danske Bank, DNB ASA, Nordea Bank Abp, SEB, Swedbank",Stocks,8105.61,11.119253770293202,"Danske Bank, DNB ASA, Nordea Bank Abp, SEB, Swedbank"
LEON SW,2017-10-27,2017-10-27,2017-10-27,2017-10-27,LEON SW,Leonteq AG,63.807,1.0535,60.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",965.704,4.297520638,2.479338884,Credit Suisse,Stocks,965.704,7.1305097483932,Credit Suisse
