,ITicker,Cusip,STicker,Name,Country,Currency_,OneTenth,SecType,ExchCtry,Exchange,Code
12510,IBL,46334910,IBL,IROQUOIS BRANDS,NA,USD,0,S,NA,X,6350
12511,IBLB,44921910,IBLB,IBL BANCORP INCORPORATED,NA,USD,0,S,NA,U,6351
12512,IBM,45920010,IBM,INTERNATIONAL BUSINESS MACHINES,NA,USD,,S,NA,A,6352
12513,IBN,45104G10,IBN,ICICI BANK LTD,FI,USD,0,A,NA,A,6353
12514,IBOC,45904410,IBOC,INTERNATIONAL BANCSHARES CRP.,NA,USD,0,S,NA,S,14273
12515,IBP,44922310,IBP,IBP INC,NA,USD,,S,NA,A,6354
12516,IBP9,46227710,N/A,IOWA BEEF PROCES,NA,USD,0,S,NA,X,6355
12517,IBPI,03969P10,RDEA,ARDEA BIOSCIENCES INC,NA,USD,0,S,NA,S,6356
12518,IBPM,45103320,IBIO,IBIO INC,NA,USD,0,S,NA,B,73987
12519,IBSD,54090510,LOGO,LOGICAL OPTIONS INTL INC,NC,USD,0,S,NA,U,6357
12520,IBSF,44922Q10,IBSF,IBS FINANCIAL CP,NA,USD,,S,NA,F,6358
12521,IBSL,45916910,IBSL,INTL BROADST SYS,NA,USD,0,S,NA,X,6359
12522,IBSN,09062Q10,BMGP,BIOMAGNETICS DIA,NA,USD,,S,NA,U,70582
12523,IBSX,25386R10,DIGF,DIGITAL FUSION INC,NA,USD,0,S,NA,U,6360
12524,IBTG,4589681X,IBTGF,INTERNATIONAL BARRIER TECHNOLOGY,NA,USD,0,D,NA,U,43164
12525,IBTH,43787210,HTBI,HOMETRUST BANCSHARES INC,NA,USD,0,S,NA,F,75859
12526,IBTX,45384B10,IBTX,INDEPENDENT BANK GROUP INC,NA,USD,0,S,NA,S,75984
12527,IBTY,75971W20,RNWB,RENEWABLE,NA,USD,,S,NA,U,55308
12528,IBXG,44922910,IBXG,IBX GROUP INC,NA,USD,,S,NA,U,70583
12529,IBXN,4489375X,IBXNF,IBEX TECHNOLOGS,NC,CAD,,D,NA,U,73819
12530,IBZT,45103B20,IBZT,IBIZ TECHNOLOGY,NA,USD,,S,NA,U,72912
12531,IC,45768610,,INSPIRATION CONS,NA,USD,0,S,NA,X,6361
12532,IC1,45187210,IC,ILLINOIS CENT TR,NA,USD,0,S,NC,J,6362
12533,IC2,44926P20,IC,ICICI LIMITED,FI,USD,0,A,NA,A,6363
12534,ICA,45272210,ICA,IMPERIAL CP CA,NA,USD,0,S,NA,X,6364
12535,ICA1,29244820,ICAYY,EMPRESAS ICA SAB DE CV,LM,USD,0,A,NA,A,6365
12536,ICAB,44934B10,ICABY,I-CABLE COMM,FH,USD,,A,NA,U,6366
12537,ICAG,45934810,ICAGY,INTERNATIONAL CONSOLIDATED AIRLI,EX,EUR,0,A,NA,U,75449
12538,ICAP,46119E20,ITPC,INTREPID CAP COR,NA,USD,,S,NA,U,70584
12539,ICAR,45844C10,ICAR,INTERCARGO INC,NA,USD,0,S,NA,F,6367
12540,ICBC,45341410,ICBC,INDEPENDENCE COMMUNITY BANK,NA,USD,0,S,NA,F,6368
12541,ICBK,45853L10,ICBK,INTERCONTL BANK,NA,USD,0,S,NA,F,6369
12542,ICBL,46057X10,ICBL,INTERNET CABLE,NA,USD,,S,NA,U,70585
12543,ICBN,44923M10,ICBN,ICB FINANCIAL,NA,USD,,S,NA,U,74071
12544,ICBO,78032210,RIIC,ROYAL INVEST INT,NA,USD,,S,NA,U,70586
12545,ICBT,44924K30,ICBT,ICBS LTD,NA,USD,,S,NA,U,73834
12546,ICCI,45768V10,ICCI,INSIGHT COMMUNICATIONS INC,NA,USD,0,S,NA,F,6370
12547,ICCO,45845C10,ICCO,INTERCARE DX,NA,USD,,S,NA,U,55157
12548,ICD,45341530,ICD,INDEPENDENCE CONTRACT DRILLING I,NA,USD,0,S,NA,A,76690
12549,ICDG,44930M50,ICOPQ,DIGITAL SYSTEMS INC,NA,USD,0,S,NA,U,38919
12550,ICE,03966810,ICE,ARCTIC AK FISH'S,NA,USD,0,S,NA,X,6371
12551,ICEC,45856410,ICEC,INTERCONTINENTAL ENERGY CORP,NA,USD,0,S,NA,F,6372
12552,ICED,69514810,ICY,PACKAGED ICE INC,NA,USD,0,S,NA,B,6373
12553,ICEI,45866F10,ICE,INTERCONTINENTAL EXCHANGE INC,NA,USD,,S,NA,A,27341
12554,ICEL,73936C10,PTEL,POWERTEL INC,NA,USD,0,S,NA,F,6374
12555,ICEW,90470W10,UOIP,UNIFIEDONLINE INC,NA,USD,,S,NA,U,68733
12556,ICEX,56063J74,ICELX,MAINSTAY:EPOCH I,NA,USD,,U,NA,F,74044
12557,ICEY,45922820,ICEY,INTERNATIONAL CAP EQUIP LTD,NA,USD,0,S,NA,H,6375
12558,ICEZ,15117V10,ICEL,CELLULAR DYNAMICS INTERNATIONAL,NA,USD,0,S,NA,F,76105
12559,ICF,46428756,ICF,ISHARES COHEN,NA,USD,,U,NA,E,70587
12560,ICFI,44925C10,ICFI,ICF INTERNATIONAL INC,NA,USD,0,S,NA,S,44103
12561,ICG,45819XSX,ICG,INTER CITY GAS,NA,USD,0,S,NA,X,6376
12562,ICG1,45897810,ICP,INTL COMFORT PRODUCTS CO,NA,USD,0,S,NA,B,6377
12563,ICGE,00509410,ACTA,ACTUA CORP,NA,USD,0,S,NA,S,6378
12564,ICGG,45268910,ICG,IMPERIAL CAPITAL,NA,USD,,S,NA,A,74871
12565,ICGN,83087K10,SKYT,"SKYTERRA COMMUNICATIONS, INC",NA,USD,0,S,NA,G,6379
12566,ICGP,45845L10,ICPT,INTERCEPT INC,NA,USD,0,S,NA,F,6380
12567,ICH,44926L30,ICHP,ICH CORP,NA,USD,0,S,NA,U,6381
12568,ICH1,45254R10,ICH,IMPAC COMMERCIAL HOLDINGS INC,NA,USD,0,S,NA,B,6382
12569,ICHF,00003605,SBMVF,SBM OFFSHORE NV,EN,,0,D,NA,U,72913
12570,ICHH,46147M10,ICH,INVESTORS CAPITAL HOLDINGS,NA,USD,0,S,NA,B,17609
12571,ICHR,G4740B10,ICHR,ICHOR HOLDINGS LTD,NA,USD,0,S,NA,S,77362
