,,,Announced Date,Pricing date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Market cap,ADV,listing_price,announce_price,discount,firstday_return,Broker_broad,Broker_core,abs_return,rel_return,holding,size,abs_pnl,rel_pnl
OTIC US,2015-01-08,2015-01-22,2015-01-08,2015-01-22,2015-01-22,OTIC US,Otonomy Inc,85.7756,2.55,29.25,"ADDL,Primary Share Offering,VC Backed,PE Backed,Emerging Growth Company",705.057,-0.8547008634,12.58119678,['JP Morgan'],705.057,5.803456861066666,29.0072,35.66,-0.17975322490185075,-0.00830085470085462,True,True,0.06411965811965792,0.058757991780497676,2,1160.6913722133331,74.42313396875554,68.1998941082056
ASPX US,2015-01-07,2015-01-23,2015-01-07,2015-01-23,2015-01-23,ASPX US,Auspex Pharmaceuticals Inc,259.9,4.0,56.5,"ADDL,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,Emerging Growth Company",1756.14,2.584070683,7.061946869,['JP Morgan'],1756.14,16.419524155888894,56.3122,52.24,0.08154670750382853,-0.00332389380530973,True,True,-0.00332389380530973,-0.001244146662105261,1,3283.9048311777788,-10.915350925578513,-4.085659234381175
MLND US,2015-01-06,2015-01-08,2015-01-06,2015-01-07,2015-01-08,MLND US,Millendo Therapeutics Inc,132.25,2.3,50.0,"ADDL,Primary Share Offering,Emerging Growth Company",1329.05,5.0,0.05999999866,"['JP Morgan', 'Credit Suisse']",1329.05,13.185242236571222,50.5933,47.18,0.059771089444679903,0.011865999999999932,True,True,-0.17520891876177103,-0.16848936026759576,23,2637.048447314244,-462.03440717633583,-444.3146058826337
MLNT US,2015-01-05,2015-01-07,2015-01-05,2015-01-07,2015-01-07,MLNT US,Melinta Therapeutics Inc,147.919,5.25,24.5,"ADDL,Primary Share Offering,Emerging Growth Company",1028.6,2.204081535,1.551020384,"['Morgan Stanley', 'Cowen & Co']",1028.6,11.72181386833333,24.8023,24.55,-0.0020366598778004397,0.012338775510204014,True,True,0.34383057255001037,0.3330292372437904,38,2344.3627736666663,806.0635947347403,780.7413463369468
KPTI US,2015-01-05,2015-01-06,2015-01-05,2015-01-06,2015-01-06,KPTI US,Karyopharm Therapeutics Inc,99.0,3.0,33.0,"ADDL,Primary Share Offering,Secondary Share Offering,Emerging Growth Company",1176.2,-1.515151501,-6.181818008,"['JP Morgan', 'Bank of America Merrill Lynch']",1176.2,15.489951762133337,34.0354,35.97,-0.08256880733944949,0.03137575757575761,True,True,-0.04353939393939399,-0.04782374402983136,2,1980.0,-86.2080000000001,-94.69101317906609
GEVA US,2015-01-05,2015-01-07,2015-01-05,2015-01-06,2015-01-07,GEVA US,Synageva BioPharma Corp,324.956,3.0,94.19,"ADDL,Primary Share Offering",3468.1,6.985877037,10.43634892,"['Goldman Sachs', 'JP Morgan']",3468.1,18.871039012622223,104.2738,100.48,-0.0625995222929937,0.10705807410553136,True,True,0.10705807410553136,0.09744764542666462,1,3774.2078025244446,404.0594186123367,367.78766370695314
PAYC US,2014-12-23,2015-01-14,2014-12-23,2015-01-14,2015-01-14,PAYC US,Paycom Software Inc,144.513,5.585,22.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Emerging Growth Company",1211.29,6.311110973,4.933333397,"['Credit Suisse', 'Barclays', 'JP Morgan', 'Jefferies', 'Stifel']",1211.29,4.281244054822223,23.3726,27.37,-0.1779320423821703,0.03878222222222205,True,True,0.05994222222222212,0.07400287207499678,2,856.2488109644447,51.3254565043442,63.3648712221699
ALLY US,2014-12-18,2014-12-19,2014-12-18,2014-12-19,2014-12-19,ALLY US,Ally Financial Inc,1277.04,54.9263,23.25,"ADDL,Secondary Share Offering,Government Exit",11162.2,0.1290322542,1.591397882,"['Morgan Stanley', 'Goldman Sachs']",11162.2,59.199014655742,23.5265,22.75,0.0219780219780219,0.011892473118279456,True,True,0.011892473118279456,0.009865354474211552,1,5000.0,59.46236559139728,49.32677237105776
BURL US,2014-12-10,2014-12-11,2014-12-10,2014-12-11,2014-12-11,BURL US,Burlington Stores Inc,346.4,8.0,43.3,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Block",3229.73,1.893766284,5.03464365,['JP Morgan'],3229.73,23.102238089822226,44.4877,43.82,-0.01186672752167972,0.02742956120092388,True,True,0.02742956120092388,0.019292872328483757,1,4620.447617964446,126.73685071261873,89.14170599383495
AGIO US,2014-12-09,2014-12-11,2014-12-09,2014-12-10,2014-12-11,AGIO US,Agios Pharmaceuticals Inc,253.008,1.9865,110.75,"ADDL,Primary Share Offering,Emerging Growth Company",4089.67,2.934537172,7.629796982,"['JP Morgan', 'Goldman Sachs']",4089.67,80.21295770864448,118.6567,110.56,0.0017185238784369616,0.07139232505643345,True,True,0.07139232505643345,0.06325563618399332,1,5000.0,356.96162528216723,316.27818091996664
SEMI US,2014-12-08,2015-01-14,2014-12-08,2015-01-14,2015-01-14,SEMI US,Globalwafers Singapore Pte Ltd,262.027,15.0,15.19,"ADDL,Secondary Share Offering,Emerging Growth Company",630.479,5.990786552,8.689930916,"['Deutsche Bank', 'Barclays', 'Goldman Sachs', 'Morgan Stanley', 'Macquarie']",630.479,1.039555708266667,16.2317,18.41,-0.17490494296577952,0.06857801184990131,True,True,0.06857801184990131,0.07752592851656792,1,207.91114165333343,14.25813273602881,16.118504305614355
ARMK US,2014-12-03,2014-12-12,2014-12-03,2014-12-11,2014-12-12,ARMK US,Aramark,966.0,30.0,28.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit",0.0,-0.3928571343,1.035714269,"['Wells Fargo', 'RBC Capital Markets', 'Barclays', 'Bank of America Merrill Lynch', 'Morgan Stanley', 'Credit Suisse', 'Goldman Sachs', 'JP Morgan']",6982.2876,11.906423985941135,28.35,29.78,-0.05977165883143054,0.012499999999999956,True,True,0.012499999999999956,0.018991875923190626,1,2381.284797188227,29.766059964852733,45.22506540597896
CDW US,2014-12-02,2014-12-03,2014-12-02,2014-12-02,2014-12-03,CDW US,CDW Corp/DE,574.08,15.0,33.28,"ADDL,Secondary Share Offering,PE Backed,PE Exit",5731.22,0.06009982526,0.9014459848,"['Barclays', 'Goldman Sachs']",5731.22,24.39089534977221,33.5108,34.39,-0.03227682465833093,0.006935096153846132,True,True,0.006935096153846132,0.004887661497505302,1,4878.179069954443,33.83064090581376,23.842888018152554
